,accepted_species,Assigned_group,number_of_species_in_group
0,Acokanthera laevigata,Acokanthera laevigata,1
1,Acokanthera oblongifolia,Acokanthera oblongifolia,1
19,Acokanthera oppositifolia,Acokanthera oppositifolia,1
22,Acokanthera schimperi,Acokanthera schimperi,1
25,Adenium boehmianum,Adenium boehmianum,1
28,Adenium obesum,Adenium obesum,1
58,Adina cordifolia,Adina cordifolia,1
87,Adina eurhyncha,Adina eurhyncha,1
95,Adina pilulifera,Adina pilulifera,1
97,Adina racemosa,Adina racemosa,1
153,Adina rubella,Adina rubella,1
159,Adina trichotoma,Adina trichotoma,1
208,Afrocanthium gilfillanii,Afrocanthium gilfillanii,1
209,Aganosma heynei,Aganosma heynei,1
222,Aidia canthioides,Aidia canthioides,1
227,Alafia barteri,Alafia barteri,1
244,Alberta magna,Alberta magna,1
249,Alibertia edulis,Alibertia edulis,1
271,Allamanda blanchetii,Allamanda blanchetii,1
275,Allamanda cathartica,Allamanda cathartica,1
312,Allamanda schottii,Allamanda schottii,1
355,Alstonia actinophylla,Alstonia actinophylla,1
356,Alstonia angustifolia,Alstonia angustifolia,1
461,Alstonia angustiloba,Alstonia angustiloba,1
496,Alstonia balansae,Alstonia balansae,1
524,Alstonia boonei,Alstonia boonei,1
536,Alstonia boulindaensis,Alstonia boulindaensis,1
537,Alstonia congensis,Alstonia congensis,1
550,Alstonia constricta,Alstonia constricta,1
565,Alstonia coriacea,Alstonia coriacea,1
574,Alstonia costata,Alstonia costata,1
580,Alstonia deplanchei,Alstonia deplanchei,1
584,Alstonia lanceolata,Alstonia lanceolata,1
591,Alstonia lanceolifera,Alstonia lanceolifera,1
602,Alstonia legouixiae,Alstonia legouixiae,1
607,Alstonia lenormandii,Alstonia lenormandii,1
619,Alstonia longifolia,Alstonia longifolia,1
629,Alstonia macrophylla,Alstonia macrophylla,1
747,Alstonia mairei,Alstonia mairei,1
773,Alstonia muelleriana,Alstonia muelleriana,1
793,Alstonia odontophora,Alstonia odontophora,1
798,Alstonia penangiana,Alstonia penangiana,1
801,Alstonia pneumatophora,Alstonia pneumatophora,1
820,Alstonia quaternata,Alstonia quaternata,1
827,Alstonia rostrata,Alstonia rostrata,1
859,Alstonia scholaris,Alstonia scholaris,1
965,Alstonia spatulata,Alstonia spatulata,1
994,Alstonia spectabilis,Alstonia spectabilis,1
1004,Alstonia sphaerocapitata,Alstonia sphaerocapitata,1
1015,Alstonia venenata,Alstonia venenata,1
1034,Alstonia yunnanensis,Alstonia yunnanensis,1
1073,Alyxia buxifolia,Alyxia buxifolia,1
1076,Alyxia reinwardtii,Alyxia reinwardtii,1
1084,Alyxia sinensis,Alyxia sinensis,1
1087,Amaioua guianensis,Amaioua guianensis,1
1088,Amalocalyx microlobus,Amalocalyx microlobus,1
1091,Amsonia ciliata,Amsonia ciliata,1
1097,Amsonia elliptica,Amsonia elliptica,1
1119,Amsonia grandiflora,Amsonia grandiflora,1
1127,Amsonia orientalis,Amsonia orientalis,1
1137,Amsonia tabernaemontana,Amsonia tabernaemontana,1
1146,Amsonia tomentosa,Amsonia tomentosa,1
1158,Anodendron affine,Anodendron affine,1
1222,Anodendron parviflorum,Anodendron parviflorum,1
1224,Anthocleista djalonensis,Anthocleista djalonensis,1
1237,Anthocleista grandiflora,Anthocleista grandiflora,1
1242,Anthocleista nobilis,Anthocleista nobilis,1
1243,Anthocleista procera,Anthocleista procera,1
1245,Anthocleista vogelii,Anthocleista vogelii,1
1255,Antonia ovata,Antonia ovata,1
1264,Apocynum androsaemifolium,Apocynum androsaemifolium,1
1269,Apocynum cannabinum,Apocynum cannabinum,1
1303,Apocynum pictum,Apocynum pictum,1
1307,Apocynum venetum,Apocynum venetum,1
1346,Apteranthes tuberculata,Apteranthes tuberculata,1
1347,Araujia sericifera,Araujia sericifera,1
1383,Argostemma yappii,Argostemma yappii,1
1387,Asclepias albicans,Asclepias albicans,1
1391,Asclepias asperula,Asclepias asperula,1
1397,Asclepias cordifolia,Asclepias cordifolia,1
1402,Asclepias curassavica,Asclepias curassavica,1
1504,Asclepias eastwoodiana,Asclepias eastwoodiana,1
1505,Asclepias eriocarpa,Asclepias eriocarpa,1
1512,Asclepias glaucescens,Asclepias glaucescens,1
1516,Asclepias humistrata,Asclepias humistrata,1
1517,Asclepias incarnata,Asclepias incarnata,1
1576,Asclepias labriformis,Asclepias labriformis,1
1583,Asclepias latifolia,Asclepias latifolia,1
1586,Asclepias linaria,Asclepias linaria,1
1593,Asclepias mellodora,Asclepias mellodora,1
1594,Asclepias ruthiae,Asclepias ruthiae,1
1595,Asclepias speciosa,Asclepias speciosa,1
1612,Asclepias subulata,Asclepias subulata,1
1624,Asclepias syriaca,Asclepias syriaca,1
1670,Asclepias tuberosa,Asclepias tuberosa,1
1722,Asclepias vestita,Asclepias vestita,1
1744,Asclepias viridis,Asclepias viridis,1
1753,Asperula oppositifolia,Asperula oppositifolia,1
1758,Aspidosperma album,Aspidosperma album,1
1759,Aspidosperma auriculatum,Aspidosperma auriculatum,1
1761,Aspidosperma australe,Aspidosperma australe,1
1762,Aspidosperma carapanauba,Aspidosperma carapanauba,1
1763,Aspidosperma cuspa,Aspidosperma cuspa,1
1764,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,1
1767,Aspidosperma desmanthum,Aspidosperma desmanthum,1
1771,Aspidosperma discolor,Aspidosperma discolor,1
1782,Aspidosperma duckei,Aspidosperma duckei,1
1783,Aspidosperma eburneum,Aspidosperma eburneum,1
1792,Aspidosperma excelsum,Aspidosperma excelsum,1
1822,Aspidosperma formosanum,Aspidosperma formosanum,1
1827,Aspidosperma limae,Aspidosperma limae,1
1829,Aspidosperma macrocarpon,Aspidosperma macrocarpon,1
