,accepted_species,Assigned_group,number_of_species_in_group
1832,Aspidosperma marcgravianum,Aspidosperma marcgravianum,1
1862,Aspidosperma megalocarpon,Aspidosperma megalocarpon,1
1866,Aspidosperma multiflorum,Aspidosperma multiflorum,1
1871,Aspidosperma nigricans,Aspidosperma nigricans,1
1874,Aspidosperma oblongum,Aspidosperma oblongum,1
1882,Aspidosperma obscurinervium,Aspidosperma obscurinervium,1
1884,Aspidosperma olivaceum,Aspidosperma olivaceum,1
1890,Aspidosperma pachypterum,Aspidosperma pachypterum,1
1895,Aspidosperma parvifolium,Aspidosperma parvifolium,1
1896,Aspidosperma polyneuron,Aspidosperma polyneuron,1
1901,Aspidosperma pyricollum,Aspidosperma pyricollum,1
1907,Aspidosperma pyrifolium,Aspidosperma pyrifolium,1
1925,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,1
1943,Aspidosperma ramiflorum,Aspidosperma ramiflorum,1
1947,Aspidosperma spruceanum,Aspidosperma spruceanum,1
1950,Aspidosperma subincanum,Aspidosperma subincanum,1
1963,Aspidosperma tomentosum,Aspidosperma tomentosum,1
1976,Aspidosperma ulei,Aspidosperma ulei,1
1979,Baroniella acuminata,Baroniella acuminata,1
1984,Bathysa australis,Bathysa australis,1
1985,Beaumontia brevituba,Beaumontia brevituba,1
1992,Beaumontia grandiflora,Beaumontia grandiflora,1
2001,Beaumontia murtonii,Beaumontia murtonii,1
2008,Benkara malabarica,Benkara malabarica,1
2009,Blackstonia perfoliata,Blackstonia perfoliata,1
2019,Boucerosia umbellata,Boucerosia umbellata,1
2026,Bousigonia angustifolia,Bousigonia angustifolia,1
2029,Bousigonia mekongensis,Bousigonia mekongensis,1
2032,Bouvardia ternifolia,Bouvardia ternifolia,1
2033,Breonadia salicina,Breonadia salicina,1
2036,Breonia chinensis,Breonia chinensis,1
2048,Buchozia japonica,Buchozia japonica,1
2049,Burchellia bubalina,Burchellia bubalina,1
2050,Callichilia barteri,Callichilia barteri,1
2066,Callichilia inaequalis,Callichilia inaequalis,1
2071,Callichilia subsessilis,Callichilia subsessilis,1
2073,Calotropis gigantea,Calotropis gigantea,1
2093,Calotropis procera,Calotropis procera,1
2145,Calycophyllum spruceanum,Calycophyllum spruceanum,1
2162,Canscora alata,Canscora alata,1
2189,Canscora diffusa,Canscora diffusa,1
2190,Canthium berberidifolium,Canthium berberidifolium,1
2221,Caralluma plicatiloba,Caralluma plicatiloba,1
2229,Caralluma stalagmifera,Caralluma stalagmifera,1
2234,Carapichea affinis,Carapichea affinis,1
2243,Carapichea ipecacuanha,Carapichea ipecacuanha,1
2319,Carapichea klugii,Carapichea klugii,1
2329,Carissa carandas,Carissa carandas,1
2337,Carissa macrocarpa,Carissa macrocarpa,1
2338,Carissa spinarum,Carissa spinarum,1
2386,Cascabela thevetia,Cascabela thevetia,1
2464,Cascabela thevetioides,Cascabela thevetioides,1
2468,Catharanthus lanceus,Catharanthus lanceus,1
2480,Catharanthus longifolius,Catharanthus longifolius,1
2487,Catharanthus ovalis,Catharanthus ovalis,1
2509,Catharanthus pusillus,Catharanthus pusillus,1
2519,Catharanthus roseus,Catharanthus roseus,1
2868,Catharanthus trichophyllus,Catharanthus trichophyllus,1
2897,Catunaregam nilotica,Catunaregam nilotica,1
2904,Catunaregam obovata,Catunaregam obovata,1
2910,Catunaregam spinosa,Catunaregam spinosa,1
2945,Centaurium cachanlahuen,Centaurium cachanlahuen,1
2947,Centaurium erythraea,Centaurium erythraea,1
2993,Centaurium littorale,Centaurium littorale,1
2997,Centaurium pulchellum,Centaurium pulchellum,1
3007,Centaurium quadrifolium,Centaurium quadrifolium,1
3012,Cephalanthus glabratus,Cephalanthus glabratus,1
3014,Cephalanthus natalensis,Cephalanthus natalensis,1
3019,Cephalanthus occidentalis,Cephalanthus occidentalis,1
3044,Cephalanthus salicifolius,Cephalanthus salicifolius,1
3045,Cephalanthus tetrandrus,Cephalanthus tetrandrus,1
3053,Cerbera floribunda,Cerbera floribunda,1
3056,Cerbera inflata,Cerbera inflata,1
3059,Cerbera manghas,Cerbera manghas,1
3120,Cerbera odollam,Cerbera odollam,1
3145,Ceriscoides turgida,Ceriscoides turgida,1
3146,Ceropegia juncea,Ceropegia juncea,1
3148,Ceropegia variegata,Ceropegia variegata,1
3172,Chassalia parvifolia,Chassalia parvifolia,1
3175,Chassalia subcoriacea,Chassalia subcoriacea,1
3176,Chimarrhis cymosa,Chimarrhis cymosa,1
3177,Chimarrhis turbinata,Chimarrhis turbinata,1
3207,Chiococca alba,Chiococca alba,1
3230,Chione venosa,Chione venosa,1
3241,Chironia baccifera,Chironia baccifera,1
3245,Chironia krebsii,Chironia krebsii,1
3266,Chironia palustris,Chironia palustris,1
3271,Chironia purpurascens,Chironia purpurascens,1
3276,Chonemorpha fragrans,Chonemorpha fragrans,1
3280,Ciliosemina pedunculata,Ciliosemina pedunculata,1
3294,Ciliosemina purdieana,Ciliosemina purdieana,1
3325,Cinchona calisaya,Cinchona calisaya,1
3389,Cinchona officinalis,Cinchona officinalis,1
3395,Cinchona pubescens,Cinchona pubescens,1
3488,Coelospermum balansanum,Coelospermum balansanum,1
3493,Coelospermum decipiens,Coelospermum decipiens,1
3494,Coelospermum paniculatum,Coelospermum paniculatum,1
3498,Coelospermum reticulatum,Coelospermum reticulatum,1
3557,Coffea arabica,Coffea arabica,1
3849,Coffea benghalensis,Coffea benghalensis,1
3851,Coffea brevipes,Coffea brevipes,1
3852,Coffea canephora,Coffea canephora,1
3957,Coffea charrieriana,Coffea charrieriana,1
3965,Coffea congensis,Coffea congensis,1
3975,Coffea eugenioides,Coffea eugenioides,1
3994,Coffea homollei,Coffea homollei,1
3996,Coffea humblotiana,Coffea humblotiana,1
4004,Coffea humilis,Coffea humilis,1
4012,Coffea kapakata,Coffea kapakata,1
4020,Coffea kianjavatensis,Coffea kianjavatensis,1
4031,Coffea lancifolia,Coffea lancifolia,1
4033,Coffea liberica,Coffea liberica,1
4080,Coffea pseudozanguebariae,Coffea pseudozanguebariae,1
4091,Coffea racemosa,Coffea racemosa,1
4113,Coffea salvatrix,Coffea salvatrix,1
4135,Coffea sessiliflora,Coffea sessiliflora,1
4145,Coffea stenophylla,Coffea stenophylla,1
4158,Coffea travancorensis,Coffea travancorensis,1
4159,Coffea vianneyi,Coffea vianneyi,1
4160,Coffea × heterocalyx,Coffea × heterocalyx,1
4165,Comastoma tenellum,Comastoma tenellum,1
4172,Coprosma acerosa,Coprosma acerosa,1
4177,Coprosma arborea,Coprosma arborea,1
4178,Coprosma areolata,Coprosma areolata,1
4180,Coprosma linariifolia,Coprosma linariifolia,1
4182,Coprosma lucida,Coprosma lucida,1
4191,Coprosma propinqua,Coprosma propinqua,1
4194,Coprosma pyrifolia,Coprosma pyrifolia,1
4195,Coprosma repens,Coprosma repens,1
4196,Coprosma robusta,Coprosma robusta,1
4200,Coprosma rotundifolia,Coprosma rotundifolia,1
4203,Coprosma tenuicaulis,Coprosma tenuicaulis,1
4205,Coprosma tenuifolia,Coprosma tenuifolia,1
4207,Coptosperma nigrescens,Coptosperma nigrescens,1
4208,Cordiera macrophylla,Cordiera macrophylla,1
4236,Cordiera sessilis,Cordiera sessilis,1
4257,Corynanthe johimbe,Corynanthe johimbe,1
4262,Corynanthe macroceras,Corynanthe macroceras,1
4265,Corynanthe pachyceras,Corynanthe pachyceras,1
4272,Corynanthe paniculata,Corynanthe paniculata,1
4273,Coussarea brevicaulis,Coussarea brevicaulis,1
4284,Coussarea hydrangeifolia,Coussarea hydrangeifolia,1
4290,Coussarea macrophylla,Coussarea macrophylla,1
4300,Coussarea paniculata,Coussarea paniculata,1
4315,Coutarea hexandra,Coutarea hexandra,1
4331,Coutoubea spicata,Coutoubea spicata,1
4336,Craspidospermum verticillatum,Craspidospermum verticillatum,1
4338,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,1
4351,Crossopteryx febrifuga,Crossopteryx febrifuga,1
4365,Crucianella graeca,Crucianella graeca,1
4372,Crucianella maritima,Crucianella maritima,1
4375,Cruciata glabra,Cruciata glabra,1
4379,Cruciata laevipes,Cruciata laevipes,1
4388,Cruciata pedemontana,Cruciata pedemontana,1
4394,Cruciata taurica,Cruciata taurica,1
4412,Cruckshanksia pumila,Cruckshanksia pumila,1
4414,Cruckshanksia verticillata,Cruckshanksia verticillata,1
4416,Cryptolepis buchananii,Cryptolepis buchananii,1
4425,Cryptolepis nigrescens,Cryptolepis nigrescens,1
4446,Cryptolepis obtusa,Cryptolepis obtusa,1
4449,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,1
4472,Cryptolepis sinensis,Cryptolepis sinensis,1
4473,Cryptostegia grandiflora,Cryptostegia grandiflora,1
4500,Cryptostegia madagascariensis,Cryptostegia madagascariensis,1
4503,Curtia tenuifolia,Curtia tenuifolia,1
4509,Cyclocotyla congolensis,Cyclocotyla congolensis,1
4512,Cynanchum acutum,Cynanchum acutum,1
4516,Cynanchum boudieri,Cynanchum boudieri,1
4550,Cynanchum bungei,Cynanchum bungei,1
4565,Cynanchum gracillimum,Cynanchum gracillimum,1
4568,Cynanchum grandidieri,Cynanchum grandidieri,1
4569,Cynanchum liukiuense,Cynanchum liukiuense,1
4570,Cynanchum maximoviczii,Cynanchum maximoviczii,1
4606,Cynanchum ovalifolium,Cynanchum ovalifolium,1
4610,Cynanchum polyanthum,Cynanchum polyanthum,1
4616,Cynanchum rostellatum,Cynanchum rostellatum,1
4635,Cynanchum thesioides,Cynanchum thesioides,1
4642,Cynanchum viminale,Cynanchum viminale,1
4665,Cynanchum wilfordii,Cynanchum wilfordii,1
4688,Cyrtophyllum fragrans,Cyrtophyllum fragrans,1
4694,Damnacanthus indicus,Damnacanthus indicus,1
4706,Damnacanthus macrophyllus,Damnacanthus macrophyllus,1
4707,Damnacanthus major,Damnacanthus major,1
4717,Damnacanthus officinarum,Damnacanthus officinarum,1
4718,Debia ovatifolia,Debia ovatifolia,1
4722,Decalepis hamiltonii,Decalepis hamiltonii,1
4730,Deppea blumenaviensis,Deppea blumenaviensis,1
4731,Desmidorchis flava,Desmidorchis flava,1
4733,Desmidorchis penicillata,Desmidorchis penicillata,1
4739,Desmidorchis retrospiciens,Desmidorchis retrospiciens,1
4762,Dimetia capitellata,Dimetia capitellata,1
4777,Dimetia hedyotidea,Dimetia hedyotidea,1
4787,Dimetia scandens,Dimetia scandens,1
4793,Dioecrescis erythroclada,Dioecrescis erythroclada,1
4800,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,1
4803,Diplospora dubia,Diplospora dubia,1
4857,Diplospora fruticosa,Diplospora fruticosa,1
4870,Dischidanthus thyrsiflorus,Dischidanthus thyrsiflorus,1
4885,Dischidia formosana,Dischidia formosana,1
4895,Diyaminauclea zeylanica,Diyaminauclea zeylanica,1
4896,Dolichopentas longiflora,Dolichopentas longiflora,1
4908,Dunnia sinensis,Dunnia sinensis,1
4910,Duroia hirsuta,Duroia hirsuta,1
4916,Dyera costulata,Dyera costulata,1
4920,Echites panduratus,Echites panduratus,1
4921,Emmenopterys henryi,Emmenopterys henryi,1
4923,Enicostema axillare,Enicostema axillare,1
4925,Enicostema verticillatum,Enicostema verticillatum,1
4926,Eumachia forsteriana,Eumachia forsteriana,1
4936,Eumachia frutescens,Eumachia frutescens,1
4940,Eumachia leptothyrsa,Eumachia leptothyrsa,1
4941,Eumachia lyciiflora,Eumachia lyciiflora,1
4946,Eumachia montana,Eumachia montana,1
4948,Eumachia oleoides,Eumachia oleoides,1
4958,Eumachia rostrata,Eumachia rostrata,1
4966,Eustoma russellianum,Eustoma russellianum,1
4988,Exacum affine,Exacum affine,1
4993,Exacum tetragonum,Exacum tetragonum,1
4994,Exallage auricularia,Exallage auricularia,1
4999,Exallage chrysotricha,Exallage chrysotricha,1
5004,Exostema acuminatum,Exostema acuminatum,1
5011,Exostema caribaeum,Exostema caribaeum,1
5023,Fadogia ancylantha,Fadogia ancylantha,1
5031,Fagraea auriculata,Fagraea auriculata,1
5034,Fagraea berteroana,Fagraea berteroana,1
5037,Fagraea blumei,Fagraea blumei,1
5048,Fagraea ceilanica,Fagraea ceilanica,1
5054,Fagraea gracilipes,Fagraea gracilipes,1
5063,Faramea guianensis,Faramea guianensis,1
5065,Faramea multiflora,Faramea multiflora,1
5067,Faramea occidentalis,Faramea occidentalis,1
5077,Feretia apodanthera,Feretia apodanthera,1
5083,Forsteronia refracta,Forsteronia refracta,1
5086,Frasera albicaulis,Frasera albicaulis,1
5089,Frasera albomarginata,Frasera albomarginata,1
5096,Frasera caroliniensis,Frasera caroliniensis,1
5100,Frasera speciosa,Frasera speciosa,1
5106,Funastrum clausum,Funastrum clausum,1
5110,Funtumia africana,Funtumia africana,1
5112,Funtumia elastica,Funtumia elastica,1
5120,Galianthe thalictroides,Galianthe thalictroides,1
5130,Galium aegeum,Galium aegeum,1
5138,Galium album,Galium album,1
5154,Galium aparine,Galium aparine,1
5176,Galium glaucum,Galium glaucum,1
5178,Galium heldreichii,Galium heldreichii,1
5184,Galium humifusum,Galium humifusum,1
5191,Galium hypocarpium,Galium hypocarpium,1
5193,Galium lovcense,Galium lovcense,1
5205,Galium macedonicum,Galium macedonicum,1
5214,Galium maximoviczii,Galium maximoviczii,1
5217,Galium melanantherum,Galium melanantherum,1
5224,Galium mirum,Galium mirum,1
5232,Galium mollugo,Galium mollugo,1
5265,Galium odoratum,Galium odoratum,1
5283,Galium palustre,Galium palustre,1
5286,Galium rhodopeum,Galium rhodopeum,1
5298,Galium rivale,Galium rivale,1
5316,Galium rubioides,Galium rubioides,1
5323,Galium semiamictum,Galium semiamictum,1
5325,Galium sinaicum,Galium sinaicum,1
5363,Galium spurium,Galium spurium,1
5375,Galium tricornutum,Galium tricornutum,1
5377,Galium triflorum,Galium triflorum,1
5378,Galium verum,Galium verum,1
5428,Gardenia aubryi,Gardenia aubryi,1
5440,Gardenia carinata,Gardenia carinata,1
5449,Gardenia collinsiae,Gardenia collinsiae,1
5450,Gardenia coronaria,Gardenia coronaria,1
5454,Gardenia crameri,Gardenia crameri,1
5457,Gardenia erubescens,Gardenia erubescens,1
5458,Gardenia fosbergii,Gardenia fosbergii,1
5459,Gardenia gordonii,Gardenia gordonii,1
5461,Gardenia grievei,Gardenia grievei,1
5462,Gardenia gummifera,Gardenia gummifera,1
5469,Gardenia hillii,Gardenia hillii,1
5471,Gardenia imperialis,Gardenia imperialis,1
5474,Gardenia jasminoides,Gardenia jasminoides,1
5625,Gardenia latifolia,Gardenia latifolia,1
5634,Gardenia obtusifolia,Gardenia obtusifolia,1
5646,Gardenia oudiepe,Gardenia oudiepe,1
5657,Gardenia resinifera,Gardenia resinifera,1
5673,Gardenia saxatilis,Gardenia saxatilis,1
5679,Gardenia sootepensis,Gardenia sootepensis,1
5695,Gardenia storckii,Gardenia storckii,1
5700,Gardenia taitensis,Gardenia taitensis,1
5701,Gardenia ternifolia,Gardenia ternifolia,1
5703,Gardenia thailandica,Gardenia thailandica,1
5714,Gardenia tubifera,Gardenia tubifera,1
5733,Gardenia urvillei,Gardenia urvillei,1
5738,Gardneria angustifolia,Gardneria angustifolia,1
5741,Gardneria multiflora,Gardneria multiflora,1
5750,Gardneria nutans,Gardneria nutans,1
5756,Gardneria ovata,Gardneria ovata,1
5772,Geissospermum argenteum,Geissospermum argenteum,1
5776,Geissospermum laeve,Geissospermum laeve,1
5792,Geissospermum sericeum,Geissospermum sericeum,1
5805,Gelsemium elegans,Gelsemium elegans,1
5915,Gelsemium rankinii,Gelsemium rankinii,1
5934,Gelsemium sempervirens,Gelsemium sempervirens,1
5984,Geniostoma antherotrichum,Geniostoma antherotrichum,1
5987,Genipa americana,Genipa americana,1
6011,Genipa spruceana,Genipa spruceana,1
6041,Gentiana acaulis,Gentiana acaulis,1
6059,Gentiana algida,Gentiana algida,1
6093,Gentiana andrewsii,Gentiana andrewsii,1
6094,Gentiana aquatica,Gentiana aquatica,1
6096,Gentiana argentea,Gentiana argentea,1
6099,Gentiana arisanensis,Gentiana arisanensis,1
6114,Gentiana asclepiadea,Gentiana asclepiadea,1
6134,Gentiana bavarica,Gentiana bavarica,1
6138,Gentiana brachyphylla,Gentiana brachyphylla,1
6166,Gentiana burseri,Gentiana burseri,1
6171,Gentiana cephalantha,Gentiana cephalantha,1
6173,Gentiana crassa,Gentiana crassa,1
6211,Gentiana crassicaulis,Gentiana crassicaulis,1
6226,Gentiana cruciata,Gentiana cruciata,1
6233,Gentiana dahurica,Gentiana dahurica,1
6256,Gentiana davidi,Gentiana davidi,1
6273,Gentiana decumbens,Gentiana decumbens,1
6280,Gentiana depressa,Gentiana depressa,1
6292,Gentiana elwesii,Gentiana elwesii,1
6297,Gentiana formosa,Gentiana formosa,1
6298,Gentiana gelida,Gentiana gelida,1
6305,Gentiana kauffmanniana,Gentiana kauffmanniana,1
6307,Gentiana kirilowii,Gentiana kirilowii,1
6308,Gentiana kurroo,Gentiana kurroo,1
6316,Gentiana lawrencei,Gentiana lawrencei,1
6323,Gentiana linearis,Gentiana linearis,1
6334,Gentiana loureiroi,Gentiana loureiroi,1
6349,Gentiana lutea,Gentiana lutea,1
6481,Gentiana macrophylla,Gentiana macrophylla,1
6531,Gentiana makinoi,Gentiana makinoi,1
6532,Gentiana manshurica,Gentiana manshurica,1
6542,Gentiana nivalis,Gentiana nivalis,1
6546,Gentiana officinalis,Gentiana officinalis,1
6552,Gentiana olgae,Gentiana olgae,1
6554,Gentiana olivieri,Gentiana olivieri,1
6577,Gentiana pannonica,Gentiana pannonica,1
6581,Gentiana pedicellata,Gentiana pedicellata,1
6601,Gentiana piasezkii,Gentiana piasezkii,1
6602,Gentiana prolata,Gentiana prolata,1
6607,Gentiana prostrata,Gentiana prostrata,1
6610,Gentiana punctata,Gentiana punctata,1
6620,Gentiana purpurea,Gentiana purpurea,1
6627,Gentiana pyrenaica,Gentiana pyrenaica,1
6636,Gentiana robusta,Gentiana robusta,1
6638,Gentiana rostanii,Gentiana rostanii,1
6640,Gentiana scabra,Gentiana scabra,1
6681,Gentiana septemfida,Gentiana septemfida,1
6690,Gentiana sikkimensis,Gentiana sikkimensis,1
6695,Gentiana sino-ornata,Gentiana sino-ornata,1
6701,Gentiana siphonantha,Gentiana siphonantha,1
6712,Gentiana spathacea,Gentiana spathacea,1
6713,Gentiana straminea,Gentiana straminea,1
6766,Gentiana taliensis,Gentiana taliensis,1
6771,Gentiana terglouensis,Gentiana terglouensis,1
6773,Gentiana thunbergii,Gentiana thunbergii,1
6798,Gentiana tibetica,Gentiana tibetica,1
6818,Gentiana triflora,Gentiana triflora,1
6844,Gentiana urnula,Gentiana urnula,1
6845,Gentiana utriculosa,Gentiana utriculosa,1
6852,Gentiana verna,Gentiana verna,1
6874,Gentianella alborosea,Gentianella alborosea,1
6875,Gentianella amarella,Gentianella amarella,1
6890,Gentianella austriaca,Gentianella austriaca,1
6894,Gentianella azurea,Gentianella azurea,1
6905,Gentianella bellidifolia,Gentianella bellidifolia,1
6908,Gentianella bulgarica,Gentianella bulgarica,1
6914,Gentianella campestris,Gentianella campestris,1
6950,Gentianella caucasea,Gentianella caucasea,1
6952,Gentianella florida,Gentianella florida,1
6958,Gentianella germanica,Gentianella germanica,1
6970,Gentianella magellanica,Gentianella magellanica,1
6974,Gentianella multicaulis,Gentianella multicaulis,1
6976,Gentianella nitida,Gentianella nitida,1
6993,Gentianella ramosa,Gentianella ramosa,1
6995,Gentianella selaginifolia,Gentianella selaginifolia,1
6996,Gentianella serotina,Gentianella serotina,1
7021,Gentianella turkestanorum,Gentianella turkestanorum,1
7026,Gentianopsis barbata,Gentianopsis barbata,1
7053,Gentianopsis barbellata,Gentianopsis barbellata,1
7078,Gentianopsis ciliata,Gentianopsis ciliata,1
7103,Gentianopsis crinita,Gentianopsis crinita,1
7126,Gentianopsis detonsa,Gentianopsis detonsa,1
7151,Gentianopsis grandis,Gentianopsis grandis,1
7176,Gentianopsis lanceolata,Gentianopsis lanceolata,1
7201,Gentianopsis paludosa,Gentianopsis paludosa,1
7237,Gentianopsis simplex,Gentianopsis simplex,1
7262,Gentianopsis thermalis,Gentianopsis thermalis,1
7287,Gentianopsis virgata,Gentianopsis virgata,1
7289,Gomphocarpus fruticosus,Gomphocarpus fruticosus,1
7313,Gomphocarpus physocarpus,Gomphocarpus physocarpus,1
7315,Gomphocarpus sinaicus,Gomphocarpus sinaicus,1
7336,Gongronemopsis tenacissima,Gongronemopsis tenacissima,1
7372,Gonioma kamassi,Gonioma kamassi,1
7375,Gonioma malagasy,Gonioma malagasy,1
7387,Guettarda angelica,Guettarda angelica,1
7398,Guettarda grazielae,Guettarda grazielae,1
7400,Guettarda heterosepala,Guettarda heterosepala,1
7402,Guettarda platypoda,Guettarda platypoda,1
7421,Guettarda pohliana,Guettarda pohliana,1
7422,Guettarda speciosa,Guettarda speciosa,1
7424,Guettarda trimera,Guettarda trimera,1
7426,Guettardella putaminosa,Guettardella putaminosa,1
7429,Gymnema sylvestre,Gymnema sylvestre,1
7553,Gynochthodes jasminoides,Gynochthodes jasminoides,1
7555,Gynochthodes officinalis,Gynochthodes officinalis,1
7603,Gynochthodes parvifolia,Gynochthodes parvifolia,1
7616,Gynochthodes umbellata,Gynochthodes umbellata,1
7628,Halenia asclepiadea,Halenia asclepiadea,1
7629,Halenia corniculata,Halenia corniculata,1
7654,Halenia elata,Halenia elata,1
7661,Halenia elliptica,Halenia elliptica,1
7696,Hamelia magnifolia,Hamelia magnifolia,1
7697,Hamelia patens,Hamelia patens,1
7709,Hancornia speciosa,Hancornia speciosa,1
7712,Haplophyton cimicidum,Haplophyton cimicidum,1
7726,Haplophyton crooksii,Haplophyton crooksii,1
7736,Hedyotis acutangula,Hedyotis acutangula,1
7739,Hedyotis fruticosa,Hedyotis fruticosa,1
7742,Hedyotis lawsoniae,Hedyotis lawsoniae,1
7778,Hedyotis pruinosa,Hedyotis pruinosa,1
7781,Heinsia crinita,Heinsia crinita,1
7784,Helia alata,Helia alata,1
7788,Helia alba,Helia alba,1
