,accepted_species,Genus,Assigned_group,number_of_species_in_group
0,Acokanthera laevigata,Acokanthera,Acokanthera,4
1,Acokanthera oblongifolia,Acokanthera,Acokanthera,4
19,Acokanthera oppositifolia,Acokanthera,Acokanthera,4
22,Acokanthera schimperi,Acokanthera,Acokanthera,4
25,Adenium boehmianum,Adenium,Adenium,2
28,Adenium obesum,Adenium,Adenium,2
58,Adina cordifolia,Adina,Adina,6
87,Adina eurhyncha,Adina,Adina,6
95,Adina pilulifera,Adina,Adina,6
97,Adina racemosa,Adina,Adina,6
153,Adina rubella,Adina,Adina,6
159,Adina trichotoma,Adina,Adina,6
208,Afrocanthium gilfillanii,Afrocanthium,Afrocanthium,1
209,Aganosma heynei,Aganosma,Aganosma,1
222,Aidia canthioides,Aidia,Aidia,1
227,Alafia barteri,Alafia,Alafia,1
244,Alberta magna,Alberta,Alberta,1
249,Alibertia edulis,Alibertia,Alibertia,1
271,Allamanda blanchetii,Allamanda,Allamanda,3
275,Allamanda cathartica,Allamanda,Allamanda,3
312,Allamanda schottii,Allamanda,Allamanda,3
355,Alstonia actinophylla,Alstonia,Alstonia,30
356,Alstonia angustifolia,Alstonia,Alstonia,30
461,Alstonia angustiloba,Alstonia,Alstonia,30
496,Alstonia balansae,Alstonia,Alstonia,30
524,Alstonia boonei,Alstonia,Alstonia,30
536,Alstonia boulindaensis,Alstonia,Alstonia,30
537,Alstonia congensis,Alstonia,Alstonia,30
550,Alstonia constricta,Alstonia,Alstonia,30
565,Alstonia coriacea,Alstonia,Alstonia,30
574,Alstonia costata,Alstonia,Alstonia,30
580,Alstonia deplanchei,Alstonia,Alstonia,30
584,Alstonia lanceolata,Alstonia,Alstonia,30
591,Alstonia lanceolifera,Alstonia,Alstonia,30
602,Alstonia legouixiae,Alstonia,Alstonia,30
607,Alstonia lenormandii,Alstonia,Alstonia,30
619,Alstonia longifolia,Alstonia,Alstonia,30
629,Alstonia macrophylla,Alstonia,Alstonia,30
747,Alstonia mairei,Alstonia,Alstonia,30
773,Alstonia muelleriana,Alstonia,Alstonia,30
793,Alstonia odontophora,Alstonia,Alstonia,30
798,Alstonia penangiana,Alstonia,Alstonia,30
801,Alstonia pneumatophora,Alstonia,Alstonia,30
820,Alstonia quaternata,Alstonia,Alstonia,30
827,Alstonia rostrata,Alstonia,Alstonia,30
859,Alstonia scholaris,Alstonia,Alstonia,30
965,Alstonia spatulata,Alstonia,Alstonia,30
994,Alstonia spectabilis,Alstonia,Alstonia,30
1004,Alstonia sphaerocapitata,Alstonia,Alstonia,30
1015,Alstonia venenata,Alstonia,Alstonia,30
1034,Alstonia yunnanensis,Alstonia,Alstonia,30
1073,Alyxia buxifolia,Alyxia,Alyxia,3
1076,Alyxia reinwardtii,Alyxia,Alyxia,3
1084,Alyxia sinensis,Alyxia,Alyxia,3
1087,Amaioua guianensis,Amaioua,Amaioua,1
1088,Amalocalyx microlobus,Amalocalyx,Amalocalyx,1
1091,Amsonia ciliata,Amsonia,Amsonia,6
1097,Amsonia elliptica,Amsonia,Amsonia,6
1119,Amsonia grandiflora,Amsonia,Amsonia,6
1127,Amsonia orientalis,Amsonia,Amsonia,6
1137,Amsonia tabernaemontana,Amsonia,Amsonia,6
1146,Amsonia tomentosa,Amsonia,Amsonia,6
1158,Anodendron affine,Anodendron,Anodendron,2
1222,Anodendron parviflorum,Anodendron,Anodendron,2
1224,Anthocleista djalonensis,Anthocleista,Anthocleista,5
1237,Anthocleista grandiflora,Anthocleista,Anthocleista,5
1242,Anthocleista nobilis,Anthocleista,Anthocleista,5
1243,Anthocleista procera,Anthocleista,Anthocleista,5
1245,Anthocleista vogelii,Anthocleista,Anthocleista,5
1255,Antonia ovata,Antonia,Antonia,1
1264,Apocynum androsaemifolium,Apocynum,Apocynum,4
1269,Apocynum cannabinum,Apocynum,Apocynum,4
1303,Apocynum pictum,Apocynum,Apocynum,4
1307,Apocynum venetum,Apocynum,Apocynum,4
1346,Apteranthes tuberculata,Apteranthes,Apteranthes,1
1347,Araujia sericifera,Araujia,Araujia,1
1383,Argostemma yappii,Argostemma,Argostemma,1
1387,Asclepias albicans,Asclepias,Asclepias,20
1391,Asclepias asperula,Asclepias,Asclepias,20
1397,Asclepias cordifolia,Asclepias,Asclepias,20
1402,Asclepias curassavica,Asclepias,Asclepias,20
1504,Asclepias eastwoodiana,Asclepias,Asclepias,20
1505,Asclepias eriocarpa,Asclepias,Asclepias,20
1512,Asclepias glaucescens,Asclepias,Asclepias,20
1516,Asclepias humistrata,Asclepias,Asclepias,20
1517,Asclepias incarnata,Asclepias,Asclepias,20
1576,Asclepias labriformis,Asclepias,Asclepias,20
1583,Asclepias latifolia,Asclepias,Asclepias,20
1586,Asclepias linaria,Asclepias,Asclepias,20
1593,Asclepias mellodora,Asclepias,Asclepias,20
1594,Asclepias ruthiae,Asclepias,Asclepias,20
1595,Asclepias speciosa,Asclepias,Asclepias,20
1612,Asclepias subulata,Asclepias,Asclepias,20
1624,Asclepias syriaca,Asclepias,Asclepias,20
1670,Asclepias tuberosa,Asclepias,Asclepias,20
1722,Asclepias vestita,Asclepias,Asclepias,20
1744,Asclepias viridis,Asclepias,Asclepias,20
1753,Asperula oppositifolia,Asperula,Asperula,1
1758,Aspidosperma album,Aspidosperma,Aspidosperma,32
1759,Aspidosperma auriculatum,Aspidosperma,Aspidosperma,32
1761,Aspidosperma australe,Aspidosperma,Aspidosperma,32
1762,Aspidosperma carapanauba,Aspidosperma,Aspidosperma,32
1763,Aspidosperma cuspa,Aspidosperma,Aspidosperma,32
1764,Aspidosperma cylindrocarpon,Aspidosperma,Aspidosperma,32
1767,Aspidosperma desmanthum,Aspidosperma,Aspidosperma,32
1771,Aspidosperma discolor,Aspidosperma,Aspidosperma,32
1782,Aspidosperma duckei,Aspidosperma,Aspidosperma,32
1783,Aspidosperma eburneum,Aspidosperma,Aspidosperma,32
1792,Aspidosperma excelsum,Aspidosperma,Aspidosperma,32
1822,Aspidosperma formosanum,Aspidosperma,Aspidosperma,32
1827,Aspidosperma limae,Aspidosperma,Aspidosperma,32
1829,Aspidosperma macrocarpon,Aspidosperma,Aspidosperma,32
1832,Aspidosperma marcgravianum,Aspidosperma,Aspidosperma,32
1862,Aspidosperma megalocarpon,Aspidosperma,Aspidosperma,32
1866,Aspidosperma multiflorum,Aspidosperma,Aspidosperma,32
1871,Aspidosperma nigricans,Aspidosperma,Aspidosperma,32
1874,Aspidosperma oblongum,Aspidosperma,Aspidosperma,32
1882,Aspidosperma obscurinervium,Aspidosperma,Aspidosperma,32
1884,Aspidosperma olivaceum,Aspidosperma,Aspidosperma,32
1890,Aspidosperma pachypterum,Aspidosperma,Aspidosperma,32
1895,Aspidosperma parvifolium,Aspidosperma,Aspidosperma,32
1896,Aspidosperma polyneuron,Aspidosperma,Aspidosperma,32
1901,Aspidosperma pyricollum,Aspidosperma,Aspidosperma,32
1907,Aspidosperma pyrifolium,Aspidosperma,Aspidosperma,32
