,accepted_species,Genus,Assigned_group,number_of_species_in_group
1925,Aspidosperma quebracho-blanco,Aspidosperma,Aspidosperma,32
1943,Aspidosperma ramiflorum,Aspidosperma,Aspidosperma,32
1947,Aspidosperma spruceanum,Aspidosperma,Aspidosperma,32
1950,Aspidosperma subincanum,Aspidosperma,Aspidosperma,32
1963,Aspidosperma tomentosum,Aspidosperma,Aspidosperma,32
1976,Aspidosperma ulei,Aspidosperma,Aspidosperma,32
1979,Baroniella acuminata,Baroniella,Baroniella,1
1984,Bathysa australis,Bathysa,Bathysa,1
1985,Beaumontia brevituba,Beaumontia,Beaumontia,3
1992,Beaumontia grandiflora,Beaumontia,Beaumontia,3
2001,Beaumontia murtonii,Beaumontia,Beaumontia,3
2008,Benkara malabarica,Benkara,Benkara,1
2009,Blackstonia perfoliata,Blackstonia,Blackstonia,1
2019,Boucerosia umbellata,Boucerosia,Boucerosia,1
2026,Bousigonia angustifolia,Bousigonia,Bousigonia,2
2029,Bousigonia mekongensis,Bousigonia,Bousigonia,2
2032,Bouvardia ternifolia,Bouvardia,Bouvardia,1
2033,Breonadia salicina,Breonadia,Breonadia,1
2036,Breonia chinensis,Breonia,Breonia,1
2048,Buchozia japonica,Buchozia,Buchozia,1
2049,Burchellia bubalina,Burchellia,Burchellia,1
2050,Callichilia barteri,Callichilia,Callichilia,3
2066,Callichilia inaequalis,Callichilia,Callichilia,3
2071,Callichilia subsessilis,Callichilia,Callichilia,3
2073,Calotropis gigantea,Calotropis,Calotropis,2
2093,Calotropis procera,Calotropis,Calotropis,2
2145,Calycophyllum spruceanum,Calycophyllum,Calycophyllum,1
2162,Canscora alata,Canscora,Canscora,2
2189,Canscora diffusa,Canscora,Canscora,2
2190,Canthium berberidifolium,Canthium,Canthium,1
2221,Caralluma plicatiloba,Caralluma,Caralluma,2
2229,Caralluma stalagmifera,Caralluma,Caralluma,2
2234,Carapichea affinis,Carapichea,Carapichea,3
2243,Carapichea ipecacuanha,Carapichea,Carapichea,3
2319,Carapichea klugii,Carapichea,Carapichea,3
2329,Carissa carandas,Carissa,Carissa,3
2337,Carissa macrocarpa,Carissa,Carissa,3
2338,Carissa spinarum,Carissa,Carissa,3
2386,Cascabela thevetia,Cascabela,Cascabela,2
2464,Cascabela thevetioides,Cascabela,Cascabela,2
2468,Catharanthus lanceus,Catharanthus,Catharanthus,6
2480,Catharanthus longifolius,Catharanthus,Catharanthus,6
2487,Catharanthus ovalis,Catharanthus,Catharanthus,6
2509,Catharanthus pusillus,Catharanthus,Catharanthus,6
2519,Catharanthus roseus,Catharanthus,Catharanthus,6
2868,Catharanthus trichophyllus,Catharanthus,Catharanthus,6
2897,Catunaregam nilotica,Catunaregam,Catunaregam,3
2904,Catunaregam obovata,Catunaregam,Catunaregam,3
2910,Catunaregam spinosa,Catunaregam,Catunaregam,3
2945,Centaurium cachanlahuen,Centaurium,Centaurium,5
2947,Centaurium erythraea,Centaurium,Centaurium,5
2993,Centaurium littorale,Centaurium,Centaurium,5
2997,Centaurium pulchellum,Centaurium,Centaurium,5
3007,Centaurium quadrifolium,Centaurium,Centaurium,5
3012,Cephalanthus glabratus,Cephalanthus,Cephalanthus,5
3014,Cephalanthus natalensis,Cephalanthus,Cephalanthus,5
3019,Cephalanthus occidentalis,Cephalanthus,Cephalanthus,5
3044,Cephalanthus salicifolius,Cephalanthus,Cephalanthus,5
3045,Cephalanthus tetrandrus,Cephalanthus,Cephalanthus,5
3053,Cerbera floribunda,Cerbera,Cerbera,4
3056,Cerbera inflata,Cerbera,Cerbera,4
3059,Cerbera manghas,Cerbera,Cerbera,4
3120,Cerbera odollam,Cerbera,Cerbera,4
3145,Ceriscoides turgida,Ceriscoides,Ceriscoides,1
3146,Ceropegia juncea,Ceropegia,Ceropegia,2
3148,Ceropegia variegata,Ceropegia,Ceropegia,2
3172,Chassalia parvifolia,Chassalia,Chassalia,2
3175,Chassalia subcoriacea,Chassalia,Chassalia,2
3176,Chimarrhis cymosa,Chimarrhis,Chimarrhis,2
3177,Chimarrhis turbinata,Chimarrhis,Chimarrhis,2
3207,Chiococca alba,Chiococca,Chiococca,1
3230,Chione venosa,Chione,Chione,1
3241,Chironia baccifera,Chironia,Chironia,4
3245,Chironia krebsii,Chironia,Chironia,4
3266,Chironia palustris,Chironia,Chironia,4
3271,Chironia purpurascens,Chironia,Chironia,4
3276,Chonemorpha fragrans,Chonemorpha,Chonemorpha,1
3280,Ciliosemina pedunculata,Ciliosemina,Ciliosemina,2
3294,Ciliosemina purdieana,Ciliosemina,Ciliosemina,2
3325,Cinchona calisaya,Cinchona,Cinchona,3
3389,Cinchona officinalis,Cinchona,Cinchona,3
3395,Cinchona pubescens,Cinchona,Cinchona,3
3488,Coelospermum balansanum,Coelospermum,Coelospermum,4
3493,Coelospermum decipiens,Coelospermum,Coelospermum,4
3494,Coelospermum paniculatum,Coelospermum,Coelospermum,4
3498,Coelospermum reticulatum,Coelospermum,Coelospermum,4
3557,Coffea arabica,Coffea,Coffea,22
3849,Coffea benghalensis,Coffea,Coffea,22
3851,Coffea brevipes,Coffea,Coffea,22
3852,Coffea canephora,Coffea,Coffea,22
3957,Coffea charrieriana,Coffea,Coffea,22
3965,Coffea congensis,Coffea,Coffea,22
3975,Coffea eugenioides,Coffea,Coffea,22
3994,Coffea homollei,Coffea,Coffea,22
3996,Coffea humblotiana,Coffea,Coffea,22
4004,Coffea humilis,Coffea,Coffea,22
4012,Coffea kapakata,Coffea,Coffea,22
4020,Coffea kianjavatensis,Coffea,Coffea,22
4031,Coffea lancifolia,Coffea,Coffea,22
4033,Coffea liberica,Coffea,Coffea,22
4080,Coffea pseudozanguebariae,Coffea,Coffea,22
4091,Coffea racemosa,Coffea,Coffea,22
4113,Coffea salvatrix,Coffea,Coffea,22
4135,Coffea sessiliflora,Coffea,Coffea,22
4145,Coffea stenophylla,Coffea,Coffea,22
4158,Coffea travancorensis,Coffea,Coffea,22
4159,Coffea vianneyi,Coffea,Coffea,22
4160,Coffea × heterocalyx,Coffea,Coffea,22
4165,Comastoma tenellum,Comastoma,Comastoma,1
4172,Coprosma acerosa,Coprosma,Coprosma,12
4177,Coprosma arborea,Coprosma,Coprosma,12
4178,Coprosma areolata,Coprosma,Coprosma,12
4180,Coprosma linariifolia,Coprosma,Coprosma,12
4182,Coprosma lucida,Coprosma,Coprosma,12
4191,Coprosma propinqua,Coprosma,Coprosma,12
4194,Coprosma pyrifolia,Coprosma,Coprosma,12
4195,Coprosma repens,Coprosma,Coprosma,12
4196,Coprosma robusta,Coprosma,Coprosma,12
4200,Coprosma rotundifolia,Coprosma,Coprosma,12
4203,Coprosma tenuicaulis,Coprosma,Coprosma,12
4205,Coprosma tenuifolia,Coprosma,Coprosma,12
4207,Coptosperma nigrescens,Coptosperma,Coptosperma,1
4208,Cordiera macrophylla,Cordiera,Cordiera,2
4236,Cordiera sessilis,Cordiera,Cordiera,2
4257,Corynanthe johimbe,Corynanthe,Corynanthe,4
4262,Corynanthe macroceras,Corynanthe,Corynanthe,4
4265,Corynanthe pachyceras,Corynanthe,Corynanthe,4
4272,Corynanthe paniculata,Corynanthe,Corynanthe,4
4273,Coussarea brevicaulis,Coussarea,Coussarea,4
4284,Coussarea hydrangeifolia,Coussarea,Coussarea,4
4290,Coussarea macrophylla,Coussarea,Coussarea,4
4300,Coussarea paniculata,Coussarea,Coussarea,4
4315,Coutarea hexandra,Coutarea,Coutarea,1
4331,Coutoubea spicata,Coutoubea,Coutoubea,1
4336,Craspidospermum verticillatum,Craspidospermum,Craspidospermum,1
4338,Crioceras dipladeniiflorus,Crioceras,Crioceras,1
4351,Crossopteryx febrifuga,Crossopteryx,Crossopteryx,1
4365,Crucianella graeca,Crucianella,Crucianella,2
4372,Crucianella maritima,Crucianella,Crucianella,2
4375,Cruciata glabra,Cruciata,Cruciata,4
4379,Cruciata laevipes,Cruciata,Cruciata,4
4388,Cruciata pedemontana,Cruciata,Cruciata,4
4394,Cruciata taurica,Cruciata,Cruciata,4
4412,Cruckshanksia pumila,Cruckshanksia,Cruckshanksia,2
4414,Cruckshanksia verticillata,Cruckshanksia,Cruckshanksia,2
4416,Cryptolepis buchananii,Cryptolepis,Cryptolepis,5
4425,Cryptolepis nigrescens,Cryptolepis,Cryptolepis,5
4446,Cryptolepis obtusa,Cryptolepis,Cryptolepis,5
4449,Cryptolepis sanguinolenta,Cryptolepis,Cryptolepis,5
4472,Cryptolepis sinensis,Cryptolepis,Cryptolepis,5
4473,Cryptostegia grandiflora,Cryptostegia,Cryptostegia,2
4500,Cryptostegia madagascariensis,Cryptostegia,Cryptostegia,2
4503,Curtia tenuifolia,Curtia,Curtia,1
4509,Cyclocotyla congolensis,Cyclocotyla,Cyclocotyla,1
4512,Cynanchum acutum,Cynanchum,Cynanchum,13
4516,Cynanchum boudieri,Cynanchum,Cynanchum,13
4550,Cynanchum bungei,Cynanchum,Cynanchum,13
4565,Cynanchum gracillimum,Cynanchum,Cynanchum,13
4568,Cynanchum grandidieri,Cynanchum,Cynanchum,13
4569,Cynanchum liukiuense,Cynanchum,Cynanchum,13
4570,Cynanchum maximoviczii,Cynanchum,Cynanchum,13
4606,Cynanchum ovalifolium,Cynanchum,Cynanchum,13
4610,Cynanchum polyanthum,Cynanchum,Cynanchum,13
4616,Cynanchum rostellatum,Cynanchum,Cynanchum,13
4635,Cynanchum thesioides,Cynanchum,Cynanchum,13
4642,Cynanchum viminale,Cynanchum,Cynanchum,13
4665,Cynanchum wilfordii,Cynanchum,Cynanchum,13
4688,Cyrtophyllum fragrans,Cyrtophyllum,Cyrtophyllum,1
4694,Damnacanthus indicus,Damnacanthus,Damnacanthus,4
4706,Damnacanthus macrophyllus,Damnacanthus,Damnacanthus,4
4707,Damnacanthus major,Damnacanthus,Damnacanthus,4
4717,Damnacanthus officinarum,Damnacanthus,Damnacanthus,4
4718,Debia ovatifolia,Debia,Debia,1
4722,Decalepis hamiltonii,Decalepis,Decalepis,1
4730,Deppea blumenaviensis,Deppea,Deppea,1
4731,Desmidorchis flava,Desmidorchis,Desmidorchis,3
4733,Desmidorchis penicillata,Desmidorchis,Desmidorchis,3
4739,Desmidorchis retrospiciens,Desmidorchis,Desmidorchis,3
4762,Dimetia capitellata,Dimetia,Dimetia,3
4777,Dimetia hedyotidea,Dimetia,Dimetia,3
4787,Dimetia scandens,Dimetia,Dimetia,3
4793,Dioecrescis erythroclada,Dioecrescis,Dioecrescis,1
4800,Diplorhynchus condylocarpon,Diplorhynchus,Diplorhynchus,1
4803,Diplospora dubia,Diplospora,Diplospora,2
4857,Diplospora fruticosa,Diplospora,Diplospora,2
4870,Dischidanthus thyrsiflorus,Dischidanthus,Dischidanthus,1
4885,Dischidia formosana,Dischidia,Dischidia,1
4895,Diyaminauclea zeylanica,Diyaminauclea,Diyaminauclea,1
4896,Dolichopentas longiflora,Dolichopentas,Dolichopentas,1
4908,Dunnia sinensis,Dunnia,Dunnia,1
4910,Duroia hirsuta,Duroia,Duroia,1
4916,Dyera costulata,Dyera,Dyera,1
4920,Echites panduratus,Echites,Echites,1
4921,Emmenopterys henryi,Emmenopterys,Emmenopterys,1
4923,Enicostema axillare,Enicostema,Enicostema,2
4925,Enicostema verticillatum,Enicostema,Enicostema,2
4926,Eumachia forsteriana,Eumachia,Eumachia,7
4936,Eumachia frutescens,Eumachia,Eumachia,7
4940,Eumachia leptothyrsa,Eumachia,Eumachia,7
4941,Eumachia lyciiflora,Eumachia,Eumachia,7
4946,Eumachia montana,Eumachia,Eumachia,7
4948,Eumachia oleoides,Eumachia,Eumachia,7
4958,Eumachia rostrata,Eumachia,Eumachia,7
4966,Eustoma russellianum,Eustoma,Eustoma,1
4988,Exacum affine,Exacum,Exacum,2
4993,Exacum tetragonum,Exacum,Exacum,2
4994,Exallage auricularia,Exallage,Exallage,2
4999,Exallage chrysotricha,Exallage,Exallage,2
5004,Exostema acuminatum,Exostema,Exostema,2
5011,Exostema caribaeum,Exostema,Exostema,2
5023,Fadogia ancylantha,Fadogia,Fadogia,1
5031,Fagraea auriculata,Fagraea,Fagraea,5
5034,Fagraea berteroana,Fagraea,Fagraea,5
5037,Fagraea blumei,Fagraea,Fagraea,5
5048,Fagraea ceilanica,Fagraea,Fagraea,5
5054,Fagraea gracilipes,Fagraea,Fagraea,5
5063,Faramea guianensis,Faramea,Faramea,3
5065,Faramea multiflora,Faramea,Faramea,3
5067,Faramea occidentalis,Faramea,Faramea,3
5077,Feretia apodanthera,Feretia,Feretia,1
5083,Forsteronia refracta,Forsteronia,Forsteronia,1
5086,Frasera albicaulis,Frasera,Frasera,4
5089,Frasera albomarginata,Frasera,Frasera,4
5096,Frasera caroliniensis,Frasera,Frasera,4
5100,Frasera speciosa,Frasera,Frasera,4
5106,Funastrum clausum,Funastrum,Funastrum,1
5110,Funtumia africana,Funtumia,Funtumia,2
5112,Funtumia elastica,Funtumia,Funtumia,2
5120,Galianthe thalictroides,Galianthe,Galianthe,1
5130,Galium aegeum,Galium,Galium,24
5138,Galium album,Galium,Galium,24
5154,Galium aparine,Galium,Galium,24
5176,Galium glaucum,Galium,Galium,24
5178,Galium heldreichii,Galium,Galium,24
5184,Galium humifusum,Galium,Galium,24
5191,Galium hypocarpium,Galium,Galium,24
5193,Galium lovcense,Galium,Galium,24
5205,Galium macedonicum,Galium,Galium,24
5214,Galium maximoviczii,Galium,Galium,24
5217,Galium melanantherum,Galium,Galium,24
5224,Galium mirum,Galium,Galium,24
5232,Galium mollugo,Galium,Galium,24
5265,Galium odoratum,Galium,Galium,24
5283,Galium palustre,Galium,Galium,24
5286,Galium rhodopeum,Galium,Galium,24
5298,Galium rivale,Galium,Galium,24
5316,Galium rubioides,Galium,Galium,24
5323,Galium semiamictum,Galium,Galium,24
5325,Galium sinaicum,Galium,Galium,24
5363,Galium spurium,Galium,Galium,24
5375,Galium tricornutum,Galium,Galium,24
5377,Galium triflorum,Galium,Galium,24
5378,Galium verum,Galium,Galium,24
5428,Gardenia aubryi,Gardenia,Gardenia,25
5440,Gardenia carinata,Gardenia,Gardenia,25
5449,Gardenia collinsiae,Gardenia,Gardenia,25
5450,Gardenia coronaria,Gardenia,Gardenia,25
5454,Gardenia crameri,Gardenia,Gardenia,25
5457,Gardenia erubescens,Gardenia,Gardenia,25
5458,Gardenia fosbergii,Gardenia,Gardenia,25
5459,Gardenia gordonii,Gardenia,Gardenia,25
5461,Gardenia grievei,Gardenia,Gardenia,25
5462,Gardenia gummifera,Gardenia,Gardenia,25
5469,Gardenia hillii,Gardenia,Gardenia,25
5471,Gardenia imperialis,Gardenia,Gardenia,25
5474,Gardenia jasminoides,Gardenia,Gardenia,25
5625,Gardenia latifolia,Gardenia,Gardenia,25
5634,Gardenia obtusifolia,Gardenia,Gardenia,25
5646,Gardenia oudiepe,Gardenia,Gardenia,25
5657,Gardenia resinifera,Gardenia,Gardenia,25
5673,Gardenia saxatilis,Gardenia,Gardenia,25
5679,Gardenia sootepensis,Gardenia,Gardenia,25
5695,Gardenia storckii,Gardenia,Gardenia,25
5700,Gardenia taitensis,Gardenia,Gardenia,25
5701,Gardenia ternifolia,Gardenia,Gardenia,25
5703,Gardenia thailandica,Gardenia,Gardenia,25
5714,Gardenia tubifera,Gardenia,Gardenia,25
5733,Gardenia urvillei,Gardenia,Gardenia,25
5738,Gardneria angustifolia,Gardneria,Gardneria,4
5741,Gardneria multiflora,Gardneria,Gardneria,4
5750,Gardneria nutans,Gardneria,Gardneria,4
5756,Gardneria ovata,Gardneria,Gardneria,4
5772,Geissospermum argenteum,Geissospermum,Geissospermum,3
5776,Geissospermum laeve,Geissospermum,Geissospermum,3
5792,Geissospermum sericeum,Geissospermum,Geissospermum,3
5805,Gelsemium elegans,Gelsemium,Gelsemium,3
5915,Gelsemium rankinii,Gelsemium,Gelsemium,3
5934,Gelsemium sempervirens,Gelsemium,Gelsemium,3
5984,Geniostoma antherotrichum,Geniostoma,Geniostoma,1
5987,Genipa americana,Genipa,Genipa,2
6011,Genipa spruceana,Genipa,Genipa,2
6041,Gentiana acaulis,Gentiana,Gentiana,60
6059,Gentiana algida,Gentiana,Gentiana,60
6093,Gentiana andrewsii,Gentiana,Gentiana,60
6094,Gentiana aquatica,Gentiana,Gentiana,60
6096,Gentiana argentea,Gentiana,Gentiana,60
6099,Gentiana arisanensis,Gentiana,Gentiana,60
6114,Gentiana asclepiadea,Gentiana,Gentiana,60
6134,Gentiana bavarica,Gentiana,Gentiana,60
6138,Gentiana brachyphylla,Gentiana,Gentiana,60
6166,Gentiana burseri,Gentiana,Gentiana,60
6171,Gentiana cephalantha,Gentiana,Gentiana,60
6173,Gentiana crassa,Gentiana,Gentiana,60
6211,Gentiana crassicaulis,Gentiana,Gentiana,60
6226,Gentiana cruciata,Gentiana,Gentiana,60
6233,Gentiana dahurica,Gentiana,Gentiana,60
6256,Gentiana davidi,Gentiana,Gentiana,60
6273,Gentiana decumbens,Gentiana,Gentiana,60
6280,Gentiana depressa,Gentiana,Gentiana,60
6292,Gentiana elwesii,Gentiana,Gentiana,60
6297,Gentiana formosa,Gentiana,Gentiana,60
6298,Gentiana gelida,Gentiana,Gentiana,60
6305,Gentiana kauffmanniana,Gentiana,Gentiana,60
6307,Gentiana kirilowii,Gentiana,Gentiana,60
6308,Gentiana kurroo,Gentiana,Gentiana,60
6316,Gentiana lawrencei,Gentiana,Gentiana,60
6323,Gentiana linearis,Gentiana,Gentiana,60
6334,Gentiana loureiroi,Gentiana,Gentiana,60
6349,Gentiana lutea,Gentiana,Gentiana,60
6481,Gentiana macrophylla,Gentiana,Gentiana,60
6531,Gentiana makinoi,Gentiana,Gentiana,60
6532,Gentiana manshurica,Gentiana,Gentiana,60
6542,Gentiana nivalis,Gentiana,Gentiana,60
6546,Gentiana officinalis,Gentiana,Gentiana,60
6552,Gentiana olgae,Gentiana,Gentiana,60
6554,Gentiana olivieri,Gentiana,Gentiana,60
6577,Gentiana pannonica,Gentiana,Gentiana,60
6581,Gentiana pedicellata,Gentiana,Gentiana,60
6601,Gentiana piasezkii,Gentiana,Gentiana,60
6602,Gentiana prolata,Gentiana,Gentiana,60
6607,Gentiana prostrata,Gentiana,Gentiana,60
6610,Gentiana punctata,Gentiana,Gentiana,60
6620,Gentiana purpurea,Gentiana,Gentiana,60
6627,Gentiana pyrenaica,Gentiana,Gentiana,60
6636,Gentiana robusta,Gentiana,Gentiana,60
6638,Gentiana rostanii,Gentiana,Gentiana,60
6640,Gentiana scabra,Gentiana,Gentiana,60
6681,Gentiana septemfida,Gentiana,Gentiana,60
6690,Gentiana sikkimensis,Gentiana,Gentiana,60
6695,Gentiana sino-ornata,Gentiana,Gentiana,60
6701,Gentiana siphonantha,Gentiana,Gentiana,60
6712,Gentiana spathacea,Gentiana,Gentiana,60
6713,Gentiana straminea,Gentiana,Gentiana,60
6766,Gentiana taliensis,Gentiana,Gentiana,60
6771,Gentiana terglouensis,Gentiana,Gentiana,60
6773,Gentiana thunbergii,Gentiana,Gentiana,60
6798,Gentiana tibetica,Gentiana,Gentiana,60
6818,Gentiana triflora,Gentiana,Gentiana,60
6844,Gentiana urnula,Gentiana,Gentiana,60
6845,Gentiana utriculosa,Gentiana,Gentiana,60
6852,Gentiana verna,Gentiana,Gentiana,60
6874,Gentianella alborosea,Gentianella,Gentianella,17
6875,Gentianella amarella,Gentianella,Gentianella,17
6890,Gentianella austriaca,Gentianella,Gentianella,17
6894,Gentianella azurea,Gentianella,Gentianella,17
6905,Gentianella bellidifolia,Gentianella,Gentianella,17
6908,Gentianella bulgarica,Gentianella,Gentianella,17
6914,Gentianella campestris,Gentianella,Gentianella,17
6950,Gentianella caucasea,Gentianella,Gentianella,17
6952,Gentianella florida,Gentianella,Gentianella,17
6958,Gentianella germanica,Gentianella,Gentianella,17
6970,Gentianella magellanica,Gentianella,Gentianella,17
6974,Gentianella multicaulis,Gentianella,Gentianella,17
6976,Gentianella nitida,Gentianella,Gentianella,17
6993,Gentianella ramosa,Gentianella,Gentianella,17
6995,Gentianella selaginifolia,Gentianella,Gentianella,17
6996,Gentianella serotina,Gentianella,Gentianella,17
7021,Gentianella turkestanorum,Gentianella,Gentianella,17
7026,Gentianopsis barbata,Gentianopsis,Gentianopsis,11
7053,Gentianopsis barbellata,Gentianopsis,Gentianopsis,11
7078,Gentianopsis ciliata,Gentianopsis,Gentianopsis,11
7103,Gentianopsis crinita,Gentianopsis,Gentianopsis,11
7126,Gentianopsis detonsa,Gentianopsis,Gentianopsis,11
7151,Gentianopsis grandis,Gentianopsis,Gentianopsis,11
7176,Gentianopsis lanceolata,Gentianopsis,Gentianopsis,11
7201,Gentianopsis paludosa,Gentianopsis,Gentianopsis,11
7237,Gentianopsis simplex,Gentianopsis,Gentianopsis,11
