"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"96",96,903.748038,67.727863,44
"145",145,1060.763495,67.727863,48
"152",152,1193.259492,67.727863,75
"155",155,972.371243,67.727863,44
"230",230,1271.785909,67.727863,69
"248",248,990.362309,67.727863,51
"80",80,1188.551319,67.727863,74
"99",99,1161.1131995,67.727863,55
"123",123,1038.796294,67.727863,52
"168",168,166.350231,67.727863,3
"170",170,1081.798384,67.727863,59
"253",253,1084.217753,67.727863,57
"297",297,1000.643753,67.727863,47
"16",16,1149.6174545,67.727863,57
"134",134,1174.847191,67.727863,53
"287",287,1160.186425,67.727863,61
"57",57,1565.639637,67.727863,80
"90",90,818.274793,67.727863,42
"172",172,1014.006705,67.727863,49
"234",234,1295.535945,67.727863,79
"86",86,556.215861,67.727863,18
"129",129,265.14409,67.727863,5
"225",225,1113.657488,67.727863,55
"257",257,1083.790807,67.727863,55
"23",23,1452.798478,67.727863,88
"77",77,1478.734147,67.727863,83
"113",113,787.15523,67.727863,40
"211",211,1203.809855,67.727863,56
"224",224,898.978789,67.727863,43
"158",158,1169.9638135,67.727863,70
"166",166,1582.2717635,67.727863,84
"285",285,1363.175984,67.727863,79
"41",41,1106.890967,67.727863,58
"45",45,1041.788279,67.727863,49
"59",59,744.919927,67.727863,32
"162",162,469.66472,67.727863,15
"236",236,1100.916723,67.727863,68
"278",278,848.36971,67.727863,41
"288",288,564.182206,67.727863,21
"305",305,1107.73935,67.727863,57
"79",79,1013.290808,67.727863,48
"125",125,462.155939,67.727863,14
"186",186,1080.8824495,67.727863,53
"1",1,948.556304,67.727863,46
"146",146,1232.519651,67.727863,70
"150",150,889.180594,67.727863,46
"258",258,1308.672059,67.727863,71
"127",127,827.993025,67.727863,37
"250",250,658.562397,67.727863,23
"300",300,704.55967,67.727863,24
"118",118,1071.824975,67.727863,56
"175",175,625.514365,67.727863,23
"203",203,468.851897,67.727863,15
"102",102,664.832123,67.727863,29
"151",151,1288.588571,67.727863,71
"217",217,1432.509985,67.727863,83
"286",286,1302.540372,67.727863,65
"9",9,1238.439573,67.727863,63
"130",130,746.657018,67.727863,26
"173",173,1094.128668,67.727863,59
"182",182,548.478281,67.727863,17
"263",263,931.986511,67.727863,42
"238",238,1035.975798,67.727863,39
"18",18,728.086337,67.727863,29
"51",51,1171.063516,67.727863,67
"137",137,1254.1300625,67.727863,62
"83",83,744.628188,67.727863,26
"121",121,1108.304961,67.727863,50
"6",6,312.85961,67.727863,8
"88",88,1068.82913,67.727863,59
"179",179,966.462172,67.727863,52
"216",216,1325.698929,67.727863,71
"91",91,720.553752,67.727863,34
"111",111,298.187871,67.727863,7
"35",35,677.2230765,67.727863,24
"63",63,578.670904,67.727863,24
"147",147,1212.846432,67.727863,74
"289",289,459.593392,67.727863,13
"47",47,1213.38946,67.727863,70
"117",117,1076.202633,67.727863,52
"304",304,1389.8020035,67.727863,86
"58",58,579.335644,67.727863,22
"82",82,1456.1491145,67.727863,80
"183",183,501.951846,67.727863,18
"26",26,863.386137,67.727863,36
"50",50,1182.382182,67.727863,65
"69",69,404.496157,67.727863,16
"135",135,634.483403,67.727863,23
"171",171,542.474072,67.727863,15
"229",229,402.132843,67.727863,10
"107",107,996.1060535,67.727863,49
"215",215,990.393091,67.727863,55
"66",66,889.777359,67.727863,40
"40",40,1316.075969,67.727863,66
"97",97,1490.037845,67.727863,86
"209",209,1332.2998905,67.727863,87
"213",213,1167.535669,67.727863,63
"276",276,997.793025,67.727863,53
"22",22,625.031577,67.727863,27
"109",109,1092.144342,67.727863,48
"143",143,1086.108542,67.727863,60
"160",160,617.925678,67.727863,23
"200",200,484.746589,67.727863,14
"206",206,780.601535,67.727863,36
"31",31,200.395393,52.073117,7
"274",274,765.126591,67.727863,30
"180",180,1122.343657,67.727863,59
"266",266,1059.453615,67.727863,48
"159",159,1025.462651,67.727863,51
"201",201,1122.312356,67.727863,55
"294",294,818.600339,67.727863,33
"239",239,858.342925,67.727863,36
"19",19,723.647798,67.727863,23
"142",142,936.090158,67.727863,49
"281",281,1546.1965325,67.727863,87
"64",64,1103.996213,67.727863,63
"177",177,1348.760949,67.727863,60
"67",67,540.58489,67.727863,17
"61",61,841.629701,67.727863,38
"24",24,1031.6136535,67.727863,59
"84",84,1082.274023,67.727863,54
"280",280,422.328595,67.727863,14
"85",85,859.762291,67.727863,39
"204",204,486.764612,67.727863,17
"14",14,120.09501,60.047505,2
"271",271,1434.0284145,67.727863,84
"302",302,1049.702192,67.727863,55
"34",34,334.099733,67.727863,9
"42",42,439.828843,67.727863,12
"254",254,798.950343,67.727863,44
"251",251,1454.6169485,67.727863,88
"284",284,370.560436,67.727863,11
"62",62,853.948297,67.727863,38
"131",131,977.252003,67.727863,53
"228",228,1155.274062,67.727863,60
"291",291,559.024176,67.727863,18
"93",93,792.346461,67.727863,38
"5",5,1104.798845,67.727863,61
"259",259,515.951621,67.727863,18
"30",30,636.550839,67.727863,22
"70",70,1242.2009055,67.727863,66
"74",74,533.436129,67.727863,17
"106",106,700.064876,67.727863,23
"133",133,562.276488,67.727863,18
"144",144,205.233156,67.727863,5
"194",194,679.945522,67.727863,29
"78",78,938.647299,67.727863,52
"154",154,1442.929402,67.727863,81
"265",265,1194.402808,67.727863,62
"272",272,850.24837,67.727863,38
"306",306,578.423761,67.727863,18
"37",37,226.454251,67.727863,5
"149",149,888.083425,67.727863,37
"246",246,1070.4680255,67.727863,54
"256",256,638.251693,67.727863,23
"235",235,759.003682,67.727863,34
"48",48,907.550787,67.727863,40
"43",43,1302.610287,67.727863,78
"169",169,720.20424,67.727863,28
"198",198,1136.676954,67.727863,65
"273",273,871.147948,67.727863,44
"290",290,934.268006,67.727863,37
"124",124,324.465912,67.727863,8
"232",232,356.011966,67.727863,10
"298",298,632.9684825,67.727863,28
"210",210,550.887597,67.727863,19
"115",115,989.079927,67.727863,45
"255",255,700.72458,67.727863,28
"244",244,548.781932,67.727863,18
"299",299,894.132402,67.727863,40
"110",110,182.164921,67.727863,4
"120",120,869.73668,67.727863,36
"116",116,800.910362,67.727863,30
"3",3,234.451393,67.727863,5
"87",87,278.840005,67.727863,7
"139",139,702.929187,67.727863,24
"222",222,465.339676,67.727863,11
"44",44,245.25274,67.727863,4
"252",252,247.576348,67.727863,4
"241",241,388.118099,67.727863,12
"72",72,430.163674,67.727863,11
"226",226,492.512188,67.727863,15
"293",293,187.528843,67.727863,3
"223",223,540.460712,67.727863,17
"202",202,429.537649,67.727863,12
"187",187,474.786028,67.727863,13
"8",8,723.846623,67.727863,25
"21",21,364.170816,67.727863,10
"98",98,61.78901,30.894505,2
"270",270,218.423348,67.727863,4
"25",25,358.942115,67.727863,9
"264",264,240.914476,67.727863,5
"283",283,192.622874,67.727863,4
