"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"0",0,1331.0021205,67.727863,67
"10",10,945.76289,67.727863,40
"17",17,791.272375,67.727863,37
"20",20,1273.068265,67.727863,70
"27",27,1359.9984025,67.727863,73
"101",101,1374.1751285,67.727863,66
"104",104,1142.45377,67.727863,58
"178",178,941.559669,67.727863,35
"247",247,1188.95896,67.727863,65
"249",249,1101.198136,67.727863,54
"12",12,376.084707,67.727863,10
"39",39,1042.665432,67.727863,53
"46",46,1109.015187,67.727863,64
"105",105,1411.0812385,67.727863,83
"119",119,867.519632,67.727863,38
"126",126,940.089534,67.727863,45
"148",148,1046.10172,67.727863,51
"185",185,1376.343698,67.727863,76
"193",193,1343.639979,67.727863,83
"240",240,988.859042,67.727863,44
"33",33,1397.785624,67.727863,71
"38",38,1296.353861,67.727863,74
"55",55,785.4288,67.727863,38
"108",108,1030.751992,67.727863,51
"136",136,581.524963,67.727863,17
"189",189,774.977157,67.727863,33
"190",190,1214.422511,67.727863,76
"233",233,716.479626,67.727863,30
"261",261,1258.301565,67.727863,70
"262",262,1485.793265,67.727863,83
"53",53,1348.973258,67.727863,80
"75",75,823.913902,67.727863,41
"76",76,1293.568172,67.727863,82
"94",94,662.970954,67.727863,25
"112",112,743.955473,67.727863,30
"128",128,1121.8292275,67.727863,58
"153",153,819.228015,67.727863,40
"161",161,697.768562,67.727863,27
"165",165,1354.183259,67.727863,74
"167",167,1377.550134,67.727863,88
"195",195,1204.9355775,67.727863,65
"267",267,947.693803,67.727863,42
"295",295,1467.78483,67.727863,87
"307",307,781.500978,67.727863,28
"7",7,1103.6893045,67.727863,61
"15",15,1266.555959,67.727863,61
"73",73,1205.502383,67.727863,73
"103",103,1430.3992495,67.727863,86
"138",138,1340.5067805,67.727863,78
"140",140,1347.145264,67.727863,80
"156",156,1212.200968,67.727863,68
"181",181,1277.637535,67.727863,75
"184",184,1132.05637,67.727863,68
"191",191,1325.270464,67.727863,76
"268",268,1286.9743065,67.727863,77
"275",275,847.934811,67.727863,35
"28",28,522.261954,67.727863,14
"81",81,693.926304,67.727863,30
"92",92,1181.392995,67.727863,65
"199",199,1320.420649,67.727863,74
"208",208,1069.482319,67.727863,58
"227",227,604.649771,67.727863,28
"269",269,771.544347,67.727863,32
"68",68,637.291152,67.727863,22
"71",71,1273.908401,67.727863,70
"100",100,480.809849,67.727863,13
"141",141,1394.816011,67.727863,75
"174",174,971.645611,67.727863,48
"197",197,1551.440373,67.727863,82
"221",221,922.336579,67.727863,35
"282",282,1313.062826,67.727863,66
"292",292,956.73621,67.727863,53
"29",29,815.189128,67.727863,36
"54",54,546.780797,67.727863,20
"132",132,1254.841509,67.727863,64
"192",192,658.513735,67.727863,27
"220",220,1511.7184045,67.727863,85
"242",242,1172.413665,67.727863,63
"245",245,944.126953,67.727863,49
"277",277,606.960195,67.727863,21
"301",301,1481.131917,67.727863,80
"303",303,1075.1273065,67.727863,58
"52",52,1195.189225,67.727863,66
"56",56,1147.509656,67.727863,59
"60",60,1249.448121,67.727863,83
"65",65,1535.051533,67.727863,82
"163",163,1269.4383935,67.727863,64
"164",164,1033.329763,67.727863,65
"260",260,617.658379,67.727863,21
"279",279,1294.1600885,67.727863,70
"2",2,1370.667251,67.727863,74
"32",32,1115.568661,67.727863,64
"114",114,874.951155,67.727863,36
"122",122,1348.015888,67.727863,70
"188",188,1361.5256565,67.727863,84
"212",212,1102.908815,67.727863,62
"219",219,745.117888,67.727863,27
"231",231,846.979772,67.727863,38
"4",4,787.735317,67.727863,41
"11",11,738.536381,67.727863,33
"13",13,649.177892,67.727863,26
"89",89,1204.859508,67.727863,68
"196",196,1399.2629375,67.727863,85
"214",214,1399.970783,67.727863,87
"237",237,1447.141722,67.727863,84
"95",95,1036.3913675,67.727863,53
"157",157,1220.555315,67.727863,60
"176",176,755.390203,67.727863,30
"218",218,1195.537516,67.727863,64
"36",36,1451.558621,67.727863,75
"296",296,1511.042315,67.727863,82
"49",49,1399.246575,67.727863,88
