,Assigned_group,number_of_species_in_group,H,Hbc,G,J,GroupSize_Pathways,FAD,MFAD,APWD,GroupSize_FAD,FAD_Rare,MFAD_Rare,APWD_Rare,H_Rare,Hbc_Rare,G_Rare,J_Rare
count,324,324.0,324.0,324.0,324.0,323.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,323.0
unique,324,,,,,,,,,,,,,,,,,
top,ZIM,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,
mean,,16.401234567901234,1.1449915955824848,1.1585151954708097,0.5823953042504729,0.670429426454184,367.7191358024691,238568.29436104064,311.9225225302199,0.8256982667099784,368.212962962963,34.47184869917204,4.937414640174431,0.8259270178016689,0.8604409222620565,1.123337693747001,0.5013104238274405,0.8374460497771132
std,,16.901081679543935,0.29087863507812717,0.2817735460595093,0.14873606729218114,0.1457863656058545,378.69362965796415,569105.3147913383,329.68751541319915,0.04893809483325625,376.5073988375646,1.9856935963970936,0.2809281268284234,0.046429312684375494,0.23723495786109688,0.28807255509657304,0.12953895204714613,0.0763808416260116
min,,1.0,-0.0,-0.0,0.0,0.29667294420355883,7.0,27.79917895266673,3.9713112789523897,0.5851644669758909,7.0,24.57829448795172,3.511184926850246,0.5851974878083742,0.0,0.0,0.0,0.5916727785823274
25%,,6.0,0.9228755418690883,0.9427688166678766,0.48257408773761745,0.5517264358721653,137.75,15639.640526861669,113.65849378817533,0.8061518318873159,139.0,33.190860033381504,4.766858187813369,0.8019474257866412,0.6781768579651755,0.8884898790908936,0.41310530376039306,0.7854401254185757
50%,,10.0,1.2446639462108815,1.246824749231977,0.6403886016733488,0.6934492017916107,225.0,43234.78054776347,191.31759073856077,0.8426752218991787,226.0,35.088291663218385,5.027092732521613,0.8414618812248122,0.9488049973909707,1.2055285737362706,0.554035882936508,0.8682791575634048
75%,,21.25,1.3702738625100608,1.3822325559376585,0.6979012958201176,0.7741321681336336,474.75,198958.92334751156,413.64199978100413,0.8607075895968889,479.0,36.00672771913905,5.147549898013153,0.8599454549415774,1.0462213601377568,1.362193741891098,0.6003111678004535,0.897816770787456
max,,99.0,1.5595050190320559,1.559509784189785,0.7654313016528925,0.9998238825988729,2210.0,4201917.882776804,1911.700583610921,0.8870149498480093,2198.0,37.064673408571636,5.297503315247417,0.8835122124799123,1.1949265468359476,1.5879563583193161,0.6599512386621315,0.9226792798745332
