,Assigned_group,number_of_species_in_group,H,Hbc,G,J,GroupSize_Pathways,FAD,MFAD,APWD,GroupSize_FAD,FAD_Rare,MFAD_Rare,APWD_Rare,H_Rare,Hbc_Rare,G_Rare,J_Rare
count,659,659.0,659.0,659.0,659.0,426.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,426.0
unique,659,,,,,,,,,,,,,,,,,
top,Xestaea lisianthoides,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,
mean,,1.0,0.45539992975734844,0.5034227872199076,0.26872404652417864,0.7027248706277897,23.998482549317146,1008.9057249881569,16.234763260835404,0.6646923685392587,23.696509863429437,27.915593889068038,3.9879419841525765,0.6646569973587627,0.396877350298137,0.49463324883481435,0.24697178152491508,0.787497078477741
std,,0.0,0.4227145880251004,0.454268996883586,0.24754736922660533,0.22962331609159534,27.564982589710585,5480.661495006192,22.975698483253677,0.13194179036711073,27.415726134322377,5.544343939998792,0.7920491342855417,0.1320081890475903,0.37130154319134656,0.45228533413238386,0.22771053724587514,0.1259603863406461
min,,1.0,-0.0,-0.0,0.0,0.07823246525771237,7.0,0.7317073170731714,0.09146341463414642,0.013066202090592347,7.0,0.5496585365853662,0.07852264808362376,0.013087108013937298,0.0,0.0,0.0,0.5435644431995963
25%,,1.0,-0.0,-0.0,0.0,0.5569234710811796,10.0,54.397704056256174,5.599170466143046,0.6015783445438301,10.0,25.2377448816722,3.6053921259531716,0.600898687658862,0.0,0.0,0.0,0.6804958514661619
50%,,1.0,0.41351322707568855,0.5183704297036874,0.24489795918367352,0.7504280826698017,16.0,153.17138955054054,9.963484936088982,0.6968637920729241,16.0,29.244051431808153,4.177721633115451,0.696286938852575,0.3888233036019424,0.539216885271524,0.2381224489795919,0.8189411884484425
75%,,1.0,0.8173652238549478,0.901814977147493,0.4942058813659802,0.8892964141094666,28.0,465.83140556235526,17.86009944076332,0.7557855677343681,26.5,31.69241104889554,4.527487292699362,0.7545812154498938,0.6931219285614019,0.8723150995960511,0.46090439909297054,0.8933056132290788
max,,1.0,1.7916938989284144,1.904043725345323,0.8156119817496529,1.0,358.0,104878.81086495597,300.51235204858443,0.9082296144495473,349.0,38.16642663136446,5.452346661623495,0.9087244436039158,1.291783886875578,1.882210148240309,0.6999999999999998,1.0
