,H,Hbc,G,J,FAD,MFAD,APWD
H,0.0,0.0,1.2169492003671718e-170,7.894499896578996e-33,4.1474044585552626e-32,8.323389520417112e-33,2.814824796544419e-48
Hbc,0.0,0.0,5.371936713260599e-175,1.9133246582872605e-35,1.1028406828828759e-27,2.463151109614564e-28,5.3363855962195986e-46
G,1.2169492003671718e-170,5.371936713260599e-175,0.0,1.0723894317949319e-57,7.726752827115441e-16,2.308059368017031e-16,1.5845753152499896e-35
J,7.894499896578996e-33,1.9133246582872605e-35,1.0723894317949319e-57,0.0,0.06331750272955264,0.08187299187863428,0.000680277093679199
FAD,4.1474044585552626e-32,1.1028406828828759e-27,7.726752827115441e-16,0.06331750272955264,0.0,0.0,4.870931677700902e-82
MFAD,8.323389520417112e-33,2.463151109614564e-28,2.308059368017031e-16,0.08187299187863428,0.0,0.0,1.925240086595618e-84
APWD,2.814824796544419e-48,5.3363855962195986e-46,1.5845753152499896e-35,0.000680277093679199,4.870931677700902e-82,1.925240086595618e-84,0.0
