,0
number_compounds_from_region,185
['number_compounds_from_Carissa spinarum'],48
number_regions_for_Carissa spinarum,68
['number_compounds_from_Cerbera manghas'],61
number_regions_for_Cerbera manghas,50
['number_compounds_from_Cynanchum viminale'],23
number_regions_for_Cynanchum viminale,58
['number_compounds_from_Guettarda speciosa'],2
number_regions_for_Guettarda speciosa,63
['number_compounds_from_Ochrosia oppositifolia'],4
number_regions_for_Ochrosia oppositifolia,39
['number_compounds_from_Tabernaemontana coffeoides'],49
number_regions_for_Tabernaemontana coffeoides,3
