,Genus,H,Hbc,G,J,H_minmax,Hbc_minmax,G_minmax,J_minmax
0,Acokanthera,1.1186178288686368,1.4416905048246018,0.5123966942148761,0.6243124973412708,0.6305791497127148,0.812699225160032,0.6299109444901259,0.6243124973412708
1,Adenium,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,Adina,1.0783946351367122,1.1276154195672188,0.6200274348422496,0.6700442600521056,0.6079048219417551,0.6356511156132468,0.7622259696458683,0.6700442600521056
3,Afrocanthium,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,Aganosma,0.6365141682948128,0.6463081169323078,0.4444444444444444,0.9182958340544894,0.35881116201177005,0.36433208381949433,0.5463743676222595,0.9182958340544894
5,Aidia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
6,Alafia,0.46599925696104255,0.4777138462074574,0.2906574394463668,0.6722948170756379,0.26268972980561967,0.2692933548232343,0.3573174930124812,0.6722948170756379
7,Alberta,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
8,Alibertia,0.1985152433458726,0.32521273260740713,0.09500000000000008,0.2863969571159562,0.11190557679619575,0.1833265426370909,0.11678752107925809,0.2863969571159562
9,Allamanda,1.046846356478755,1.0468478313777876,0.6330589849108368,0.9528806179183443,0.590120654536561,0.5901214016282185,0.7782462057335581,0.9528806179183443
10,Alstonia,0.4711266630986024,0.48682040391861375,0.20904420774813837,0.2629407971269594,0.26558011409863985,0.2744268369200955,0.25698689283034204,0.2629407971269594
11,Alyxia,0.666278442414676,0.6669479255888184,0.47337278106508873,0.961236604722876,0.3755896632853481,0.3759670057715108,0.5819371962840635,0.961236604722876
12,Amalocalyx,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
13,Amsonia,1.07396681338078,1.0824992002266005,0.5805914202415661,0.7747032978718871,0.6054088022951175,0.6102185304796356,0.7137456076831392,0.7747032978718871
14,Anodendron,0.21904558217698628,0.28573823678144084,0.09033203125,0.19938388131680532,0.12347879087283095,0.16107426861295923,0.11104898951306912,0.19938388131680532
15,Anthocleista,1.1988181878247772,1.4884205847531167,0.5619834710743803,0.6690731699279172,0.6757891158441919,0.8390415639785781,0.6908700681504606,0.6690731699279172
16,Antirhea,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
17,Antonia,0.6365141682948128,0.6463081169323078,0.4444444444444444,0.9182958340544894,0.35881116201177005,0.36433208381949433,0.5463743676222595,0.9182958340544894
18,Apocynum,1.0161113106482422,1.0684216525988297,0.5925925925925926,0.7329693744317021,0.5727949168574221,0.6022828383106463,0.7284991568296794,0.7329693744317021
19,Apteranthes,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
20,Araujia,0.13269142083987162,0.21829787298103845,0.05709342560553643,0.19143325481419324,0.0747998477835849,0.123057280069523,0.07018736469888036,0.19143325481419324
21,Argostemma,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
22,Asclepias,0.5775447787860346,0.5871632373807099,0.24565088757396436,0.32233387834967525,0.3255693643791221,0.33099136497386733,0.30198903379666103,0.32233387834967525
23,Asperula,1.0549201679861442,1.3572884455193177,0.6399999999999999,0.9602297178607612,0.5946719651485325,0.7651207137043707,0.7867790893760537,0.9602297178607612
24,Aspidosperma,0.22789435630830857,0.2812422559308983,0.08583287649776794,0.16439102884628962,0.1284669578086043,0.15853982717678233,0.1055179881397518,0.16439102884628962
25,Baroniella,0.5004024235381879,0.7913473065443453,0.31999999999999984,0.7219280948873623,0.2820832339745835,0.446092514800402,0.3933895446880267,0.7219280948873623
26,Bathysa,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
27,Beaumontia,0.6909233093138181,0.6909555238369107,0.49777777777777776,0.9967916319816367,0.3894822893574371,0.38950039343612036,0.6119392917369307,0.9967916319816367
28,Benkara,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
29,Blackstonia,0.5297061990576545,0.5685686103500799,0.345679012345679,0.7642045065086203,0.29860214630867926,0.3205093378471289,0.42495784148397964,0.7642045065086203
30,Boucerosia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
31,Bousigonia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
32,Bouvardia,0.6365141682948128,1.0662472192320789,0.4444444444444444,0.9182958340544894,0.35881116201177005,0.6010570826395042,0.5463743676222595,0.9182958340544894
33,Breonadia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
34,Breonia,0.6829081047004717,0.6830541399031924,0.48979591836734704,0.9852281360342515,0.3849640161997768,0.3850462830850183,0.602126854114327,0.9852281360342515
35,Buchozia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
36,Burchellia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
37,Callichilia,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
38,Calotropis,0.4898473717467122,0.5613364952109012,0.22406894429055113,0.3533501870057371,0.2761332165405024,0.31643250280506574,0.27545743741620865,0.3533501870057371
39,Calycophyllum,0.4293230219306162,0.46636942296441125,0.2603550295857988,0.6193821946787638,0.24201486793296323,0.26289835953911633,0.3200654579562349,0.6193821946787638
40,Canscora,0.8401356023131106,0.8504459143237431,0.49111111111111116,0.7647243809111579,0.4735951636724662,0.47940714966109044,0.603743676222597,0.7647243809111579
41,Canthium,1.0397207708399179,1.1181928740846283,0.625,0.946394630357186,0.5861038709511542,0.6303395072013789,0.7683389544688025,0.946394630357186
42,Caralluma,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
43,Carapichea,0.8189121072183919,0.8943562639909926,0.5248958539972228,0.5907202180039526,0.4616312085616351,0.504159970763579,0.6452766906643767,0.5907202180039526
44,Carissa,1.3458352727065768,1.441809058592522,0.701923076923077,0.7511249672850363,0.7586645233207288,0.8127660554228423,0.8629037488649629,0.7511249672850363
45,Cascabela,0.7014101386050826,0.7170912627881565,0.430795847750865,0.6384510221121131,0.3953938488972632,0.4042334410101879,0.5295955700006417,0.6384510221121131
