,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
50,CHC,2.571750269882863,2.345528929111655,-0.0504170961226638,0.07416955963459312,-0.12458665575725691,False,False,0.009295374433878179
51,CHH,1.5678535907796654,1.2947602093750512,0.2996743153139063,-0.0053850990090245155,0.3050594143229308,False,False,0.009295374433878179
52,CHI,0.1697057670206973,0.5875361130708013,-0.0225857547851921,-0.06503936259399333,0.04245360780880123,False,False,0.009295374433878179
53,CHM,-0.1583073156335223,0.220928367474343,-0.2754778426596045,-0.04405632946184546,-0.23142151319775905,False,False,0.009295374433878179
54,CHN,0.8470867279739338,1.0914737743627525,-0.1587539846924717,-0.05435085045574073,-0.10440313423673098,False,False,0.009295374433878179
55,CHQ,0.0132368605440539,0.3478443658847058,0.1485852687101098,-0.054473103740722464,0.20305837245083225,False,False,0.009295374433878179
56,CHS,2.267053046174749,2.0939710691392035,0.1070502979095966,0.04938555943032157,0.05766473847927502,False,False,0.009295374433878179
57,CHT,1.094321223322122,1.1495104228008612,0.2889593773084099,-0.03629177619914825,0.3252511535075582,False,False,0.009295374433878179
58,CHX,-0.0491812737650045,0.1866512807783093,0.2947136619729979,-0.050032982902657806,0.3447466448756557,False,False,0.009295374433878179
59,CKI,-0.8841991460483198,-1.5340381556825426,1.2980870640627276,0.20822429206572737,1.0898627719970002,False,False,0.009295374433878179
60,CLC,-0.7715598349487119,-0.9708682891234034,1.724383353311602,0.14192115057799057,1.5824622027336115,False,False,0.009295374433878179
61,CLM,1.8846344886448885,1.816176128021224,0.2129408549275975,0.017947605269135844,0.19499324965846165,False,False,0.009295374433878179
62,CLN,-0.8743459233620694,-1.213130445937304,1.029907912871863,0.20206207094402331,0.8278458419278396,False,False,0.009295374433878179
63,CLS,-1.16981538538618,-1.5340381556825426,1.8725444411417396,0.33053695766958424,1.5420074834721553,False,False,0.009295374433878179
64,CMN,1.5211431950754806,1.7113299291882984,-0.3489860172469067,-0.008478620431683025,-0.3405073968152237,False,False,0.009295374433878179
65,CNT,-0.5786479220544717,-0.7758306895441908,-1.0293787251532216,0.05576966926907169,-1.0851483944222933,False,False,0.009295374433878179
66,CNY,-0.8516857509688187,-0.9708682891234034,-0.797059121125986,0.18822896310937995,-0.985288084235366,False,False,0.009295374433878179
67,COL,-0.2441315092787649,-0.0910936706383567,-0.9238569443605206,-0.037661709925878896,-0.8861952344346417,False,False,0.009295374433878179
68,COM,0.2005744948053958,-0.1375911635537256,-0.7717440371086763,-0.06603424555728676,-0.7057097915513896,False,False,0.009295374433878179
69,CON,1.3059815270387394,1.497286990686708,-0.4082807150725611,-0.02206730869816798,-0.3862134063743931,False,False,0.009295374433878179
70,COO,-0.8636777676002957,-1.3606375673589184,1.894585139773974,0.19551624530307432,1.6990688944708996,False,False,0.009295374433878179
71,COR,-0.3640957800078013,-0.0039131215192864,0.718701100306568,-0.015035869066589852,0.7337369693731578,False,False,0.009295374433878179
