,Group,PD,SR,MFAD_Rare,MFAD_Rare_loess_prediction,MFAD_Rare_residuals,MFAD_Rare_highlight_high,MFAD_Rare_highlight_low,R2
0,ABT,-0.7385007097709098,-0.7758306895441908,-0.6398559709022641,-0.772064249255523,0.13220827835325888,False,False,0.668997205986704
1,AFG,0.3691825928408257,0.4611131282587262,0.7801804911265069,0.4442511216639796,0.33592936946252727,False,False,0.668997205986704
2,AGE,0.5465771888562153,0.4059955480378393,1.0272487775677923,0.6125874275741483,0.414661349993644,False,False,0.668997205986704
3,AGS,-0.9058457016297332,-1.3606375673589184,-2.2958911105995643,-0.917400128404426,-1.3784909821951383,False,True,0.668997205986704
4,AGW,-0.1329690172554453,-0.4078260557832601,1.0029942717669509,-0.16455410389767988,1.1675483756646308,False,False,0.668997205986704
5,ALA,-0.1474256745288218,-0.2373600847840067,-0.3318098750018612,-0.181116996974211,-0.15069287802765022,False,False,0.668997205986704
6,ALB,-0.0345757146385128,0.433913264707048,-0.0650045720552708,-0.04493550302369968,-0.020069069031571116,False,False,0.668997205986704
7,ALD,-1.2513469347384405,-1.7447056892362882,0.668984402899333,-1.1510856867667543,1.8200700896660873,True,False,0.668997205986704
8,ALG,-0.1942775305972008,0.1145389224482926,0.0888319773233063,-0.23344436018008466,0.32227633750339096,False,False,0.668997205986704
9,ALT,-0.14427155534903,0.220928367474343,-0.9151048188274292,-0.1773637222996196,-0.7377410965278096,False,False,0.668997205986704
10,ALU,-1.1829095744412936,-1.3606375673589184,-1.9204010942396452,-1.1121274471194684,-0.8082736471201768,False,False,0.668997205986704
11,AMU,-0.5173802077877031,-0.3478112764350301,-0.0048386369595983,-0.5676369123663978,0.5627982754067995,False,False,0.668997205986704
12,AND,1.2506958371546515,0.981757459988118,1.199190074594623,1.0813988064015059,0.11779126819311703,False,False,0.668997205986704
13,ANG,1.1904967604162071,1.204599274217144,1.206386977646268,1.0521699720623698,0.15421700558389806,False,False,0.668997205986704
14,ARI,-0.0399348950649968,-0.0465899257343305,-0.1062516798714256,-0.05176809035265189,-0.05448358951877371,False,False,0.668997205986704
15,ARK,-0.2295782476755851,-0.4715702278899226,-0.3339282914155359,-0.27338104842193794,-0.06054724299359798,False,False,0.668997205986704
16,ARU,-0.7446799850308468,-1.213130445937304,0.1643738775929096,-0.7774883295966545,0.9418622071895641,False,False,0.668997205986704
17,ASK,-0.9019672955167786,-0.9708682891234034,-1.917617828074132,-0.9140751913343848,-1.0035426367397473,False,False,0.668997205986704
18,ASS,1.847171750854199,1.6504701239951474,1.3334774721985028,1.3351543422179888,-0.0016768700194860209,False,False,0.668997205986704
19,AUT,0.0621139741541596,0.6341746128716227,-0.6151967040341818,0.07476021213495154,-0.6899569161691333,False,False,0.668997205986704
20,AZO,-1.0606646912619926,-1.3606375673589184,0.4392932109894408,-1.0375778013160788,1.4768710123055195,True,False,0.668997205986704
21,BAH,-0.1302358631697786,-0.3478112764350301,0.1382598983783727,-0.1611848235248374,0.2994447219032101,False,False,0.668997205986704
22,BAL,-0.5231611265605729,-0.3478112764350301,0.242454292361025,-0.5731720768660366,0.8156263692270616,False,False,0.668997205986704
23,BAN,1.801597551339997,1.7113299291882984,1.200664389168067,1.3175310973107335,-0.11686670814266642,False,False,0.668997205986704
24,BEN,1.0229664843569537,1.1495104228008612,1.5397466867846132,0.9603909982876069,0.5793556884970064,False,False,0.668997205986704
25,BER,-1.6792306604068477,-1.7447056892362882,-0.6669773002847253,-1.3687575967502978,0.7017802964655725,False,False,0.668997205986704
26,BGM,-0.48912678370378,-0.0465899257343305,-0.7399810402048557,-0.5403635419911668,-0.1996174982136889,False,False,0.668997205986704
27,BIS,0.1417759728485544,-0.0465899257343305,0.9433305203201672,0.17585152868226483,0.7674789916379023,False,False,0.668997205986704
28,BKN,0.7352659049197241,0.6788568558602504,0.8481342321082298,0.7693625944755229,0.07877163763270689,False,False,0.668997205986704
29,BLR,-0.5127861878304757,-0.0910936706383567,-0.5528785846769033,-0.5632260572684794,0.01034747259157609,False,False,0.668997205986704
30,BLT,-0.6727600580773268,-0.1862733238983291,-0.9807409652790864,-0.7134533569771475,-0.2672876083019389,False,False,0.668997205986704
31,BLZ,0.940224459336712,0.8219889543502039,1.0370306879402578,0.9081283208704858,0.12890236706977198,False,False,0.668997205986704
32,BOL,1.6523911644984683,1.685656484757793,1.3180960067964873,1.2577748143023142,0.060321192494173115,False,False,0.668997205986704
33,BOR,1.653523366173444,1.4765469632901145,1.1646551688021087,1.258239772675528,-0.09358460387341916,False,False,0.668997205986704
34,BOT,0.3050456994469861,0.0370833440830452,-0.2607234164512191,0.3729302647742639,-0.6336536812254829,False,False,0.668997205986704
35,BRC,-0.4299535387756404,-0.6123776352883421,-0.6359725322592515,-0.48178015135255636,-0.15419238090669518,False,False,0.668997205986704
36,BRY,-0.2471081507580919,0.0370833440830452,-0.3177611463636462,-0.29368344454251116,-0.024077701821135056,False,False,0.668997205986704
37,BUL,0.1728491368733148,0.7425575116536355,-0.4016812569777706,0.2142259562224441,-0.6159072132002147,False,False,0.668997205986704
38,BUR,0.7625868551740667,0.5634271192824869,0.8674876079322887,0.7883369270083456,0.07915068092394317,False,False,0.668997205986704
39,BZC,1.409874915967665,1.444682692005843,1.3216555577945288,1.1542708826329984,0.16738467516153044,False,False,0.668997205986704
40,BZE,1.484716403585402,1.4869659638476924,1.0353878158419496,1.1870517491034052,-0.15166393326145555,False,False,0.668997205986704
41,BZL,1.5305017385344175,1.566940682918563,1.2672990967673752,1.2067288569941494,0.06057023977322573,False,False,0.668997205986704
42,BZN,1.8494895487409813,1.8687789953376424,1.161380610539968,1.3360425566520115,-0.17466194611204355,False,False,0.668997205986704
43,BZS,0.7688385016925147,0.8596013411073246,1.4182000496065306,0.79261777347167,0.6255822761348606,False,False,0.668997205986704
44,CAB,0.201255213047368,0.4611131282587262,1.1689212341950304,0.24889693878027866,0.9200242954147517,False,False,0.668997205986704
