,native_regions_H_Rare,native_regions_Hbc_Rare,native_regions_G_Rare,native_regions_J_Rare,native_regions_FAD_Rare,native_regions_MFAD_Rare,native_regions_APWD_Rare
PD,1.2158093850219486e-10,3.0258016266895956e-16,7.008027652218157e-08,0.0014591516218967892,4.994234191943422e-77,3.857745050295956e-80,2.3577741937165545e-82
SR,5.546568970878124e-16,3.2744035402961643e-21,8.196056685421192e-13,7.948531057677852e-07,4.880622334272271e-57,5.829289682690626e-61,1.7834684680643068e-65
PD',0.002488325559595187,0.07045802593539319,0.0005831848604513174,0.0003677663216061306,5.046231924320719e-09,1.0290997612820908e-07,6.40622638512886e-06
