,Group,PD,SR,H,H_loess_prediction,H_residuals,H_highlight_high,H_highlight_low,R2
0,ABT,-0.7385007097709098,-0.7758306895441908,0.6770200954923523,-0.5247297789721054,1.2017498744644577,False,False,0.30329188027547005
1,AFG,0.3691825928408257,0.4611131282587262,2.0480308701428966,0.32208653881341026,1.7259443313294864,True,False,0.30329188027547005
2,AGE,0.5465771888562153,0.4059955480378393,-0.296001008971481,0.3999178138473117,-0.6959188228187927,False,False,0.30329188027547005
3,AGS,-0.9058457016297332,-1.3606375673589184,-1.7007737609902551,-0.6606038285570675,-1.0401699324331877,False,False,0.30329188027547005
4,AGW,-0.1329690172554453,-0.4078260557832601,1.6303181993888338,0.00195969377572389,1.62835850561311,False,False,0.30329188027547005
5,ALA,-0.1474256745288218,-0.2373600847840067,-0.8952611528673953,-0.009823355708941396,-0.8854377971584538,False,False,0.30329188027547005
6,ALB,-0.0345757146385128,0.433913264707048,0.417817219809947,0.07358294483594112,0.3442342749740059,False,False,0.30329188027547005
7,ALD,-1.2513469347384405,-1.7447056892362882,0.52855241075521,-0.9194603907989085,1.4480128015541185,False,False,0.30329188027547005
8,ALG,-0.1942775305972008,0.1145389224482926,-1.0639557218285378,-0.04897540507716372,-1.014980316751374,False,False,0.30329188027547005
9,ALT,-0.14427155534903,0.220928367474343,0.1137239516927515,-0.0073598775199097966,0.1210838292126613,False,False,0.30329188027547005
10,ALU,-1.1829095744412936,-1.3606375673589184,-1.0403802065017949,-0.8711654558033901,-0.16921475069840475,False,False,0.30329188027547005
11,AMU,-0.5173802077877031,-0.3478112764350301,1.1300975979862375,-0.3298943551848864,1.4599919531711238,False,False,0.30329188027547005
12,AND,1.2506958371546515,0.981757459988118,0.5590394216687202,0.6447986962395006,-0.08575927457078036,False,False,0.30329188027547005
13,ANG,1.1904967604162071,1.204599274217144,1.0652059634283757,0.6285898982185516,0.4366160652098241,False,False,0.30329188027547005
14,ARI,-0.0399348950649968,-0.0465899257343305,0.3115098987120283,0.07015317464426862,0.24135672406775965,False,False,0.30329188027547005
15,ARK,-0.2295782476755851,-0.4715702278899226,-0.8226176941548576,-0.07843132708960487,-0.7441863670652528,False,False,0.30329188027547005
16,ARU,-0.7446799850308468,-1.213130445937304,0.6635686460878027,-0.529828433440069,1.1933970795278719,False,False,0.30329188027547005
17,ASK,-0.9019672955167786,-0.9708682891234034,-0.4067110653072277,-0.6574791528926672,0.2507680875854395,False,False,0.30329188027547005
18,ASS,1.847171750854199,1.6504701239951474,1.3372677763677532,0.7879580123556549,0.5493097640120983,False,False,0.30329188027547005
19,AUT,0.0621139741541596,0.6341746128716227,1.161734267516505,0.14219155103504966,1.0195427164814554,False,False,0.30329188027547005
20,AZO,-1.0606646912619926,-1.3606375673589184,0.4728240458256447,-0.7821529740420106,1.2549770198676553,False,False,0.30329188027547005
21,BAH,-0.1302358631697786,-0.3478112764350301,-1.1451052196796838,0.003977391800559247,-1.149082611480243,False,False,0.30329188027547005
22,BAL,-0.5231611265605729,-0.3478112764350301,-0.6123552563831959,-0.33501863705545626,-0.2773366193277396,False,False,0.30329188027547005
23,BAN,1.801597551339997,1.7113299291882984,0.9376856607209229,0.7773500175073457,0.16033564321357718,False,False,0.30329188027547005
24,BEN,1.0229664843569537,1.1495104228008612,0.2820008068658353,0.5769399258301636,-0.29493911896432834,False,False,0.30329188027547005
25,BER,-1.6792306604068477,-1.7447056892362882,-1.3682248528823822,-1.2002546240354366,-0.16797022884694557,False,False,0.30329188027547005
26,BGM,-0.48912678370378,-0.0465899257343305,1.39602565907341,-0.3048447868167248,1.7008704458901347,False,False,0.30329188027547005
27,BIS,0.1417759728485544,-0.0465899257343305,1.6833651586717926,0.1893424561085547,1.494022702563238,False,False,0.30329188027547005
28,BKN,0.7352659049197241,0.6788568558602504,-0.5993201695609124,0.4719871195026589,-1.0713072890635713,False,False,0.30329188027547005
29,BLR,-0.5127861878304757,-0.0910936706383567,0.788842608057834,-0.3258223737713845,1.1146649818292185,False,False,0.30329188027547005
30,BLT,-0.6727600580773268,-0.1862733238983291,0.2804155221241402,-0.4688658435089772,0.7492813656331174,False,False,0.30329188027547005
31,BLZ,0.940224459336712,0.8219889543502039,0.2377391312129571,0.5477208891507432,-0.30998175793778615,False,False,0.30329188027547005
32,BOL,1.6523911644984683,1.685656484757793,0.9274745668556372,0.742379123604739,0.18509544325089822,False,False,0.30329188027547005
33,BOR,1.653523366173444,1.4765469632901145,0.5403971096223225,0.7426453941528339,-0.20224828453051147,False,False,0.30329188027547005
34,BOT,0.3050456994469861,0.0370833440830452,-1.1128254877238672,0.28741043777168307,-1.4002359254955503,False,False,0.30329188027547005
35,BRC,-0.4299535387756404,-0.6123776352883421,-0.8561843120492925,-0.25223813375417536,-0.6039461782951171,False,False,0.30329188027547005
36,BRY,-0.2471081507580919,0.0370833440830452,1.55295449717512,-0.09298108234495849,1.6459355795200783,False,False,0.30329188027547005
37,BUL,0.1728491368733148,0.7425575116536355,1.1903657733752573,0.20650776613920782,0.9838580072360494,False,False,0.30329188027547005
38,BUR,0.7625868551740667,0.5634271192824869,1.2939116348831523,0.48205895602063525,0.8118526788625171,False,False,0.30329188027547005
39,BZC,1.409874915967665,1.444682692005843,0.499288656250982,0.6847067266589477,-0.1854180704079657,False,False,0.30329188027547005
40,BZE,1.484716403585402,1.4869659638476924,0.0130992860528672,0.7027138398558337,-0.6896145538029664,False,False,0.30329188027547005
41,BZL,1.5305017385344175,1.566940682918563,0.1877261742525986,0.7136102484951878,-0.5258840742425892,False,False,0.30329188027547005
42,BZN,1.8494895487409813,1.8687789953376424,0.3030769176127977,0.7884961903071596,-0.48541927269436186,False,False,0.30329188027547005
43,BZS,0.7688385016925147,0.8596013411073246,-0.1672239970974642,0.4843637711554962,-0.6515877682529604,False,False,0.30329188027547005
44,CAB,0.201255213047368,0.4611131282587262,0.3055018919687955,0.224770014856934,0.08073187711186153,False,False,0.30329188027547005
45,CAF,1.2902945074547207,1.4229133206964009,0.2646400263708414,0.6550406437075325,-0.39040061733669107,False,False,0.30329188027547005
46,CAL,-0.0397668852614965,0.0370833440830452,-0.3496834646412878,0.0702572686474281,-0.4199407332887159,False,False,0.30329188027547005
47,CAY,-0.1840408559639587,-0.4715702278899226,-1.1422343749794308,-0.04038412419840936,-1.1018502507810215,False,False,0.30329188027547005
48,CBD,1.902878785959765,1.8238450678272684,0.2700748146310225,0.8008519594607508,-0.5307771448297283,False,False,0.30329188027547005
49,CHA,0.6119698841332201,0.4611131282587262,-0.9536912910473782,0.42624754746202886,-1.379938838509407,False,False,0.30329188027547005
50,CHC,2.571750269882863,2.345528929111655,0.6304604130639089,0.9438345048497762,-0.3133740917858673,False,False,0.30329188027547005
51,CHH,1.5678535907796654,1.2947602093750512,1.1138458347252524,0.7224541869671085,0.39139164775814395,False,False,0.30329188027547005
52,CHI,0.1697057670206973,0.5875361130708013,0.6677518059180828,0.20486517098149437,0.46288663493658844,False,False,0.30329188027547005
53,CHM,-0.1583073156335223,0.220928367474343,-0.2893312516525173,-0.019179508885928162,-0.2701517427665891,False,False,0.30329188027547005
54,CHN,0.8470867279739338,1.0914737743627525,0.4871838040653942,0.5137438775227614,-0.026560073457367217,False,False,0.30329188027547005
55,CHQ,0.0132368605440539,0.3478443658847058,0.901432792344241,0.10703582545440034,0.7943969668898406,False,False,0.30329188027547005
56,CHS,2.267053046174749,2.0939710691392035,0.8440474826719637,0.8820139284834959,-0.03796644581153219,False,False,0.30329188027547005
57,CHT,1.094321223322122,1.1495104228008612,1.0985930474723309,0.6004038420282908,0.4981892054440401,False,False,0.30329188027547005
58,CHX,-0.0491812737650045,0.1866512807783093,0.2915905776938018,0.06439822162743619,0.22719235606636562,False,False,0.30329188027547005
59,CKI,-0.8841991460483198,-1.5340381556825426,1.4523819812020151,-0.6432765959675596,2.0956585771695746,True,False,0.30329188027547005
60,CLC,-0.7715598349487119,-0.9708682891234034,-0.462060959972332,-0.5518503908484785,0.08978943087614655,False,False,0.30329188027547005
61,CLM,1.8846344886448885,1.816176128021224,0.9912071660651218,0.7966389739931592,0.19456819207196263,False,False,0.30329188027547005
62,CLN,-0.8743459233620694,-1.213130445937304,-0.8255952957295267,-0.6352834554359762,-0.19031184029355053,False,False,0.30329188027547005
63,CLS,-1.16981538538618,-1.5340381556825426,-2.15605537591649,-0.8618469514363802,-1.29420842448011,False,False,0.30329188027547005
64,CMN,1.5211431950754806,1.7113299291882984,0.2428997624502329,0.7113886571173276,-0.46848889466709465,False,False,0.30329188027547005
65,CNT,-0.5786479220544717,-0.7758306895441908,-0.9655746708273756,-0.38440850000667676,-0.5811661708206988,False,False,0.30329188027547005
66,CNY,-0.8516857509688187,-0.9708682891234034,-1.2218869124629663,-0.6168964205660352,-0.6049904918969311,False,False,0.30329188027547005
67,COL,-0.2441315092787649,-0.0910936706383567,-1.2991952917632517,-0.09050086396367565,-1.208694427799576,False,False,0.30329188027547005
68,COM,0.2005744948053958,-0.1375911635537256,-0.2662219079862787,0.22428978909353547,-0.4905116970798142,False,False,0.30329188027547005
69,CON,1.3059815270387394,1.497286990686708,0.1686713919320336,0.6590260929630414,-0.49035470103100776,False,False,0.30329188027547005
70,COO,-0.8636777676002957,-1.3606375673589184,-1.398645055715742,-0.6266245426249962,-0.7720205130907457,False,False,0.30329188027547005
71,COR,-0.3640957800078013,-0.0039131215192864,0.7609532705899463,-0.19431518169536913,0.9552684522853154,False,False,0.30329188027547005
72,COS,1.3619356687419308,1.2947602093750512,0.8011301438249716,0.6729858384870862,0.12814430533788546,False,False,0.30329188027547005
73,CPI,-2.900139546856515,-1.7447056892362882,-2.3836336556352915,-1.81680782059402,-0.5668258350412716,False,False,0.30329188027547005
74,CPP,0.5244243646117056,0.3478443658847058,0.4836067089109597,0.39111851072099163,0.09248819818996806,False,False,0.30329188027547005
75,CPV,-0.0484653674682219,-0.4078260557832601,-1.307691070738314,0.06484601963321672,-1.3725370903715308,False,False,0.30329188027547005
76,CRL,-0.1263393588527728,-0.4715702278899226,-0.943558435305618,0.006861239917262907,-0.950419675222881,False,False,0.30329188027547005
77,CTA,-0.4139263340529477,-0.1375911635537256,1.353285813227774,-0.2380804418490487,1.5913662550768228,False,False,0.30329188027547005
