,Genus,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty_acids_count,mean_identified_as_Fatty_acids,expected_total_mean_for_Fatty_acids,weigthing_factor_for_Fatty_acids,norm_mean_identified_as_Fatty_acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino_acids_and_Peptides_count,mean_identified_as_Amino_acids_and_Peptides,expected_total_mean_for_Amino_acids_and_Peptides,weigthing_factor_for_Amino_acids_and_Peptides,norm_mean_identified_as_Amino_acids_and_Peptides,identified_Shikimates_and_Phenylpropanoids_count,mean_identified_as_Shikimates_and_Phenylpropanoids,expected_total_mean_for_Shikimates_and_Phenylpropanoids,weigthing_factor_for_Shikimates_and_Phenylpropanoids,norm_mean_identified_as_Shikimates_and_Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids
0,Acokanthera,23,17,0.7391304347826086,0.376865671641791,0.574442516811659,0.5849659539325819,2,0.08695652173913043,0.030612244897959183,0.574442516811659,0.06297879309453447,1,0.043478260869565216,0.06663113006396588,0.574442516811659,0.05333113761252324,0,0.0,0.013402375875723424,0.574442516811659,0.005703481346416997,1,0.043478260869565216,0.011422479439537008,0.574442516811659,0.029836683202566855,1,0.043478260869565216,0.17415473652147426,0.574442516811659,0.09908861295991414,1,0.043478260869565216,0.3269113615595492,0.574442516811659,0.1640953378514624
1,Adenium,30,30,1.0,0.376865671641791,0.7310585786300049,0.832413368026906,0,0.0,0.030612244897959183,0.7310585786300049,0.008232900654183523,0,0.0,0.06663113006396588,0.7310585786300049,0.017919870826891997,0,0.0,0.013402375875723424,0.7310585786300049,0.0036044540177519904,0,0.0,0.011422479439537008,0.7310585786300049,0.003071977856038628,0,0.0,0.17415473652147426,0.7310585786300049,0.046837422378402285,0,0.0,0.3269113615595492,0.7310585786300049,0.08792000623982554
2,Adina,144,63,0.4375,0.376865671641791,0.999995881428255,0.43749975027316845,1,0.006944444444444444,0.030612244897959183,0.999995881428255,0.006944541921978658,1,0.006944444444444444,0.06663113006396588,0.999995881428255,0.006944690268341388,0,0.0,0.013402375875723424,0.999995881428255,5.5198646597384104e-08,0,0.0,0.011422479439537008,0.999995881428255,4.7044301077316e-08,63,0.4375,0.17415473652147426,0.999995881428255,0.43749891539363867,16,0.1111111111111111,0.3269113615595492,0.999995881428255,0.11111199989992515
3,Afrocanthium,1,1,1.0,0.376865671641791,0.13010847436299786,0.45794072842768896,0,0.0,0.030612244897959183,0.13010847436299786,0.026629332417459246,0,0.0,0.06663113006396588,0.13010847436299786,0.0579618553862608,0,0.0,0.013402375875723424,0.13010847436299786,0.011658613197693601,0,0.0,0.011422479439537008,0.13010847436299786,0.009936318066216138,0,0.0,0.17415473652147426,0.13010847436299786,0.15149572944957537,0,0.0,0.3269113615595492,0.13010847436299786,0.2843774230551059
4,Aganosma,14,4,0.2857142857142857,0.376865671641791,0.35434369377420455,0.3445667528596007,0,0.0,0.030612244897959183,0.35434369377420455,0.019764988966095777,0,0.0,0.06663113006396588,0.35434369377420455,0.04302080931675076,0,0.0,0.013402375875723424,0.35434369377420455,0.008653328502569295,0,0.0,0.011422479439537008,0.35434369377420455,0.0073749958828715585,10,0.7142857142857143,0.17415473652147426,0.35434369377420455,0.3655467423043278,0,0.0,0.3269113615595492,0.35434369377420455,0.211072382167784
5,Aidia,5,5,1.0,0.376865671641791,0.18242552380635635,0.49054127789425933,0,0.0,0.030612244897959183,0.18242552380635635,0.02502779008756052,0,0.0,0.06663113006396588,0.18242552380635635,0.05447591126023745,0,0.0,0.013402375875723424,0.18242552380635635,0.010957440436344904,0,0.0,0.011422479439537008,0.18242552380635635,0.009338727644612134,0,0.0,0.17415473652147426,0.18242552380635635,0.14238446748818634,0,0.0,0.3269113615595492,0.18242552380635635,0.2672743851887993
6,Alafia,17,3,0.17647058823529413,0.376865671641791,0.4255574831883411,0.29158604430400453,14,0.8235294117647058,0.030612244897959183,0.4255574831883411,0.3680440788066018,0,0.0,0.06663113006396588,0.4255574831883411,0.03827575405194956,0,0.0,0.013402375875723424,0.4255574831883411,0.007698894529306425,0,0.0,0.011422479439537008,0.4255574831883411,0.006561557837477066,0,0.0,0.17415473652147426,0.4255574831883411,0.10004188516206701,0,0.0,0.3269113615595492,0.4255574831883411,0.18779178530859364
7,Alberta,5,5,1.0,0.376865671641791,0.18242552380635635,0.49054127789425933,0,0.0,0.030612244897959183,0.18242552380635635,0.02502779008756052,0,0.0,0.06663113006396588,0.18242552380635635,0.05447591126023745,0,0.0,0.013402375875723424,0.18242552380635635,0.010957440436344904,0,0.0,0.011422479439537008,0.18242552380635635,0.009338727644612134,0,0.0,0.17415473652147426,0.18242552380635635,0.14238446748818634,0,0.0,0.3269113615595492,0.18242552380635635,0.2672743851887993
8,Alibertia,21,20,0.9523809523809523,0.376865671641791,0.52497918747894,0.6789992161059499,0,0.0,0.030612244897959183,0.52497918747894,0.014541453444522245,0,0.0,0.06663113006396588,0.52497918747894,0.031651173542181506,0,0.0,0.013402375875723424,0.52497918747894,0.006366407478198793,0,0.0,0.011422479439537008,0.52497918747894,0.0054259154643739715,0,0.0,0.17415473652147426,0.52497918747894,0.08272712444682183,1,0.047619047619047616,0.3269113615595492,0.52497918747894,0.18028870951795165
9,Allamanda,63,24,0.38095238095238093,0.376865671641791,0.9866130821723351,0.38089767251065454,25,0.3968253968253968,0.030612244897959183,0.9866130821723351,0.39192293145313406,0,0.0,0.06663113006396588,0.9866130821723351,0.0008919854629307622,0,0.0,0.013402375875723424,0.9866130821723351,0.00017941650454378759,0,0.0,0.011422479439537008,0.9866130821723351,0.0001529117936452735,14,0.2222222222222222,0.17415473652147426,0.9866130821723351,0.22157874674096384,0,0.0,0.3269113615595492,0.9866130821723351,0.0043763355341277285
