,Genus,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty_acids_count,mean_identified_as_Fatty_acids,expected_total_mean_for_Fatty_acids,weigthing_factor_for_Fatty_acids,norm_mean_identified_as_Fatty_acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino_acids_and_Peptides_count,mean_identified_as_Amino_acids_and_Peptides,expected_total_mean_for_Amino_acids_and_Peptides,weigthing_factor_for_Amino_acids_and_Peptides,norm_mean_identified_as_Amino_acids_and_Peptides,identified_Shikimates_and_Phenylpropanoids_count,mean_identified_as_Shikimates_and_Phenylpropanoids,expected_total_mean_for_Shikimates_and_Phenylpropanoids,weigthing_factor_for_Shikimates_and_Phenylpropanoids,norm_mean_identified_as_Shikimates_and_Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids
count,312,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0
unique,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,Acokanthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,42.08974358974359,16.115384615384617,0.44285459978006014,0.3828815108132804,0.5006709074992707,0.4145852647652737,1.310897435897436,0.02150187182532628,0.0311452939384709,0.5006709074992707,0.028939203192061565,2.9391025641025643,0.07698484877078728,0.0698294243070362,0.5006709074992707,0.07284180813736565,0.5961538461538461,0.012888766807672867,0.0141638745050258,0.5006709074992707,0.014226213918656937,0.5512820512820513,0.01303363847866255,0.013097776424002396,0.5006709074992707,0.011567318496910046,7.490384615384615,0.2109914351510961,0.1779622296679866,0.5006709074992707,0.18849496845805214,14.009615384615385,0.2497687556299681,0.33285105086810846,0.5006709074992707,0.2919891029165113
std,,80.73085543873378,30.150205224720327,0.38347677396889074,5.56003258288733e-17,0.33657611239777757,0.19696800219875532,5.951260491931351,0.09310127123625479,0.0,0.33657611239777757,0.04644968002551675,11.158294385665036,0.1990001277244309,0.0,0.33657611239777757,0.09473523387251825,2.134629032897298,0.053569067443431775,0.0,0.33657611239777757,0.025766295562629264,3.7093691610467134,0.08192824746992906,3.475020364304581e-18,0.33657611239777757,0.025022009562871754,17.488257075618304,0.2994436327044965,0.0,0.33657611239777757,0.1300253667702354,52.96164271022399,0.38656367012146076,5.56003258288733e-17,0.33657611239777757,0.21730164554228099
min,,1.0,0.0,0.0,0.3828815108132805,0.1301084743629978,0.0021006024113948,0.0,0.0,0.0311452939384709,0.1301084743629978,4.743421881970535e-10,0.0,0.0,0.0698294243070362,0.1301084743629978,0.0,0.0,0.0,0.0141638745050258,0.1301084743629978,0.0,0.0,0.0,0.0130977764240024,0.1301084743629978,0.0,0.0,0.0,0.1779622296679866,0.1301084743629978,0.0001979893929937,0.0,0.0,0.3328510508681084,0.1301084743629978,6.932549772337943e-14
25%,,5.0,1.0,0.011279385171790175,0.3828815108132805,0.1824255238063563,0.2948448311246951,0.0,0.0,0.0311452939384709,0.1824255238063563,0.012910423212998226,0.0,0.0,0.0698294243070362,0.1824255238063563,0.0263634475546679,0.0,0.0,0.0141638745050258,0.1824255238063563,0.0056841376194855,0.0,0.0,0.0130977764240024,0.1824255238063563,0.0032710373010691,0.0,0.0,0.1779622296679866,0.1824255238063563,0.1107742504583257,0.0,0.0,0.3328510508681084,0.1824255238063563,0.15181671521119927
50%,,15.0,4.0,0.3726851851851851,0.3828815108132805,0.3775406687981454,0.3791484487525227,0.0,0.0,0.0311452939384709,0.3775406687981454,0.0233670715190681,0.0,0.0,0.0698294243070362,0.3775406687981454,0.0548744044661914,0.0,0.0,0.0141638745050258,0.3775406687981454,0.0108852885874822,0.0,0.0,0.0130977764240024,0.3775406687981454,0.0087517740491109,1.0,0.0563492063492063,0.1779622296679866,0.3775406687981454,0.1527180978775175,0.0,0.0,0.3328510508681084,0.3775406687981454,0.2670077502961895
75%,,38.25,18.0,0.8333333333333334,0.3828815108132805,0.8610845827338848,0.49876258084398023,0.0,0.0,0.0311452939384709,0.8610845827338848,0.0267273008266601,1.0,0.006482946554149049,0.0698294243070362,0.8610845827338848,0.0607440244448013,0.0,0.0,0.0141638745050258,0.8610845827338848,0.012154713823371,0.0,0.0,0.0130977764240024,0.8610845827338848,0.011074624916664,7.0,0.3273840885142255,0.1779622296679866,0.8610845827338848,0.25169792664069907,4.0,0.47375,0.3328510508681084,0.8610845827338848,0.38877239911929157
