,Genus,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty_acids_count,mean_identified_as_Fatty_acids,expected_total_mean_for_Fatty_acids,weigthing_factor_for_Fatty_acids,norm_mean_identified_as_Fatty_acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino_acids_and_Peptides_count,mean_identified_as_Amino_acids_and_Peptides,expected_total_mean_for_Amino_acids_and_Peptides,weigthing_factor_for_Amino_acids_and_Peptides,norm_mean_identified_as_Amino_acids_and_Peptides,identified_Shikimates_and_Phenylpropanoids_count,mean_identified_as_Shikimates_and_Phenylpropanoids,expected_total_mean_for_Shikimates_and_Phenylpropanoids,weigthing_factor_for_Shikimates_and_Phenylpropanoids,norm_mean_identified_as_Shikimates_and_Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids
0,Acokanthera,20,15,0.75,0.39981957600360846,0.5,0.5749097880018043,2,0.1,0.03437077131258457,0.5,0.06718538565629228,1,0.05,0.06928281461434371,0.5,0.05964140730717186,0,0.0,0.014343707713125846,0.5,0.007171853856562923,1,0.05,0.013441587731168245,0.5,0.03172079386558412,1,0.05,0.1742895805142084,0.5,0.1121447902571042,2,0.1,0.31655390166892194,0.5,0.20827695083446096
1,Adenium,28,28,1.0,0.39981957600360846,0.6899744811276125,0.8139287526334692,0,0.0,0.03437077131258457,0.6899744811276125,0.010655816210228203,0,0.0,0.06928281461434371,0.6899744811276125,0.02147944054975134,0,0.0,0.014343707713125846,0.6899744811276125,0.004446915426315707,0,0.0,0.013441587731168245,0.6899744811276125,0.004167235210824153,0,0.0,0.1742895805142084,0.6899744811276125,0.054034217632968215,0,0.0,0.31655390166892194,0.6899744811276125,0.09813978761598625
2,Adina,107,47,0.4392523364485981,0.39981957600360846,0.9998334419352227,0.4392457686043296,1,0.009345794392523364,0.03437077131258457,0.9998334419352227,0.009349962504250265,1,0.009345794392523364,0.06928281461434371,0.9998334419352227,0.009355777386620027,0,0.0,0.014343707713125846,0.9998334419352227,2.3890601984291564e-06,0,0.0,0.013441587731168245,0.9998334419352227,2.2388048400373853e-06,45,0.4205607476635514,0.1742895805142084,0.9998334419352227,0.42051972921454056,14,0.1308411214953271,0.31655390166892194,0.9998334419352227,0.13087205345659722
3,Afrocanthium,1,1,1.0,0.39981957600360846,0.13010847436299786,0.47790813531231613,0,0.0,0.03437077131258457,0.13010847436299786,0.029898842694424697,0,0.0,0.06928281461434371,0.13010847436299786,0.06026853330529704,0,0.0,0.014343707713125846,0.13010847436299786,0.012477469785862276,0,0.0,0.013441587731168245,0.13010847436299786,0.011692723258449556,0,0.0,0.1742895805142084,0.13010847436299786,0.15161302909613786,0,0.0,0.31655390166892194,0.13010847436299786,0.2753675564691241
4,Aganosma,9,3,0.3333333333333333,0.39981957600360846,0.24973989440488234,0.3832153087797566,0,0.0,0.03437077131258457,0.24973989440488234,0.02578701851436534,0,0.0,0.06928281461434371,0.24973989440488234,0.05198013180848448,0,0.0,0.014343707713125846,0.24973989440488234,0.0107615116634753,0,0.0,0.013441587731168245,0.24973989440488234,0.010084687030552326,6,0.6666666666666666,0.1742895805142084,0.24973989440488234,0.29725578201730696,0,0.0,0.31655390166892194,0.24973989440488234,0.2374977636926719
5,Aidia,5,5,1.0,0.39981957600360846,0.18242552380635635,0.5093078042294712,0,0.0,0.03437077131258457,0.18242552380635635,0.028100665352257845,0,0.0,0.06928281461434371,0.18242552380635635,0.05664386086754338,0,0.0,0.014343707713125846,0.18242552380635635,0.01172704932023359,0,0.0,0.013441587731168245,0.18242552380635635,0.010989499048520784,0,0.0,0.1742895805142084,0.18242552380635635,0.1424947124949138,0,0.0,0.31655390166892194,0.18242552380635635,0.25880639034402303
6,Alafia,17,3,0.17647058823529413,0.39981957600360846,0.4255574831883411,0.304771742896261,14,0.8235294117647058,0.03437077131258457,0.4255574831883411,0.3702031361797223,0,0.0,0.06928281461434371,0.4255574831883411,0.039798994398859186,0,0.0,0.014343707713125846,0.4255574831883411,0.008239635559138815,0,0.0,0.013441587731168245,0.4255574831883411,0.007721419486237003,0,0.0,0.1742895805142084,0.4255574831883411,0.10011934528463014,0,0.0,0.31655390166892194,0.4255574831883411,0.1818420199812459
7,Alberta,4,4,1.0,0.39981957600360846,0.16798161486607552,0.5006388528375282,0,0.0,0.03437077131258457,0.16798161486607552,0.028597113643304032,0,0.0,0.06928281461434371,0.16798161486607552,0.05764457553295932,0,0.0,0.014343707713125846,0.16798161486607552,0.011934228528307982,0,0.0,0.013441587731168245,0.16798161486607552,0.011183648117722576,0,0.0,0.1742895805142084,0.16798161486607552,0.14501213532510077,0,0.0,0.31655390166892194,0.16798161486607552,0.26337866607441957
8,Alibertia,20,19,0.95,0.39981957600360846,0.5,0.6749097880018042,0,0.0,0.03437077131258457,0.5,0.017185385656292285,0,0.0,0.06928281461434371,0.5,0.034641407307171856,0,0.0,0.014343707713125846,0.5,0.007171853856562923,0,0.0,0.013441587731168245,0.5,0.006720793865584123,0,0.0,0.1742895805142084,0.5,0.0871447902571042,1,0.05,0.31655390166892194,0.5,0.18327695083446097
9,Allamanda,54,18,0.3333333333333333,0.39981957600360846,0.9677045353015494,0.3354805374364238,25,0.46296296296296297,0.03437077131258457,0.9677045353015494,0.4491213789674866,0,0.0,0.06928281461434371,0.9677045353015494,0.0022375206935868327,0,0.0,0.014343707713125846,0.9677045353015494,0.0004632367060941489,0,0.0,0.013441587731168245,0.9677045353015494,0.0004341023220630704,11,0.2037037037037037,0.1742895805142084,0.9677045353015494,0.2027537609266015,0,0.0,0.31655390166892194,0.9677045353015494,0.010223255356505463
