,accepted_name_w_author,example_compound_name,Standard_SMILES,MAIP_SMILES,SMILES,InChIKey,CAS ID,Source,accepted_ipni_id,accepted_name,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,InChIKey_simp,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,NPclassif_isglycoside,NPclassif_class_results_0,NPclassif_superclass_results_0,NPclassif_pathway_results_0,NPclassif_class_results_1,NPclassif_pathway_results_1,NPclassif_superclass_results_1,NPclassif_class_results_2,NPclassif_class_results_3,NPclassif_pathway_results_2,NPclassif_superclass_results_2,Genus
count,12160,12160,12160,12048,12160,12160,5476,12160,12160,12160,12160,12160,11711,11711,11711,11711,12160.0,12160,12160,11460,11609,11955,12160,11460,11609,11955,1072,249,193,57,16,3,1,12160
unique,1158,8785,7935,7890,8278,8540,2146,2,1158,1158,5,4,1068,1068,1068,331,,5,7443,372,98,18,2,246,56,7,88,4,23,12,1,1,1,312
top,Catharanthus roseus (L.) G.Don,ursolic acid,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,KZJWDPNRJALLNS-VJSFXXLFSA-N,77-52-1,WikiData,77880-1,Catharanthus roseus,Apocynaceae,Species,Catharanthus roseus,Catharanthus roseus (L.) G.Don,77880-1,Strychnos,,Accepted,KZJWDPNRJALLNS,Corynanthe type,Tryptophan alkaloids,Terpenoids,False,Corynanthe type,Tryptophan alkaloids,Terpenoids,Strychnos type,Terpenoids,Pseudoalkaloids,Strychnos type,Polysaccharides,Shikimates_and_Phenylpropanoids,Pseudoalkaloids,Strychnos
freq,325,52,65,65,56,64,63,10546,325,325,6008,11611,325,325,325,516,,10893,84,1043,3333,4599,8280,1277,3355,4599,128,141,41,25,16,3,1,529
mean,,,,,,,,,,,,,,,,,603905.8652960527,,,,,,,,,,,,,,,,,
std,,,,,,,,,,,,,,,,,934692.4457515925,,,,,,,,,,,,,,,,,
min,,,,,,,,,,,,,,,,,2160.0,,,,,,,,,,,,,,,,,
25%,,,,,,,,,,,,,,,,,93251.0,,,,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,,,,180230.0,,,,,,,,,,,,,,,,,
75%,,,,,,,,,,,,,,,,,506612.0,,,,,,,,,,,,,,,,,
max,,,,,,,,,,,,,,,,,2999060.0,,,,,,,,,,,,,,,,,
