,Genus,H,Hbc,G,J
0,Acokanthera,1.0861895081867026,1.4030271981873292,0.49527410207939504,0.6062139069674717
1,Adenium,-0.0,-0.0,0.0,
2,Adina,1.056717340321649,1.1009305081382543,0.612096,0.6565753994967588
3,Aganosma,0.6172417697303416,0.6203112195798863,0.42603550295857995,0.8904916402194913
4,Aidia,-0.0,-0.0,0.0,
5,Alafia,0.4659992569610426,0.4777138462074574,0.2906574394463668,0.672294817075638
6,Alberta,-0.0,-0.0,0.0,
7,Alibertia,0.1985152433458726,0.32521273260740713,0.09500000000000008,0.2863969571159562
8,Allamanda,1.0717834050802586,1.0717834455699005,0.6494444444444445,0.9755792977517329
9,Alstonia,0.4689876520706049,0.4837615141147201,0.21041635880947152,0.26174699234192367
10,Alyxia,0.666278442414676,0.6669479255888184,0.47337278106508873,0.961236604722876
11,Amalocalyx,-0.0,-0.0,0.0,
12,Amsonia,1.0098709337000307,1.017897742834749,0.5401652892561983,0.7284678939934707
13,Anodendron,0.2164084047584745,0.28233157891620014,0.08899408284023658,0.19698341898290142
14,Anthocleista,1.2108693824920367,1.460178167839371,0.5729166666666667,0.6757990697343524
15,Antonia,0.6365141682948128,0.6463081169323078,0.4444444444444444,0.9182958340544894
16,Apocynum,1.0020954898852819,1.0515870003134684,0.5889212827988338,0.7228590968773463
17,Araujia,0.12693054534140227,0.20887220842693371,0.054012345679012475,0.1831220683013728
18,Asclepias,0.5946295117767071,0.6031252927172179,0.25495574763211026,0.33186904938356027
19,Asperula,-0.0,-0.0,0.0,
20,Aspidosperma,0.2101409544536188,0.25949573821755895,0.077824,0.1515846564389547
21,Baroniella,0.5004024235381879,0.7913473065443453,0.31999999999999984,0.7219280948873623
22,Beaumontia,0.6909233093138181,0.6909555238369107,0.49777777777777776,0.9967916319816367
23,Blackstonia,0.47413931305783735,0.5124438382305263,0.2975206611570247,0.6840384356390417
24,Boucerosia,-0.0,-0.0,0.0,
25,Bousigonia,-0.0,-0.0,0.0,
26,Breonadia,-0.0,-0.0,0.0,
27,Breonia,0.6829081047004717,0.6830541399031924,0.48979591836734704,0.9852281360342515
28,Callichilia,-0.0,-0.0,0.0,
29,Calotropis,0.49493140716809947,0.5592702947449623,0.23028470647518262,0.35701754335080677
30,Calycophyllum,0.39267446722755217,0.42823432501708214,0.23111111111111104,0.5665095065529053
31,Canscora,0.8401356023131106,0.8504459143237431,0.49111111111111116,0.7647243809111579
32,Canthium,1.0608569471580214,1.1113254940861212,0.6419753086419753,0.965633607142825
33,Caralluma,-0.0,-0.0,0.0,
34,Carapichea,0.8111291402055167,0.8806668477125454,0.5245954174010575,0.5851059940475138
35,Carissa,1.3381869153143051,1.4331487770542672,0.6984692061231755,0.7468563377487477
36,Cascabela,0.6717232186530264,0.6861186455155299,0.4095125653567211,0.6114288230540207
37,Catharanthus,1.313845202081292,1.3138466706390524,0.6397549796287914,0.73327096892494
38,Catunaregam,0.8528530929155267,0.9711607582733484,0.5088757396449703,0.6152034638780224
39,Centaurium,1.0594566565733787,1.1935338118805177,0.5453898184407262,0.591294018404058
40,Cephalanthus,1.1396856259428154,1.1759560662303183,0.6377777777777778,0.822109400360067
41,Cerbera,0.7165994874445631,0.7554498614035424,0.4741122793096608,0.6522769632527272
42,Ceropegia,-0.0,-0.0,0.0,
43,Chassalia,0.5623351446188083,0.8922673623509298,0.375,0.8112781244591328
44,Chimarrhis,0.7938074806275022,0.8646250072702458,0.5119667013527576,0.7225547072569757
45,Chiococca,1.0014223119682,1.1131863987427848,0.551984877126654,0.7223735016560413
46,Chione,0.639031859650177,1.0001114412098489,0.33999999999999986,0.5816718657178868
47,Chironia,0.9680045912248363,0.9704140534660428,0.5729166666666665,0.8811157504877227
48,Chonemorpha,0.6931471805599453,0.7393569925972749,0.5,1.0
49,Ciliosemina,-0.0,-0.0,0.0,
50,Cinchona,1.0793840595002817,1.0930445297157394,0.6166352155610393,0.7786110149278271
51,Coelospermum,1.193549604098133,1.459463630587622,0.6599999999999999,0.860964047443681
52,Coffea,1.7823277006330913,1.782327815524059,0.8140048805521518,0.9159352509150349
53,Comastoma,-0.0,-0.0,0.0,
54,Coprosma,0.6559757323365467,0.8317558329008772,0.3571428571428572,0.5970948432879916
55,Cordiera,0.7321645598907873,0.7891149664112364,0.46944294213088145,0.6664449027585689
56,Corynanthe,0.2868359830561607,0.46587286288450247,0.1527777777777779,0.4138168503036338
57,Coussarea,0.8786857869752525,0.8789659703794981,0.5080309339678761,0.7998142711843477
58,Coutarea,-0.0,-0.0,0.0,
59,Coutoubea,0.6730116670092565,0.7070860020527115,0.48,0.9709505944546688
60,Craspidospermum,-0.0,-0.0,0.0,
61,Crioceras,-0.0,-0.0,0.0,
62,Crossopteryx,0.6172417697303416,0.6203112195798863,0.42603550295857995,0.8904916402194913
63,Crucianella,0.6108643020548935,0.6213651327154892,0.42000000000000004,0.8812908992306927
64,Cruciata,0.6460905050608089,0.6461102488260164,0.45368620037807184,0.9321115676166747
65,Cruckshanksia,-0.0,-0.0,0.0,
66,Cryptolepis,1.3145476475320603,1.352394813976981,0.6942148760330579,0.8167743765548244
67,Cryptostegia,0.6108643020548935,0.6108724432642123,0.42000000000000004,0.8812908992306927
68,Curtia,-0.0,-0.0,0.0,
69,Cynanchum,1.0053131028253601,1.0065718282399567,0.4949727089916691,0.6246361509559155
70,Cyrtophyllum,0.7963116401738131,1.225786051391897,0.44897959183673464,0.72483409150576
71,Damnacanthus,0.42270908780599087,0.4341835549247441,0.2550000000000001,0.6098403047164005
72,Debia,-0.0,-0.0,0.0,
73,Decalepis,-0.0,-0.0,0.0,
74,Desmidorchis,0.23921709381651282,0.2648276824621147,0.12070759625390237,0.34511731494495296
75,Dimetia,1.329661348854758,1.332191873209549,0.7222222222222222,0.9591479170272447
76,Dioecrescis,0.7963116401738131,1.225786051391897,0.44897959183673464,0.72483409150576
77,Diplorhynchus,-0.0,-0.0,0.0,
78,Diplospora,0.3602305211946065,0.3603773463156676,0.20611111111111113,0.5197027865043055
79,Dischidanthus,0.24493002679463532,0.39957827744034546,0.12444444444444436,0.3533593350214213
80,Dischidia,0.6730116670092565,0.675273474551831,0.48,0.9709505944546688
81,Dolichopentas,0.3250829733914482,0.525614975403492,0.17999999999999994,0.46899559358928117
82,Dunnia,-0.0,-0.0,0.0,
83,Duroia,0.6931471805599453,0.7041495167593095,0.5,1.0
84,Dyera,0.5623351446188083,0.8922673623509298,0.375,0.8112781244591328
85,Emmenopterys,0.6365141682948128,1.0662472192320789,0.4444444444444444,0.9182958340544894
86,Eumachia,0.36764947740014225,0.5929331122025464,0.1694214876033059,0.3346489759784664
87,Eustoma,0.8367742263818623,0.9254830174818338,0.5330578512396694,0.7616647246830964
88,Exacum,1.0114042647073516,1.257316134209515,0.6111111111111112,0.9206198357143047
89,Exallage,1.0296530140645737,1.0792110896797453,0.62,0.9372305632161295
90,Exostema,0.2145591551764051,0.3510231045086938,0.1049382716049383,0.3095434291503252
91,Fadogia,0.6931471805599453,0.6958654047974353,0.5,1.0
92,Fagraea,0.6901856760188042,0.6901857131573994,0.4970414201183432,0.9957274520849256
93,Faramea,0.8981370031878679,1.021218923608283,0.5562130177514794,0.8175195311866702
94,Feretia,0.45056120886630463,0.7163450364623231,0.2777777777777777,0.6500224216483541
95,Forsteronia,-0.0,-0.0,0.0,
96,Frasera,0.9276173343271816,0.9665722427905943,0.5511111111111111,0.8443536850036222
97,Funastrum,-0.0,-0.0,0.0,
98,Funtumia,0.6909233093138181,0.6909555238369107,0.49777777777777776,0.9967916319816367
99,Galianthe,-0.0,-0.0,0.0,
100,Galium,1.131849300267583,1.1414489291521472,0.6575582990397805,0.8164566862648426
101,Gardenia,0.8280415516159432,0.8395241901078829,0.47833448117539035,0.5144911432859315
102,Gardneria,0.14999492361041503,0.24654841477303213,0.06658739595719365,0.21639693245126465
103,Geissospermum,-0.0,-0.0,0.0,
104,Gelsemium,0.7962447883674887,0.8267044855338346,0.446530612244898,0.49473470347374554
105,Geniostoma,-0.0,-0.0,0.0,
106,Genipa,0.16302362949436594,0.2677552678073215,0.07396449704142016,0.2351933818192415
107,Gentiana,1.2839217777049976,1.2839271497514053,0.6563050553913226,0.7165703877977274
108,Gentianella,1.3588219336267764,1.3646696596056107,0.7071389940508384,0.8442835372081583
109,Gentianopsis,1.1289106357375098,1.1792080804023566,0.64375,0.8143368878926562
110,Gomphocarpus,0.5251735991280772,0.6542866059776146,0.24986479177934018,0.3788326735339427
111,Gongronemopsis,-0.0,-0.0,0.0,
112,Gonioma,-0.0,-0.0,0.0,
113,Guettarda,0.362210557135449,0.36583342487650344,0.20761245674740492,0.5225593745369408
114,Guettardella,-0.0,-0.0,0.0,
115,Gymnema,0.4628841521919356,0.5220709190939944,0.18309207482318723,0.25834056420048407
116,Gynochthodes,0.9996329342771757,1.0519794408434298,0.5350772889417361,0.6211068638027417
117,Halenia,0.8675632284814612,0.8676577492771633,0.5,0.7896900821428474
118,Hamelia,0.6901856760188042,0.6903142447447023,0.4970414201183432,0.9957274520849256
119,Hancornia,0.6365141682948128,1.0662472192320789,0.4444444444444444,0.9182958340544894
120,Haplophyton,0.30463609734923813,0.33516580120760026,0.16528925619834722,0.43949698692151334
121,Hedyotis,0.5750398244780919,0.5750408381496268,0.3866213151927438,0.8296071030882032
122,Heinsia,-0.0,-0.0,0.0,
123,Helia,1.4068820499195938,1.4555668003132483,0.7354570637119113,0.8741449664198834
124,Hemidesmus,0.856859036885367,1.0338812068259229,0.46502835538752363,0.6180931416277062
125,Heterophyllaea,0.7589367727620596,0.9001105919054713,0.4387755102040817,0.6908140210976049
126,Heterostemma,-0.0,-0.0,0.0,
127,Himalrandia,0.9368883075390159,1.1017291467197388,0.5679012345679012,0.8527924884900403
128,Himatanthus,1.2803317109888013,1.359891226265094,0.6685032139577594,0.7955148198618227
129,Hintonia,1.0850861252397621,1.2605869209623386,0.5591715976331361,0.6742019166173904
130,Hoffmannia,0.8979457248567798,0.9301026898403828,0.54,0.8173454221465101
131,Holarrhena,0.694088535711823,0.6987042060396933,0.43152790109965167,0.6317866119568838
132,Hoodia,0.31449220128141064,0.3178893314724341,0.17233560090702937,0.4537163391869449
133,Hoppea,0.34883209584303193,0.5623257226734768,0.19753086419753085,0.5032583347756457
134,Hoya,0.9281295378383555,0.9285254732313628,0.4850000000000001,0.6695039407709805
135,Hunteria,0.1931591886475105,0.19562305364641255,0.09174045579910017,0.27866980356389914
136,Hydnophytum,0.5004024235381879,0.7913473065443453,0.31999999999999984,0.7219280948873623
137,Hymenodictyon,1.2496898172233635,1.2610212371033915,0.6847034339229969,0.9014606509787908
138,Ichnocarpus,0.6365141682948128,1.0662472192320789,0.4444444444444444,0.9182958340544894
139,Isertia,0.7304179453192748,0.755271540118972,0.42240587695133147,0.6648550656617803
140,Ixanthus,0.9502705392332347,1.489524654318191,0.5599999999999999,0.8649735207179272
141,Ixora,1.1890654761209856,1.2474645133748166,0.6467764060356653,0.7388079197927263
142,Jasminanthes,-0.0,-0.0,0.0,
143,Keetia,0.6829081047004717,0.6911304685943378,0.48979591836734704,0.9852281360342515
144,Kibatalia,0.5297061990576545,0.5333722182555544,0.345679012345679,0.7642045065086203
145,Knoxia,0.8675632284814612,1.3349058980149187,0.5,0.7896900821428474
146,Kopsia,0.17427401985482638,0.1935365957759458,0.06559421374236185,0.12571213210017138
147,Ladenbergia,-0.0,-0.0,0.0,
148,Lamprothamnus,-0.0,-0.0,0.0,
149,Lasianthus,0.6389665889375297,0.7171703576938362,0.37111111111111106,0.5816124537548852
150,Leichhardtia,0.5982695885852573,0.6358207455054197,0.40816326530612246,0.8631205685666311
151,Leptadenia,0.5546026418180308,0.6485263078952035,0.25736961451247176,0.4000612405073955
152,Leptopetalum,0.9110175397125628,1.0323637873419633,0.5680473372781065,0.8292439007914473
153,Leuconotis,-0.0,-0.0,0.0,
154,Lomatogonium,0.8304717124362917,0.9562421018921801,0.4999999999999999,0.7559279292634754
155,Luculia,-0.0,-0.0,0.0,
156,Malouetia,0.6615632381579821,0.6704460699522727,0.46875,0.954434002924965
157,Mandevilla,0.8058274790573101,0.89318295231652,0.5066162570888468,0.73349578133178
158,Marsdenia,1.0490697942578475,1.1715187962491618,0.5544444444444445,0.5854970001692353
159,Matelea,0.5503536168824767,0.5860270679457384,0.28303850156087396,0.5009534506023884
160,Melanopsidium,-0.0,-0.0,0.0,
161,Melodinus,0.23527233042757636,0.3069444390177676,0.08395010610216858,0.14618291802990555
162,Metagentiana,1.2371209036519482,1.248325959296398,0.677734375,0.8923940963393694
163,Mexotis,-0.0,-0.0,0.0,
164,Microplumeria,-0.0,-0.0,0.0,
165,Mitchella,-0.0,-0.0,0.0,
166,Mitracarpus,1.144717959157672,1.1601895557106445,0.6096938775510203,0.8257394614466541
167,Mitragyna,0.994927311531254,0.9949273134064178,0.5932179930795847,0.9056218665981272
168,Mondia,0.47413931305783735,0.5124438382305263,0.2975206611570247,0.6840384356390417
169,Morinda,1.429271649105883,1.4322829219441182,0.7313019390581718,0.7976916955944188
170,Mostuea,-0.0,-0.0,0.0,
171,Mussaenda,0.42085932068995974,0.42100425240545586,0.25350837483024,0.6071716548713029
172,Mycetia,-0.0,-0.0,0.0,
173,Nauclea,0.9933012029529058,0.9969101030748342,0.550207756232687,0.7165153598045995
174,Neolamarckia,0.900908873225472,0.9352264217934734,0.537037037037037,0.820042596026009
175,Neonauclea,1.187876655381718,1.1882542017503666,0.6584409928872115,0.8568718799534863
176,Nerium,0.43597928871349556,0.476389786389554,0.20863027645077914,0.31449257887862886
177,Nernstia,-0.0,-0.0,0.0,
178,Notopleura,-0.0,-0.0,0.0,
179,Ochrosia,0.15200531083620292,0.1696556835739285,0.06771314250538629,0.21929730813217538
180,Odontadenia,-0.0,-0.0,0.0,
181,Oldenlandia,0.9121564172821841,0.9123031034906788,0.5355902777777778,0.830280551829642
182,Oncinotis,-0.0,-0.0,0.0,
183,Ophiorrhiza,1.248686069417717,1.2488211509626868,0.6873818525519848,0.9007365999880362
184,Orbea,-0.0,-0.0,0.0,
185,Orphium,0.6730116670092565,0.7070860020527115,0.48,0.9709505944546688
