,Genus,FAD,MFAD,APWD,N
0,Acokanthera,179.55340319447822,8.550162056879916,0.8550162056879915,21
1,Adenium,157.88510620512528,5.444314007073285,0.3888795719338061,29
2,Adina,5882.601818908826,47.44033724926473,0.77138759754902,124
3,Aganosma,54.359482210526764,4.1814986315789815,0.696916438596497,13
4,Aidia,5.994266898001324,1.1988533796002647,0.5994266898001324,5
5,Alafia,84.88363834264499,4.993155196626176,0.624144399578272,17
6,Alberta,7.430823754525796,1.4861647509051592,0.7430823754525796,5
7,Alibertia,121.93887306347908,6.096943653173954,0.6417835424393635,20
8,Allamanda,1384.6199191312219,23.076998652187033,0.7822711407521028,60
9,Alstonia,78759.02887633484,178.997792900761,0.8154796943087061,440
10,Alyxia,65.82680680684561,5.063600523603508,0.8439334206005847,13
11,Amalocalyx,1.0853878289819237,0.36179594299397455,0.36179594299397455,3
12,Amsonia,1171.0173657440569,21.68550677303809,0.8183210103033242,54
13,Anodendron,1555.8504504320827,23.936160775878193,0.7480050242461935,65
14,Anthocleista,212.06091936641326,9.220039972452751,0.8381854520411591,23
15,Antonia,21.003634742940182,2.33373719366002,0.583434298415005,9
16,Apocynum,990.1534398183533,20.207213057517414,0.8419672107298922,49
17,Araujia,337.7984692963601,9.38329081378778,0.5361880465021589,36
18,Asclepias,28116.465026843245,102.24169100670271,0.7462897153773921,275
19,Asperula,0.6391752577319587,0.31958762886597936,0.6391752577319587,2
20,Aspidosperma,6063.318674687691,48.89773124748138,0.7950850609346566,124
21,Baroniella,7.0331443669186555,1.406628873383731,0.7033144366918656,5
22,Beaumontia,74.91571552044407,4.994381034696271,0.7134830049566102,15
23,Blackstonia,21.392604072950764,2.1392604072950765,0.4753912016211281,10
24,Boucerosia,7.1606066025249016,1.0229438003607003,0.34098126678690005,7
25,Bousigonia,2.172384609784508,0.7241282032615026,0.7241282032615026,3
26,Breonadia,0.8823529411764706,0.4411764705882353,0.8823529411764706,2
27,Breonia,52.24099103344999,4.353415919454165,0.7915301671734847,12
28,Callichilia,149.34016918265286,7.111436627745374,0.7111436627745374,21
29,Calotropis,1481.068307083453,23.509020747356395,0.7583555079792386,63
30,Calycophyllum,64.60773540619618,4.307182360413079,0.6153117657732969,15
31,Canscora,230.12364379445995,8.218701564087855,0.6087927084509522,28
32,Canthium,20.402360786298672,2.266928976255408,0.566732244063852,9
33,Caralluma,34.90342640616817,2.6848789543206286,0.44747982572010475,13
34,Carapichea,2402.3459679591147,31.199298285183307,0.8210341653995608,77
35,Carissa,1138.3657318810174,21.891648690019565,0.8584960270595908,52
36,Cascabela,2220.8202908910107,28.841821959623516,0.7589953147269346,77
37,Catharanthus,57092.584521118464,156.4180397838862,0.8594397790323418,365
38,Catunaregam,575.8999187240704,14.766664582668472,0.7771928727720249,39
39,Centaurium,1011.99918783662,20.2399837567324,0.8261217859890775,50
40,Cephalanthus,344.72135170533375,11.490711723511124,0.7924628774835258,30
41,Cerbera,1863.773851878488,26.625340741121256,0.7717490069890219,70
42,Ceropegia,124.35561847183047,4.974224738873219,0.4145187282394349,25
43,Chassalia,3.4661728584082576,0.8665432146020644,0.5776954764013763,4
44,Chimarrhis,342.7255760059593,11.055663742127718,0.7370442494751812,31
45,Chiococca,206.78213544998442,8.990527628260192,0.8173206934781994,23
46,Chione,32.1938817681045,3.2193881768104498,0.7154195948467665,10
47,Chironia,147.67393477079733,6.712451580490788,0.6392811029038845,22
48,Chonemorpha,4.62608490843785,1.1565212271094625,0.7710141514063084,4
49,Ciliosemina,79.44862553126934,4.965539095704334,0.6620718794272445,16
50,Cinchona,2695.7070888546295,32.47839866089915,0.7921560648999793,83
51,Coelospermum,34.21031217361191,3.421031217361191,0.760229159413598,10
52,Coffea,35570.850907103784,126.5866580323978,0.9041904145171272,281
53,Comastoma,0.2195121951219512,0.1097560975609756,0.2195121951219512,2
54,Coprosma,57.21933056420653,4.087095040300467,0.6287838523539179,14
55,Cordiera,765.9702782809736,17.813262285604036,0.8482505850287637,43
56,Corynanthe,33.12764386457109,3.011603987688281,0.6023207975376562,11
57,Coussarea,643.9352672161592,15.70573822478437,0.7852869112392186,41
58,Coutarea,57.37110901159876,3.5856943132249226,0.47809257509665637,16
59,Coutoubea,5.805915817481238,1.1611831634962475,0.5805915817481238,5
60,Craspidospermum,0.8202247191011236,0.4101123595505618,0.8202247191011236,2
61,Crioceras,55.136901856658014,4.241300142819847,0.7068833571366412,13
62,Crossopteryx,54.85633429268543,4.219718022514264,0.7032863370857106,13
63,Crucianella,28.94240136024833,2.894240136024833,0.6431644746721851,10
64,Cruciata,169.25213269413945,7.358788378006063,0.6689807616369148,23
65,Cruckshanksia,1.8220957125066715,0.6073652375022238,0.6073652375022238,3
66,Cryptolepis,1290.9718524996608,23.472215499993833,0.8693413148145864,55
67,Cryptostegia,292.6706317358549,9.755687724528496,0.6728060499674825,30
68,Curtia,7.006378497421447,1.1677297495702412,0.46709189982809646,6
69,Cynanchum,5171.541458863418,43.82662253274083,0.7491730347477065,118
70,Cyrtophyllum,10.696077910302009,1.7826796517170014,0.7130718606868006,6
71,Damnacanthus,124.77495675132104,6.238747837566052,0.6567102986911634,20
72,Debia,1.0779340709683347,0.2694835177420837,0.17965567849472244,4
73,Decalepis,20.603445950379953,2.575430743797494,0.7358373553707126,8
74,Desmidorchis,237.9925793441209,7.67717997884261,0.5118119985895073,31
75,Dimetia,355.2130478838236,11.840434929460788,0.8165817192731577,30
76,Dioecrescis,12.724744067051708,1.8178205810073869,0.6059401936691289,7
77,Diplorhynchus,2.210631364168222,0.7368771213894073,0.7368771213894073,3
