,Region,Number of Taxa
0,ABT,24
1,AFG,105
2,AGE,261
3,AGS,33
4,AGW,193
5,ALA,96
6,ALB,83
7,ALD,16
8,ALG,71
9,ALT,54
10,ALU,9
11,AMU,30
12,AND,182
13,ANG,562
14,ARI,98
15,ARK,73
16,ARU,13
17,ASK,16
18,ASS,378
19,ATP,11
20,AUT,91
21,AZO,15
22,BAH,81
23,BAL,44
24,BAN,331
25,BEN,254
26,BER,8
27,BGM,32
28,BIS,114
29,BKN,154
30,BLR,29
31,BLT,27
32,BLZ,246
33,BOL,897
34,BOR,1063
35,BOT,157
36,BRC,35
37,BRY,40
38,BUL,105
39,BUR,246
40,BZC,667
41,BZE,711
42,BZL,1168
43,BZN,1261
44,BZS,440
45,CAB,244
46,CAF,471
47,CAL,97
48,CAY,34
49,CBD,386
50,CGS,2
51,CHA,127
52,CHC,993
53,CHH,286
54,CHI,71
55,CHM,54
56,CHN,155
57,CHQ,95
58,CHS,613
59,CHT,296
60,CHX,67
61,CKI,4
62,CLC,48
63,CLM,1751
64,CLN,23
65,CLS,17
66,CMN,1039
67,CNT,37
68,CNY,25
69,COL,56
70,COM,80
71,CON,647
72,COO,17
73,COR,49
74,COS,653
75,CPI,17
76,CPP,564
77,CPV,60
78,CRL,90
79,CRZ,1
80,CTA,32
81,CTM,6
82,CUB,596
83,CVI,16
84,CYP,46
85,CZE,70
86,DEL,40
87,DEN,23
88,DJI,40
89,DOM,284
90,EAI,67
91,EAS,1
92,ECU,1099
93,EGY,38
94,EHM,409
95,ELS,199
96,EQG,216
97,ERI,80
98,ETH,318
99,FAL,4
100,FIJ,207
101,FIN,19
102,FLA,121
103,FOR,4
104,FRA,138
105,FRG,412
106,GAB,871
107,GAL,13
108,GAM,64
109,GEO,95
110,GER,80
111,GGI,195
112,GHA,407
113,GIL,9
114,GNB,154
115,GNL,10
116,GRB,38
117,GRC,157
118,GST,25
119,GUA,507
120,GUI,426
121,GUY,567
122,HAI,293
123,HAW,83
124,HON,380
125,HUN,53
126,ICE,15
127,IDA,29
128,ILL,69
129,IND,643
130,INI,58
131,IOW,43
132,IRE,21
133,IRK,34
134,IRN,154
