,Region,Number of Taxa
135,IRQ,81
136,ITA,138
137,IVO,495
138,JAM,216
139,JAP,139
140,JAW,498
141,JNF,5
142,KAM,17
143,KAN,46
144,KAZ,87
145,KEG,1
146,KEN,537
147,KER,2
148,KGZ,75
149,KHA,40
150,KOR,84
151,KRA,38
152,KRI,62
153,KRY,54
154,KTY,62
155,KUR,18
156,KUW,2
157,KZN,5
158,LAB,10
159,LAO,364
160,LBR,406
161,LBS,92
162,LBY,43
163,LDV,16
164,LEE,111
165,LES,94
166,LIN,3
167,LOU,81
168,LSI,180
169,MAG,15
170,MAI,29
171,MAN,26
172,MAQ,2
173,MAS,36
174,MAU,57
175,MCI,4
176,MDG,1240
177,MDR,13
178,MDV,8
179,MIC,44
180,MIN,46
181,MLI,142
182,MLW,412
183,MLY,859
184,MNT,35
185,MOL,219
186,MON,56
187,MOR,83
188,MOZ,549
189,MRN,32
190,MRQ,43
191,MRS,8
192,MRY,63
193,MSI,79
194,MSO,69
195,MTN,34
196,MXC,320
197,MXE,434
198,MXG,427
199,MXI,9
200,MXN,276
201,MXS,750
202,MXT,577
203,MYA,629
204,NAM,215
205,NAT,427
206,NBR,17
207,NCA,80
208,NCB,131
209,NCS,57
210,NDA,23
211,NEB,33
212,NEP,326
213,NET,31
214,NEV,63
215,NFK,19
216,NFL,19
217,NGA,617
218,NGR,38
219,NIC,381
220,NLA,21
221,NNS,78
222,NOR,30
223,NRU,6
224,NSC,17
225,NSW,136
226,NTA,216
227,NUE,17
228,NUN,8
229,NWC,351
230,NWG,1116
231,NWH,31
232,NWJ,45
233,NWM,97
234,NWT,13
235,NWY,51
236,NZN,65
237,NZS,87
238,OFS,168
239,OGA,13
240,OHI,49
241,OKL,76
242,OMA,63
243,ONT,55
244,ORE,42
245,PAK,144
246,PAL,77
247,PAN,725
248,PAR,338
249,PEI,8
250,PEN,49
251,PER,1352
252,PHI,1015
253,PHX,1
254,PIT,11
255,POL,53
256,POR,61
257,PRM,44
258,PUE,127
259,QLD,359
260,QUE,36
261,REU,36
262,RHO,27
263,ROD,12
264,ROM,84
265,RUC,34
266,RUE,42
267,RUN,32
268,RUS,50
269,RUW,32
270,RWA,186
271,SAK,21
272,SAM,89
273,SAR,54
274,SAS,21
275,SAU,102
276,SCA,81
277,SCI,59
278,SCS,11
279,SCZ,15
280,SDA,31
281,SEL,5
282,SEN,189
283,SEY,24
284,SGE,1
285,SIC,59
286,SIE,323
287,SIN,32
288,SOA,52
289,SOC,60
290,SOL,153
291,SOM,239
292,SPA,130
293,SRL,266
294,SSA,1
295,STH,1
296,SUD,291
297,SUL,304
298,SUM,619
299,SUR,345
300,SVA,1
301,SWC,19
302,SWE,30
303,SWI,77
304,SWZ,213
305,TAI,205
306,TAN,970
307,TAS,45
308,TCI,37
309,TCS,124
310,TDC,2
311,TEN,73
312,TEX,168
313,THA,987
314,TKM,41
315,TOG,188
316,TOK,4
317,TON,44
318,TRT,164
319,TUA,13
320,TUB,26
321,TUE,49
322,TUN,53
323,TUR,237
324,TUV,3
325,TVA,35
326,TVL,410
327,TZK,80
328,UGA,400
329,UKR,92
330,URU,104
331,UTA,65
332,UZB,69
333,VAN,84
334,VEN,1378
335,VER,36
336,VIC,74
337,VIE,871
338,VNA,36
339,VRG,78
340,WAL,26
341,WAS,29
342,WAU,165
343,WDC,25
344,WHM,227
345,WIN,117
346,WIS,48
347,WSA,6
348,WSB,51
349,WVA,45
350,WYO,37
351,XMS,7
352,YAK,26
353,YEM,138
354,YUG,138
355,YUK,12
356,ZAI,1103
357,ZAM,530
358,ZIM,434
