,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id
count,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,0,1308,1,1308,0,0,463,1308,161,1308,1307,1307,4,1308,1264,1308,1308,1308,1308,499,36,0,1308,1308,1,1308,1308,1308,1308,1308
unique,1308,1308,1308,5,1,308,308,308,308,1,1308,1308,1,1,5,0,308,1,1021,0,0,186,481,37,395,1120,243,1,970,51,7,1308,764,1308,499,29,0,308,1308,1,2,1308,1308,1308,1308
top,98342-1,Hoodia gordonii,Hoodia gordonii (Masson) Sweet ex Decne.,Apocynaceae,Species,Strychnos,Strychnos L.,2598056,30010060-2,Genus,506521,98342-1,Species,Accepted,Apocynaceae,,Strychnos,×,macrophylla,,,L.,L.,A.P.de Candolle,Sp. Pl.,: 227,(1753),", nom. cons.",S. Trop. America,shrub or tree,wet tropical,Hoodia gordonii,L.,506521,512017,L.,,2598056,98342-1,C. eugenioides × C. liberica var. dewevrei,Y,Hoodia gordonii,Hoodia gordonii (Masson) Sweet ex Decne.,98342-1,506521
freq,1,1,1,527,1308,89,89,89,89,1308,1,1,1308,1308,527,,89,1,9,,,40,74,38,61,5,61,4,31,287,655,1,72,1,1,3,,89,1,1,1009,1,1,1,1
