,Genus,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty_acids_count,mean_identified_as_Fatty_acids,expected_total_mean_for_Fatty_acids,weigthing_factor_for_Fatty_acids,norm_mean_identified_as_Fatty_acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino_acids_and_Peptides_count,mean_identified_as_Amino_acids_and_Peptides,expected_total_mean_for_Amino_acids_and_Peptides,weigthing_factor_for_Amino_acids_and_Peptides,norm_mean_identified_as_Amino_acids_and_Peptides,identified_Shikimates_and_Phenylpropanoids_count,mean_identified_as_Shikimates_and_Phenylpropanoids,expected_total_mean_for_Shikimates_and_Phenylpropanoids,weigthing_factor_for_Shikimates_and_Phenylpropanoids,norm_mean_identified_as_Shikimates_and_Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids
9,Allamanda,60,21,0.35,0.3964868255959849,0.9820137900379085,0.3508361218056405,25,0.4166666666666667,0.0322040987034713,0.9820137900379085,0.4097516421967158,0,0.0,0.0649100794646591,0.9820137900379085,0.0011674863179074,0,0.0,0.0143036386449184,0.9820137900379085,0.0002572682478893,0,0.0,0.0127143454621497,0.9820137900379085,0.0002286828870127,14,0.2333333333333333,0.1739857800083647,0.9820137900379085,0.232265895778494,0,0.0,0.326474278544542,0.9820137900379085,0.0058720349211244
190,Mitracarpus,28,3,0.1071428571428571,0.3964868255959849,0.6899744811276125,0.1968468710951338,16,0.5714285714285714,0.0322040987034713,0.6899744811276125,0.4042552244832827,4,0.1428571428571428,0.0649100794646591,0.6899744811276125,0.1186915640843092,0,0.0,0.0143036386449184,0.6899744811276125,0.0044344929926539,0,0.0,0.0127143454621497,0.6899744811276125,0.0039417715490257,5,0.1785714285714285,0.1739857800083647,0.6899744811276125,0.1771497604962982,0,0.0,0.326474278544542,0.6899744811276125,0.10121535760426
6,Alafia,17,3,0.1764705882352941,0.3964868255959849,0.4255574831883411,0.3028572693642007,14,0.8235294117647058,0.0322040987034713,0.4255574831883411,0.3689585073130363,0,0.0,0.0649100794646591,0.4255574831883411,0.0372871094141235,0,0.0,0.0143036386449184,0.4255574831883411,0.0082166181827514,0,0.0,0.0127143454621497,0.4255574831883411,0.0073036606068901,0,0.0,0.1739857800083647,0.4255574831883411,0.0999448293574446,0,0.0,0.326474278544542,0.4255574831883411,0.1875407062413973
64,Coffea,309,81,0.2621359223300971,0.3964868255959849,0.9999999999997188,0.2621359223301349,74,0.2394822006472491,0.0322040987034713,0.9999999999997188,0.2394822006471909,15,0.0485436893203883,0.0649100794646591,0.9999999999997188,0.0485436893203929,14,0.0453074433656957,0.0143036386449184,0.9999999999997188,0.045307443365687,26,0.0841423948220064,0.0127143454621497,0.9999999999997188,0.0841423948219864,74,0.2394822006472491,0.1739857800083647,0.9999999999997188,0.2394822006472307,53,0.1715210355987055,0.326474278544542,0.9999999999997188,0.171521035598749
80,Cryptostegia,30,21,0.7,0.3964868255959849,0.7310585786300049,0.6183727354712649,9,0.3,0.0322040987034713,0.7310585786300049,0.2279785896682526,0,0.0,0.0649100794646591,0.7310585786300049,0.0174570090324647,0,0.0,0.0143036386449184,0.7310585786300049,0.0038468409079271,0,0.0,0.0127143454621497,0.7310585786300049,0.0034194141403796,0,0.0,0.1739857800083647,0.7310585786300049,0.0467919829736168,0,0.0,0.326474278544542,0.7310585786300049,0.0878024565125128
