,Genus,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty_acids_count,mean_identified_as_Fatty_acids,expected_total_mean_for_Fatty_acids,weigthing_factor_for_Fatty_acids,norm_mean_identified_as_Fatty_acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino_acids_and_Peptides_count,mean_identified_as_Amino_acids_and_Peptides,expected_total_mean_for_Amino_acids_and_Peptides,weigthing_factor_for_Amino_acids_and_Peptides,norm_mean_identified_as_Amino_acids_and_Peptides,identified_Shikimates_and_Phenylpropanoids_count,mean_identified_as_Shikimates_and_Phenylpropanoids,expected_total_mean_for_Shikimates_and_Phenylpropanoids,weigthing_factor_for_Shikimates_and_Phenylpropanoids,norm_mean_identified_as_Shikimates_and_Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids
306,Voacanga,64,0,0.0,0.3964868255959849,0.9878715650157256,0.0048087646863622,0,0.0,0.0322040987034713,0.9878715650157256,0.0003905853173522,0,0.0,0.0649100794646591,0.9878715650157256,0.0007872576786111,0,0.0,0.0143036386449184,0.9878715650157256,0.0001734807513434,0,0.0,0.0127143454621497,0.9878715650157256,0.0001542051123052,0,0.0,0.1739857800083647,0.9878715650157256,0.0021101752210197,64,1.0,0.326474278544542,0.9878715650157256,0.9918311870770912
153,Hunteria,80,4,0.05,0.3964868255959849,0.9975273768433652,0.0508567313484374,0,0.0,0.0322040987034713,0.9975273768433652,7.962860019275139e-05,0,0.0,0.0649100794646591,0.9975273768433652,0.0001604981655833,0,0.0,0.0143036386449184,0.9975273768433652,3.536750813755971e-05,0,0.0,0.0127143454621497,0.9975273768433652,3.1437785011164184e-05,0,0.0,0.1739857800083647,0.9975273768433652,0.0004302012685738,79,0.9875,0.326474278544542,0.9975273768433652,0.985865532493998
164,Kopsia,294,7,0.0238095238095238,0.3964868255959849,0.99999999999874,0.0238095238099933,1,0.0034013605442176,0.0322040987034713,0.99999999999874,0.0034013605442539,0,0.0,0.0649100794646591,0.99999999999874,8.177898156047104e-14,0,0.0,0.0143036386449184,0.99999999999874,1.8020883823248123e-14,0,0.0,0.0127143454621497,0.99999999999874,1.6018563398442777e-14,2,0.0068027210884353,0.1739857800083647,0.99999999999874,0.006802721088646,287,0.9761904761904762,0.326474278544542,0.99999999999874,0.9761904761896576
25,Aspidosperma,124,1,0.0080645161290322,0.3964868255959849,0.9999695684430994,0.0080763364246442,0,0.0,0.0322040987034713,0.9999695684430994,9.800208621283268e-07,2,0.0161290322580645,0.0649100794646591,0.9999695684430994,0.0161305167412782,0,0.0,0.0143036386449184,0.9999695684430994,4.3528199330894526e-07,0,0.0,0.0127143454621497,0.9999695684430994,3.86917327385729e-07,2,0.0161290322580645,0.1739857800083647,0.9999695684430994,0.0161338360846658,120,0.967741935483871,0.326474278544542,0.9999695684430994,0.9677224207106804
244,Rhazya,57,0,0.0,0.3964868255959849,0.9758729785823308,0.009566046132978,0,0.0,0.0322040987034713,0.9758729785823308,0.0007769889791553,0,0.0,0.0649100794646591,0.9758729785823308,0.0015660868774664,0,0.0,0.0143036386449184,0.9758729785823308,0.0003451041959365,0,0.0,0.0127143454621497,0.9758729785823308,0.0003067592852769,1,0.0175438596491228,0.1739857800083647,0.9758729785823308,0.0213183372122515,56,0.9824561403508772,0.326474278544542,0.9758729785823308,0.9666292519214732
