,Region,Number of Native Species
0,AFG,5
1,AGE,1
2,ALA,1
3,ALB,2
4,ALG,5
5,AND,3
6,ANG,2
7,ARK,1
8,ASS,5
9,AUT,1
10,AZO,1
11,BAL,2
12,BAN,4
13,BEN,5
14,BGM,1
15,BIS,1
16,BKN,4
17,BLR,1
18,BLZ,1
19,BOL,1
20,BOR,3
21,BOT,2
22,BUL,1
23,BUR,2
24,BZC,1
25,BZL,1
26,BZN,1
27,CAB,3
28,CAF,5
29,CBD,5
30,CHA,5
31,CHC,5
32,CHH,4
33,CHS,3
34,CLM,2
35,CMN,5
36,CNY,1
37,CON,5
38,COR,2
39,COS,2
40,CPP,1
41,CPV,2
42,CRL,2
43,CUB,2
44,CVI,1
45,CYP,1
46,CZE,1
47,DJI,2
48,DOM,1
49,EAI,2
50,ECU,2
51,EGY,4
52,EHM,3
53,ELS,1
54,EQG,1
55,ERI,2
56,ETH,3
57,FLA,1
58,FRA,2
59,FRG,1
60,GAB,4
61,GAM,4
62,GEO,1
63,GER,1
64,GGI,2
65,GHA,5
66,GNB,4
67,GRC,1
68,GST,4
69,GUA,3
70,GUI,5
71,GUY,1
72,HAI,1
73,HON,3
74,HUN,1
75,IND,8
76,IRN,5
77,IRQ,3
78,ITA,2
79,IVO,5
80,JAM,1
81,JAW,4
82,KEN,4
83,KGZ,1
84,KRI,1
85,KRY,1
86,KUW,1
87,LAO,5
88,LBR,2
89,LBS,4
90,LBY,4
91,LDV,1
92,LEE,1
93,LOU,1
94,LSI,2
95,MDG,3
96,MDV,1
97,MLI,5
98,MLW,4
99,MLY,6
100,MOL,2
101,MOR,4
102,MOZ,4
103,MSI,1
104,MTN,2
105,MXC,3
106,MXE,3
107,MXG,3
108,MXN,2
109,MXS,3
110,MXT,3
111,MYA,7
112,NAM,1
113,NCA,1
114,NCB,1
115,NCS,1
116,NEP,4
117,NET,1
118,NGA,5
119,NGR,4
120,NIC,2
121,NTA,1
122,NWC,1
123,NWG,2
124,OMA,4
125,PAK,6
126,PAL,5
127,PAN,2
128,PAR,1
129,PER,2
130,PHI,2
131,POL,1
132,POR,2
133,PUE,1
134,QLD,2
135,ROM,1
136,RUC,1
137,RUS,1
138,RWA,2
139,SAR,2
140,SAU,4
141,SCA,1
142,SEN,4
143,SIC,2
144,SIE,3
145,SIN,3
146,SOC,2
147,SOL,2
148,SOM,2
149,SPA,2
150,SRL,6
151,SUD,5
152,SUL,3
153,SUM,3
154,SUR,1
155,SWI,1
156,TAI,1
157,TAN,4
158,TCS,1
159,TEN,1
160,TEX,1
161,THA,5
162,TOG,2
163,TRT,1
164,TUE,2
165,TUN,4
166,TUR,2
167,TVL,2
168,TZK,1
169,UGA,4
170,UKR,1
171,UZB,1
172,VAN,1
173,VEN,1
174,VIE,7
175,VRG,1
176,WHM,6
177,WIN,1
178,WSA,2
179,YEM,3
180,YUG,2
181,ZAI,5
182,ZAM,4
183,ZIM,4
