,Genus,species_richness,N,exploration_index,norm_exploration_index,norm_N,norm_species_richness
895,Sabicea,159,0.0,0.0,0.0,0.0,0.09736680955296999
709,Oxypetalum,139,0.0,0.0,0.0,0.0,0.08511941212492345
583,Manettia,127,0.0,0.0,0.0,0.0,0.07777097366809553
1069,Urophyllum,126,0.0,0.0,0.0,0.0,0.0771586037966932
413,Gonolobus,124,0.0,0.0,0.0,0.0,0.07593386405388855
572,Macrocarpaea,121,0.0,0.0,0.0,0.0,0.07409675443968157
849,Randia,116,0.0,0.0,0.0,0.0,0.07103490508266994
299,Ditassa,113,0.0,0.0,0.0,0.0,0.06919779546846296
60,Arachnothryx,104,0.0,0.0,0.0,0.0,0.06368646662584201
604,Metastelma,99,0.0,0.0,0.0,0.0,0.06062461726883037
378,Gaertnera,90,0.0,0.0,0.0,0.0,0.05511328842620943
892,Rytigynia,81,0.0,0.0,0.0,0.0,0.049601959583588484
466,Huernia,78,0.0,0.0,0.0,0.0,0.047764849969381504
189,Chomelia,75,0.0,0.0,0.0,0.0,0.04592774035517452
258,Cynanchica,74,0.0,0.0,0.0,0.0,0.0453153704837722
528,Landolphia,62,0.0,0.0,0.0,0.0,0.037966932026944275
103,Bertiera,57,0.0,0.0,0.0,0.0,0.03490508266993264
618,Mitrasacme,55,0.0,0.0,0.0,0.0,0.03368034292712799
812,Praravinia,50,0.0,0.0,0.0,0.0,0.03061849357011635
927,Sebaea,50,0.0,0.0,0.0,0.0,0.03061849357011635
754,Peponidium,48,0.0,0.0,0.0,0.0,0.029393753827311696
548,Leptodermis,47,0.0,0.0,0.0,0.0,0.02878138395590937
771,Philibertia,44,0.0,0.0,0.0,0.0,0.02694427434170239
2,Acranthera,42,0.0,0.0,0.0,0.0,0.025719534598897736
256,Cyclophyllum,42,0.0,0.0,0.0,0.0,0.025719534598897736
77,Atractocarpus,40,0.0,0.0,0.0,0.0,0.02449479485609308
580,Malanea,40,0.0,0.0,0.0,0.0,0.02449479485609308
52,Anthospermum,39,0.0,0.0,0.0,0.0,0.023882424984690752
711,Pachycarpus,39,0.0,0.0,0.0,0.0,0.023882424984690752
70,Aspidoglossum,37,0.0,0.0,0.0,0.0,0.0226576852418861
263,Danais,37,0.0,0.0,0.0,0.0,0.0226576852418861
414,Gonzalagunia,37,0.0,0.0,0.0,0.0,0.0226576852418861
320,Echidnopsis,36,0.0,0.0,0.0,0.0,0.02204531537048377
850,Raphionacme,36,0.0,0.0,0.0,0.0,0.02204531537048377
478,Ibatia,35,0.0,0.0,0.0,0.0,0.021432945499081445
649,Neanotis,34,0.0,0.0,0.0,0.0,0.020820575627679118
1049,Toxocarpus,34,0.0,0.0,0.0,0.0,0.020820575627679118
569,Machaonia,32,0.0,0.0,0.0,0.0,0.019595835884874464
1098,Xanthophytum,32,0.0,0.0,0.0,0.0,0.019595835884874464
1001,Symbolanthus,31,0.0,0.0,0.0,0.0,0.018983466013472138
1021,Tassadia,31,0.0,0.0,0.0,0.0,0.018983466013472138
34,Amaracarpus,30,0.0,0.0,0.0,0.0,0.01837109614206981
334,Empogona,30,0.0,0.0,0.0,0.0,0.01837109614206981
497,Kadua,30,0.0,0.0,0.0,0.0,0.01837109614206981
268,Declieuxia,29,0.0,0.0,0.0,0.0,0.017758726270667484
306,Dolicholobium,29,0.0,0.0,0.0,0.0,0.017758726270667484
