,Region,Number of Native Species
0,AGE,7
1,AGW,6
2,ALA,1
3,ALB,1
4,ALG,1
5,AND,1
6,ANG,7
7,ARI,2
8,ARK,1
9,ARU,1
10,ASS,2
11,AUT,1
12,BAH,2
13,BAL,1
14,BAN,1
15,BEN,5
16,BER,1
17,BGM,1
18,BKN,4
19,BLR,1
20,BLZ,7
21,BOL,10
22,BOR,4
23,BOT,3
24,BUL,1
25,BUR,4
26,BZC,8
27,BZE,9
28,BZL,9
29,BZN,10
30,BZS,9
31,CAB,4
32,CAF,5
33,CAY,2
34,CBD,3
35,CHA,2
36,CHC,3
37,CHH,1
38,CHN,1
39,CHS,2
40,CLM,11
41,CMN,6
42,COM,1
43,CON,5
44,COS,10
45,CPI,1
46,CPP,2
47,CPV,2
48,CRL,1
49,CUB,8
50,CYP,1
51,CZE,1
52,DOM,8
53,EAI,1
54,ECU,11
55,EHM,1
56,ELS,6
57,EQG,5
58,ERI,1
59,ETH,4
60,FLA,3
61,FRA,1
62,FRG,6
63,GAB,5
64,GAM,1
65,GEO,1
66,GER,1
67,GGI,6
68,GHA,5
69,GNB,4
70,GRB,1
71,GRC,1
72,GUA,9
73,GUI,5
74,GUY,10
75,HAI,5
76,HON,9
77,HUN,1
78,ILL,1
79,IND,1
80,INI,1
81,IRE,1
82,IRQ,1
83,ITA,1
84,IVO,5
85,JAM,8
86,JAP,1
87,JAW,2
88,KAN,1
89,KAZ,1
90,KEN,4
91,KOR,1
92,KRI,1
93,KRY,1
94,KTY,1
95,LAO,1
96,LBR,5
97,LBS,1
98,LBY,1
99,LEE,6
100,LES,2
101,LOU,1
102,LSI,1
103,MAU,2
104,MDG,6
105,MLI,4
106,MLW,5
107,MLY,3
108,MOL,2
109,MOR,1
110,MOZ,4
111,MRY,1
112,MSI,1
113,MSO,1
114,MXC,6
115,MXE,7
116,MXG,9
117,MXI,1
118,MXN,5
119,MXS,9
120,MXT,9
121,MYA,2
122,NAM,2
123,NAT,4
124,NCA,1
125,NCB,1
126,NCS,1
127,NEP,2
128,NET,1
129,NGA,7
130,NIC,8
131,NLA,2
132,NNS,1
133,NSW,3
134,NTA,1
135,NWC,1
136,NWG,2
137,NWM,1
138,NZN,1
139,OFS,2
140,OKL,1
141,PAN,10
142,PAR,9
143,PER,11
144,PHI,3
145,POL,1
146,POR,1
147,PRM,1
148,PUE,5
149,QLD,3
150,REU,2
151,ROM,1
152,RUC,1
153,RUE,1
154,RUS,1
155,RWA,5
156,SAR,1
157,SAU,1
158,SCA,1
159,SEN,5
160,SIC,1
161,SIE,5
162,SOA,1
163,SOC,1
164,SOM,3
165,SPA,1
166,SRL,4
167,SUD,3
168,SUL,4
169,SUM,3
170,SUR,5
171,SWI,1
172,SWZ,2
173,TAI,1
174,TAN,6
175,TAS,2
176,TCI,2
177,TCS,1
178,TEN,1
179,TEX,3
180,THA,3
181,TOG,5
182,TRT,7
183,TUE,1
184,TUN,1
185,TUR,1
186,TVL,3
187,UGA,5
188,UKR,1
189,URU,4
190,VEN,11
191,VIC,2
192,VIE,3
193,VNA,2
194,VRG,1
195,WAU,2
196,WIN,5
197,WSB,1
198,YEM,2
199,YUG,1
200,ZAI,6
201,ZAM,7
202,ZIM,5
