,index,metric,value,pvalue,holm_adjusted_p_value
0,FAD,lambda,1.00372929684784,8.00766454828395e-08,5.605365183798766e-07
1,G,lambda,0.375322430658737,7.57495382605413e-05,0.00045449722956324786
2,H,lambda,0.359187285144552,0.0004441642850251,0.0022208214251255003
3,J,lambda,0.309524912382349,0.0010605575369129,0.0042422301476516
4,Hbc,lambda,0.308860166762002,0.0012828308842702,0.0038484926528106
5,MFAD,lambda,0.374165461053021,0.0189482953054205,0.037896590610841
6,APWD,lambda,0.0024173865082011,0.909404022949613,0.909404022949613
