,index,metric,value,pvalue,holm_adjusted_p_value
0,G,lambda,0.494551543239502,5.82339448290608e-07,4.076376138034256e-06
1,J,lambda,0.450872361612174,4.91230408270162e-06,2.947382449620972e-05
2,H,lambda,0.465169060489964,1.09802655467028e-05,5.4901327733513994e-05
3,Hbc,lambda,0.409540621020422,3.72448897326701e-05,0.0001489795589306804
4,FAD,lambda,0.557779991498882,0.0019167812162396,0.0057503436487188
5,APWD,lambda,0.286049707731448,0.0086330162577355,0.017266032515471
6,MFAD,lambda,0.28152252215231,0.0359007339209283,0.0359007339209283
