"","Genus","phylogenetic_diversity","number_of_species_in_data_and_tree","phylogenetic_diversity_std","number_of_species_in_data_and_tree_std"
"Acokanthera","Acokanthera",2.6620496,4,-0.354321512913925,-0.275803137654533
"Adenium","Adenium",7.139739828,2,-0.306156646932469,-0.442026141922333
"Adina","Adina",19.014300454,6,-0.17842636814643,-0.109580133386734
"Allamanda","Allamanda",11.051523201,3,-0.264079032735118,-0.358914639788433
"Alstonia","Alstonia",16.8659917968,30,-0.201534933789001,1.88509591782686
"Alyxia","Alyxia",8.6155445383,3,-0.290281958763576,-0.358914639788433
"Amsonia","Amsonia",36.618204,6,0.0109323440176061,-0.109580133386734
"Anodendron","Anodendron",10.040780335,2,-0.274951221788792,-0.442026141922333
"Anthocleista","Anthocleista",47.5510025,5,0.128532434185068,-0.192691635520634
"Apocynum","Apocynum",20.118797666,4,-0.166545698094667,-0.275803137654533
"Asclepias","Asclepias",64.405842973761,20,0.309833750538102,1.05398089648786
"Aspidosperma","Aspidosperma",230.4980552158,32,2.09642655527854,2.05131892209466
"Beaumontia","Beaumontia",4.79272822,3,-0.331402587093616,-0.358914639788433
"Bousigonia","Bousigonia",22.90539311,2,-0.136571316377612,-0.442026141922333
"Callichilia","Callichilia",3.9502456316,3,-0.340464862261347,-0.358914639788433
"Calotropis","Calotropis",0.9085826666,2,-0.373182911436317,-0.442026141922333
"Canscora","Canscora",12.0646334,2,-0.253181379151548,-0.442026141922333
"Caralluma","Caralluma",2.622979674,2,-0.354741773730077,-0.442026141922333
"Carapichea","Carapichea",14.509987813,3,-0.226877601627413,-0.358914639788433
"Carissa","Carissa",8.232834266,3,-0.294398632324375,-0.358914639788433
"Cascabela","Cascabela",13.074620152,2,-0.242317323337921,-0.442026141922333
"Catharanthus","Catharanthus",18.96575032,6,-0.178948604071298,-0.109580133386734
"Catunaregam","Catunaregam",3.362720001,3,-0.346784659258818,-0.358914639788433
"Centaurium","Centaurium",16.405039244,5,-0.206493230767785,-0.192691635520634
"Cephalanthus","Cephalanthus",16.295305779,5,-0.207673593268602,-0.192691635520634
"Cerbera","Cerbera",2.2096265589,4,-0.359188061074234,-0.275803137654533
"Ceropegia","Ceropegia",9.901890034722,2,-0.276445213636906,-0.442026141922333
"Chassalia","Chassalia",9.943836012,2,-0.275994016195551,-0.442026141922333
"Chimarrhis","Chimarrhis",4.659277,2,-0.332838072756776,-0.442026141922333
"Chironia","Chironia",24.1292668,4,-0.123406557482844,-0.275803137654533
"Ciliosemina","Ciliosemina",6.242103,2,-0.31581219595868,-0.442026141922333
"Cinchona","Cinchona",5.1255924404,3,-0.327822089169635,-0.358914639788433
"Coelospermum","Coelospermum",18.472256639,4,-0.184256933990913,-0.275803137654533
"Coffea","Coffea",39.6223013355103,22,0.0432463135403997,1.22020390075566
"Coprosma","Coprosma",15.847201528866,12,-0.212493685783815,0.389088879416664
"Cordiera","Cordiera",2.469377435,2,-0.356394016488994,-0.442026141922333
"Corynanthe","Corynanthe",2.9757006342,4,-0.350947684163396,-0.275803137654533
"Coussarea","Coussarea",10.298978919,4,-0.272173874638425,-0.275803137654533
"Crucianella","Crucianella",3.967300266,2,-0.340281411835254,-0.442026141922333
"Cruciata","Cruciata",14.644484166,4,-0.225430873853184,-0.275803137654533
"Cruckshanksia","Cruckshanksia",5.91695,2,-0.319309747122567,-0.442026141922333
"Cryptolepis","Cryptolepis",12.2224415387,5,-0.25148389507734,-0.192691635520634
"Cryptostegia","Cryptostegia",0.918846,2,-0.373072512535865,-0.442026141922333
"Cynanchum","Cynanchum",92.92241161367,13,0.616575985229423,0.472200381550564
"Damnacanthus","Damnacanthus",19.8020395813,4,-0.169952948244022,-0.275803137654533
"Desmidorchis","Desmidorchis",1.5816751553,3,-0.365942703235081,-0.358914639788433
"Dimetia","Dimetia",8.972515588,3,-0.286442152548187,-0.358914639788433
"Diplospora","Diplospora",3.175278660104,2,-0.348800896783957,-0.442026141922333
"Exacum","Exacum",18.639116,2,-0.182462089249296,-0.442026141922333
"Exallage","Exallage",12.5206852,2,-0.248275797767145,-0.442026141922333
"Exostema","Exostema",10.692271384,2,-0.267943372325025,-0.442026141922333
"Fagraea","Fagraea",47.5510025,5,0.128532434185068,-0.192691635520634
"Faramea","Faramea",19.8387,3,-0.169558605611191,-0.358914639788433
"Frasera","Frasera",38.496512,4,0.0311366119515907,-0.275803137654533
"Funtumia","Funtumia",0.744348,2,-0.374949523306167,-0.442026141922333
"Galium","Galium",116.139828623497,24,0.86631719593693,1.38642690502346
"Gardenia","Gardenia",39.4012377505,25,0.040868413908393,1.46953840715736
"Gardneria","Gardneria",57.948788,4,0.240377586397645,-0.275803137654533
"Geissospermum","Geissospermum",14.33315204,3,-0.228779758961569,-0.358914639788433
"Gelsemium","Gelsemium",6.838273,3,-0.309399414660723,-0.358914639788433
"Genipa","Genipa",4.510692134,2,-0.334436345480737,-0.442026141922333
"Gentiana","Gentiana",577.8847422865,60,5.83313730893326,4.37844098184385
"Gentianella","Gentianella",42.7255786781,17,0.0766271259008571,0.804646390086162
"Gentianopsis","Gentianopsis",26.726733208,11,-0.0954665672060862,0.305977377282764
"Gomphocarpus","Gomphocarpus",6.028871324,3,-0.318105850627625,-0.358914639788433
"Gonioma","Gonioma",8.292228825,2,-0.293759746910557,-0.442026141922333
"Guettarda","Guettarda",52.44257584289,7,0.18114928852338,-0.0264686312528343
"Gynochthodes","Gynochthodes",7.31392612503,4,-0.304282989036308,-0.275803137654533
"Halenia","Halenia",27.088951332,4,-0.0915703201433887,-0.275803137654533
"Hamelia","Hamelia",2.793775384,2,-0.352904587130853,-0.442026141922333
"Haplophyton","Haplophyton",8.860561611,2,-0.287646400279434,-0.442026141922333
"Hedyotis","Hedyotis",31.079932814733,4,-0.0486408010247411,-0.275803137654533
"Helia","Helia",1.4638264076,2,-0.367210358845457,-0.442026141922333
"Himatanthus","Himatanthus",10.4881,4,-0.270139568767136,-0.275803137654533
"Hintonia","Hintonia",3.071722666,2,-0.34991481050367,-0.442026141922333
"Holarrhena","Holarrhena",6.812314,5,-0.309678646070746,-0.192691635520634
"Hoodia","Hoodia",0.603954999933,3,-0.376459679142915,-0.358914639788433
"Hoppea","Hoppea",12.0646334,2,-0.253181379151548,-0.442026141922333
"Hoya","Hoya",74.8433769846323,18,0.422106462854571,0.887757892220062
"Hunteria","Hunteria",0.020715,4,-0.382733377188423,-0.275803137654533
"Hymenodictyon","Hymenodictyon",3.8703634166,2,-0.341324125851249,-0.442026141922333
"Isertia","Isertia",7.74130369441,3,-0.299685845798496,-0.358914639788433
"Ixora","Ixora",27.635552856975,7,-0.0856907286899532,-0.0264686312528343
"Kibatalia","Kibatalia",5.034474399,3,-0.328802212409308,-0.358914639788433
"Knoxia","Knoxia",18.089435,2,-0.188374805482321,-0.442026141922333
"Kopsia","Kopsia",175.332697036,16,1.50303309832744,0.721534887952263
"Lasianthus","Lasianthus",38.1304495152,7,0.0271990125145019,-0.0264686312528343
"Leptadenia","Leptadenia",11.604894487,5,-0.258126621453626,-0.192691635520634
"Leuconotis","Leuconotis",30.8942,2,-0.0506386605626862,-0.442026141922333
"Lisianthius","Lisianthius",19.020706,2,-0.178357466045365,-0.442026141922333
"Lomatogonium","Lomatogonium",18.782498416,2,-0.180919777365469,-0.442026141922333
"Malouetia","Malouetia",3.505598266,2,-0.34524777034177,-0.442026141922333
"Mandevilla","Mandevilla",29.15946891333,5,-0.0692985244766412,-0.192691635520634
"Marsdenia","Marsdenia",57.321030939,7,0.233625034708627,-0.0264686312528343
"Matelea","Matelea",6.667111802,2,-0.311240532679862,-0.442026141922333
"Melodinus","Melodinus",19.410355005,12,-0.174166155090383,0.389088879416664
"Mitchella","Mitchella",3.479764,2,-0.345525660034058,-0.442026141922333
"Mitragyna","Mitragyna",21.234105168,10,-0.154548745731587,0.222865875148865
"Morinda","Morinda",49.8496884145,9,0.153258552645211,0.139754373014965
"Mussaenda","Mussaenda",16.536846781097,5,-0.205075425596734,-0.192691635520634
"Nauclea","Nauclea",9.5394999248,6,-0.280343310688875,-0.109580133386734
"Neonauclea","Neonauclea",6.773822278,4,-0.310092687359251,-0.275803137654533
"Ochrosia","Ochrosia",85.941929877,17,0.541489512022703,0.804646390086162
"Oldenlandia","Oldenlandia",50.08418565867,4,0.155780953205179,-0.275803137654533
"Ophiorrhiza","Ophiorrhiza",53.5543054732,20,0.193107755037356,1.05398089648786
"Oxyanthus","Oxyanthus",1.8833398122,3,-0.362697807534151,-0.358914639788433
"Palicourea","Palicourea",124.724244002,24,0.958656593077278,1.38642690502346
"Parahancornia","Parahancornia",3.286500666,2,-0.347604522596508,-0.442026141922333
"Parsonsia","Parsonsia",8.7637180798,4,-0.288688110505892,-0.275803137654533
"Pauridiantha","Pauridiantha",9.997701428,2,-0.275414605738246,-0.442026141922333
"Pavetta","Pavetta",4.40945865503,2,-0.335525276759846,-0.442026141922333
"Pentalinon","Pentalinon",2.588084,2,-0.3551171336536,-0.442026141922333
"Pentas","Pentas",3.8500176997,3,-0.341542977240667,-0.358914639788433
"Pergularia","Pergularia",7.839138,2,-0.298633478176532,-0.442026141922333
"Periploca","Periploca",21.7837006949,6,-0.148636948901245,-0.109580133386734
"Petchia","Petchia",3.87472692304,3,-0.341277189218255,-0.358914639788433
"Pleiocarpa","Pleiocarpa",2.325264098,2,-0.357944190621037,-0.442026141922333
"Plocama","Plocama",17.894715346,2,-0.190469333143082,-0.442026141922333
"Plumeria","Plumeria",4.2636859044,3,-0.337093300593638,-0.358914639788433
"Pogonopus","Pogonopus",1.852394,2,-0.363030680247851,-0.442026141922333
"Prismatomeris","Prismatomeris",16.2554076,3,-0.208102763297476,-0.358914639788433
"Psychotria","Psychotria",186.703304124748,15,1.62534253436941,0.638423385818363
"Psydrax","Psydrax",10.55236054024,5,-0.269448341783813,-0.192691635520634
"Rauvolfia","Rauvolfia",143.976748089454,32,1.16574869457664,2.05131892209466
"Rhodopentas","Rhodopentas",5.39476,2,-0.324926752785349,-0.442026141922333
"Richardia","Richardia",6.519644,3,-0.312826789557458,-0.358914639788433
"Rosenbergiodendron","Rosenbergiodendron",0.8063440186,2,-0.374282654948776,-0.442026141922333
"Rothmannia","Rothmannia",3.945749001,3,-0.34051323086194,-0.358914639788433
"Rubia","Rubia",22.77899284636,10,-0.137930957497976,0.222865875148865
"Rudgea","Rudgea",19.483859936,2,-0.173375489597613,-0.442026141922333
"Saprosma","Saprosma",4.205158388,2,-0.337722859549281,-0.442026141922333
"Schumanniophyton","Schumanniophyton",6.035895845,2,-0.318030290440269,-0.442026141922333
"Scleromitrion","Scleromitrion",18.781028191,3,-0.180935592034748,-0.358914639788433
"Simira","Simira",29.446728463,8,-0.0662085792130697,0.0566428708810654
"Spermacoce","Spermacoce",53.1776480452,9,0.18905618969523,0.139754373014965
"Stapelia","Stapelia",0.5131391007876,2,-0.377436552349545,-0.442026141922333
"Stenostomum","Stenostomum",32.815965153,5,-0.029966940026221,-0.192691635520634
"Stephanotis","Stephanotis",4.37368803,2,-0.335910048209614,-0.442026141922333
"Strophanthus","Strophanthus",61.55519035,10,0.279170329311561,0.222865875148865
"Strychnos","Strychnos",835.33305930303,89,8.60241411345913,6.78867454372694
"Swertia","Swertia",420.41024079353,49,4.13924204738157,3.46421445837095
"Tabernaemontana","Tabernaemontana",272.73268813913,75,2.55072895918484,5.62511351385234
"Tarenna","Tarenna",17.1050376748,5,-0.198963605248833,-0.192691635520634
"Telosma","Telosma",0.5975394286,2,-0.376528689082797,-0.442026141922333
"Timonius","Timonius",2.256518796,2,-0.358683658536209,-0.442026141922333
"Tocoyena","Tocoyena",2.8369575,2,-0.352440093000167,-0.442026141922333
"Trachelospermum","Trachelospermum",2.8012530216,4,-0.352824152934979,-0.275803137654533
"Tripterospermum","Tripterospermum",9.829874748,4,-0.27721985557437,-0.275803137654533
"Uncaria","Uncaria",91.20649178588,27,0.59811846710465,1.63576141142516
"Urceola","Urceola",13.659056444,3,-0.236030757218885,-0.358914639788433
"Vallesia","Vallesia",8.860574378,2,-0.287646262949513,-0.442026141922333
"Vangueria","Vangueria",1.526077030406,2,-0.366540751804317,-0.442026141922333
"Vinca","Vinca",5.0093621437,5,-0.329072335698198,-0.192691635520634
"Vincetoxicum","Vincetoxicum",56.0254758966698,26,0.219689225885759,1.55264990929126
"Voacanga","Voacanga",8.38212158783,5,-0.292792803541555,-0.192691635520634
"Wendlandia","Wendlandia",4.2710765997,2,-0.33701380160409,-0.442026141922333
"Wrightia","Wrightia",3.8422730009,5,-0.341626284115591,-0.192691635520634
